"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"83","Patrick Taylor Jr.",GB,"vs. NO","7.8","F","2.1","-0.5","33% (2/6)","2%","Bad"
"84","David Montgomery",DET,"vs. ATL","7.4","F","2.0","-1.0","40% (6/15)","21%","Great"
"85","Ameer Abdullah",LV,"vs. PIT","8.6","F","2.0","+0.2","40% (6/15)","3%","Bad"
"86","Chase Brown",CIN,"vs. LAR","4.0","F","1.9","-1.3","0% (0/1)","0%","Bad"
"87","Adam Prentice",NO,"at GB","7.8","F","1.6","-","-","0%","N/A"
"88","Kyle Juszczyk",SF,"vs. NYG","3.2","F","1.5","-0.1","40% (6/15)","0%","N/A"
"89","Chris Rodriguez Jr.",WAS,"vs. BUF","4.0","F","1.5","-0.8","0% (0/2)","3%","Bad"
"90","Myles Gaskin",MIN,"vs. LAC","8.8","F","1.5","+0.3","50% (2/4)","0%","N/A"
"91","Emari Demercado",ARI,"vs. DAL","6.0","F","1.4","-0.4","50% (1/2)","1%","Bad"
"92","Ty Montgomery II",NE,"at NYJ","3.2","F","1.4","-0.1","50% (1/2)","5%","Bad"
"93","Kareem Hunt",CLE,"vs. TEN","-","F","1.4","-2.5","21% (3/14)","0%","N/A"
"94","Dare Ogunbowale",HOU,"at JAC","4.0","F","1.3","0.0","21% (3/14)","4%","Bad"
"95","Alec Ingold",MIA,"vs. DEN","5.2","F","1.2","+0.4","31% (5/16)","4%","Bad"
"96","Jordan Mason",SF,"vs. NYG","6.6","F","1.0","-0.4","35% (5/14)","0%","N/A"
"97","Cam Akers",MIN,"vs. LAC","-","F","0.9","+1.5","38% (5/13)","26%","Great"
"98","D'Onta Foreman",CHI,"at KC","-","F","0.9","+0.4","40% (6/15)","1%","Bad"
"99","Raheem Blackshear",CAR,"at SEA","8.2","F","0.8","+1.0","41% (5/12)","0%","N/A"
"100","C.J. Ham",MIN,"vs. LAC","-","F","0.8","-0.3","23% (3/13)","0%","Bad"
"101","DeWayne McBride",MIN,"vs. LAC","8.6","F","0.8","-","-","0%","N/A"
"102","Malik Davis",DAL,"at ARI","7.8","F","0.8","-0.4","33% (3/9)","0%","N/A"
"103","Deneric Prince",KC,"vs. CHI","9.0","F","0.7","-","-","0%","N/A"
"104","Chris Evans",CIN,"vs. LAR","-","F","0.7","-0.3","20% (2/10)","0%","N/A"
"105","Patrick Ricard",BAL,"vs. IND","-","F","0.7","-0.7","20% (3/15)","0%","N/A"
"106","Jake Funk",IND,"at BAL","7.0","F","0.6","-","-","0%","N/A"
"107","Ke'Shawn Vaughn",TB,"vs. PHI","-","F","0.6","-0.7","7% (1/13)","0%","N/A"
"108","Jakob Johnson",LV,"vs. PIT","-","F","0.6","-0.5","8% (1/12)","0%","N/A"
"109","Mike Boone",HOU,"at JAC","-","F","0.6","-0.5","37% (3/8)","0%","Bad"
"110","Brandon Bolden",LV,"vs. PIT","-","F","0.5","-1.4","8% (1/12)","0%","N/A"
"111","Julius Chestnut",TEN,"at CLE","-","F","0.5","-1.6","0% (0/3)","0%","N/A"
"112","Reggie Gilliam",BUF,"at WAS","-","F","0.5","-0.5","37% (3/8)","0%","N/A"
"113","Michael Burton",DEN,"at MIA","-","F","0.5","-0.2","18% (2/11)","0%","Bad"
"114","Cordarrelle Patterson",ATL,"at DET","-","F","0.5","+0.7","50% (5/10)","0%","N/A"
"115","JaMycal Hasty",JAC,"vs. HOU","-","F","0.4","+1.7","35% (5/14)","0%","N/A"
"116","Kenyan Drake",BAL,"vs. IND","-","F","0.3","+2.4","55% (5/9)","0%","N/A"
"117","Keith Smith",ATL,"at DET","-","F","0.3","-0.5","10% (1/10)","0%","N/A"
"118","Chris Brooks",MIA,"vs. DEN","-","F","0.3","-","-","0%","N/A"
"119","Nick Bawden",NYJ,"vs. NE","-","F","0.3","-","-","0%","N/A"
"120","Travis Homer",CHI,"at KC","-","F","0.3","-0.4","30% (3/10)","0%","N/A"
"121","Royce Freeman",LAR,"at CIN","-","F","0.3","-0.3","25% (1/4)","0%","N/A"
"122","Israel Abanikanda",NYJ,"vs. NE","-","F","0.3","-","-","0%","N/A"
"123","Tyrion Davis-Price",SF,"vs. NYG","-","F","0.3","-1.2","14% (1/7)","0%","N/A"
"124","Hunter Luepke",DAL,"at ARI","-","F","0.3","-","-","0%","N/A"
"125","Khari Blasingame",CHI,"at KC","-","F","0.2","-","-","0%","N/A"
"126","Qadree Ollison",PIT,"at LV","-","F","0.2","-","-","0%","N/A"
"127","Godwin Igwebuike",PIT,"at LV","-","F","0.0","-1.3","0% (0/2)","0%","N/A"
"128","Dwayne Washington",DEN,"at MIA","-","F","0.0","-","-","0%","N/A"
