,Name,G,Attempts,Conversions,Conversion %
1,Washington State,4,52,31,59.62
2,North Carolina,4,57,33,57.89
3,LSU,5,59,34,57.63
3,Air Force,5,59,34,57.63
5,Michigan,5,53,30,56.60
6,Oklahoma,5,67,37,55.22
7,Georgia,5,64,35,54.69
8,UNLV,5,78,41,52.56
9,Syracuse,5,70,36,51.43
10,Kansas,5,51,26,50.98
11,Oregon,5,55,28,50.91
12,Georgia State,5,71,36,50.70
13,Kansas State,5,73,37,50.68
14,Texas A&M,5,66,33,50.00
14,Toledo,5,60,30,50.00
14,Miami (Florida),4,36,18,50.00
17,Fresno State,5,73,36,49.32
18,Maryland,5,67,33,49.25
19,Liberty,5,61,30,49.18
20,Georgia Southern,5,68,33,48.53
21,Georgia Tech,5,66,32,48.48
22,UCF,5,62,30,48.39
23,Appalachian State,5,75,36,48.00
24,Washington,5,48,23,47.92
25,Clemson,5,69,33,47.83
26,Wake Forest,4,59,28,47.46
27,Tulsa,5,75,35,46.67
28,Coastal Carolina,5,69,32,46.38
28,Notre Dame,6,69,32,46.38
30,Alabama,5,67,31,46.27
31,Colorado,5,78,36,46.15
32,Houston,5,76,35,46.05
32,North Carolina State,5,76,35,46.05
34,South Alabama,5,70,32,45.71
35,Colorado State,4,57,26,45.61
36,Wisconsin,4,55,25,45.45
37,Cincinnati,5,80,36,45.00
38,Purdue,5,69,31,44.93
39,Penn State,5,78,35,44.87
40,New Mexico,5,58,26,44.83
41,USC,5,47,21,44.68
42,UTSA,4,63,28,44.44
43,Northwestern,5,77,34,44.16
44,Arkansas,5,68,30,44.12
44,Boise State,5,68,30,44.12
46,Ohio State,4,50,22,44.00
47,Rutgers,5,66,29,43.94
48,UAB,5,64,28,43.75
49,Duke,5,60,26,43.33
50,Rice,5,67,29,43.28
51,TCU,5,74,32,43.24
52,Ohio,5,72,31,43.06
53,New Mexico State,6,56,24,42.86
54,Vanderbilt,6,82,35,42.68
55,Minnesota,5,68,29,42.65
56,Kentucky,5,47,20,42.55
57,SMU,5,69,29,42.03
57,Texas,5,69,29,42.03
59,Stanford,5,74,31,41.89
60,Troy,5,77,32,41.56
61,Texas State,5,53,22,41.51
62,Oregon State,5,58,24,41.38
63,California,5,85,35,41.18
63,Tennessee,5,68,28,41.18
65,Boston College,5,78,32,41.03
66,Mississippi,5,64,26,40.63
67,Baylor,5,79,32,40.51
68,UCLA,4,47,19,40.43
69,North Texas,4,57,23,40.35
70,San Jose State,5,62,25,40.32
70,Louisiana-Lafayette,5,62,25,40.32
70,Tulane,5,62,25,40.32
73,Connecticut,5,77,31,40.26
74,Indiana,5,75,30,40.00
74,Western Michigan,5,75,30,40.00
74,Louisville,5,60,24,40.00
77,Middle Tennessee,6,98,39,39.80
78,Northern Illinois,5,71,28,39.44
79,South Florida,5,84,33,39.29
79,Missouri,5,56,22,39.29
81,Arkansas State,5,64,25,39.06
82,Texas Tech,5,72,28,38.89
83,Southern Mississippi,5,78,30,38.46
84,Florida State,4,47,18,38.30
85,Nebraska,6,74,28,37.84
85,Temple,5,74,28,37.84
87,Arizona,5,53,20,37.74
88,Pittsburgh,5,61,23,37.70
89,Old Dominion,5,64,24,37.50
90,Army,4,59,22,37.29
91,Nevada,5,78,29,37.18
92,Memphis,5,71,26,36.62
93,Miami (Ohio),5,52,19,36.54
94,Michigan State,5,66,24,36.36
94,Utah State,5,66,24,36.36
96,Massachusetts,6,75,27,36.00
97,Jacksonville State,6,89,32,35.96
98,Bowling Green,5,64,23,35.94
99,Oklahoma State,5,81,29,35.80
100,South Carolina,5,70,25,35.71
101,East Carolina,5,73,26,35.62
102,San Diego State,6,82,29,35.37
103,Auburn,5,63,22,34.92
104,Virginia Tech,5,72,25,34.72
105,Central Michigan,5,64,22,34.38
106,Ball State,5,70,24,34.29
106,Virginia,5,70,24,34.29
108,Western Kentucky,6,85,29,34.12
109,Florida Atlantic,4,59,20,33.90
110,Mississippi State,5,62,21,33.87
111,BYU,5,65,22,33.85
112,Louisiana Tech,7,93,31,33.33
112,Utah,5,75,25,33.33
112,Arizona State,5,72,24,33.33
112,Navy,4,57,19,33.33
116,Buffalo,5,79,26,32.91
117,Florida,5,55,18,32.73
118,West Virginia,5,65,21,32.31
119,Hawai'i,6,84,27,32.14
120,Kent State,5,72,23,31.94
121,Wyoming,5,60,19,31.67
122,Marshall,4,51,16,31.37
123,Illinois,6,74,23,31.08
124,UTEP,6,81,25,30.86
125,Iowa State,5,72,22,30.56
126,Akron,5,66,20,30.30
127,Eastern Michigan,5,63,19,30.16
128,James Madison,5,67,19,28.36
129,Iowa,5,65,18,27.69
130,Florida International,6,74,20,27.03
131,Louisiana-Monroe,4,52,14,26.92
132,Sam Houston State,5,74,19,25.68
133,Charlotte,5,64,16,25.00
