,,,10+,20+,30+,40+,50+,60+,70+,80+,90+

1,Air Force,5,36,15,5,0,0,0,0,0,0
1,Ohio State,4,36,9,3,0,0,0,0,0,0
3,Miami (Florida),4,38,12,6,3,0,0,0,0,0
4,Penn State,5,39,12,5,1,1,1,0,0,0
5,UCLA,4,40,7,3,1,1,0,0,0,0
6,Army,4,42,15,6,4,2,2,1,0,0
6,Marshall,4,42,13,10,8,6,4,2,0,0
8,Rutgers,5,44,11,3,0,0,0,0,0,0
9,Michigan,5,45,12,6,3,3,2,1,0,0
10,Clemson,5,46,16,7,2,0,0,0,0,0
10,Ohio,5,46,10,4,3,0,0,0,0,0
10,Wake Forest,4,46,18,14,7,3,1,0,0,0
13,Oregon,5,47,12,5,1,1,0,0,0,0
13,Texas A&M,5,47,17,9,4,2,1,0,0,0
15,Kentucky,5,49,17,5,1,0,0,0,0,0
15,Texas,5,49,16,8,4,3,1,0,0,0
17,Syracuse,5,50,13,6,4,2,2,2,1,0
17,UTSA,4,50,19,9,8,3,1,1,1,0
19,Florida,5,51,15,9,5,3,2,2,0,0
19,Florida Atlantic,4,51,15,7,5,1,1,0,0,0
21,Duke,5,52,13,5,1,0,0,0,0,0
21,Fresno State,5,52,15,5,3,1,1,1,1,0
21,Maryland,5,52,12,5,3,0,0,0,0,0
21,North Carolina State,5,52,21,13,9,4,3,2,1,0
21,Notre Dame,6,52,20,8,2,1,1,0,0,0
21,Tennessee,5,52,13,8,6,3,2,1,0,0
27,Navy,4,53,16,6,3,3,3,1,1,0
27,Oregon State,5,53,20,7,4,1,1,0,0,0
29,Iowa,5,54,6,3,2,1,1,0,0,0
29,Louisiana-Lafayette,5,54,16,10,5,1,1,0,0,0
31,Alabama,5,55,15,10,3,1,0,0,0,0
31,Georgia,5,55,10,4,2,1,1,0,0,0
31,Washington,5,55,16,9,5,3,1,0,0,0
31,Washington State,4,55,17,8,5,3,1,1,0,0
35,Akron,5,56,20,10,6,3,0,0,0,0
35,Appalachian State,5,56,20,11,6,3,2,1,0,0
35,Utah,5,56,19,11,7,0,0,0,0,0
38,South Alabama,5,57,20,12,8,3,3,2,0,0
38,Wisconsin,4,57,12,5,3,2,1,0,0,0
40,Iowa State,5,58,17,9,6,4,2,1,0,0
40,Pittsburgh,5,58,15,8,6,5,2,1,0,0
40,Virginia Tech,5,58,21,8,5,5,3,1,0,0
43,Memphis,5,59,22,11,6,6,2,2,0,0
43,Oklahoma,5,59,19,7,3,2,1,0,0,0
43,Texas Tech,5,59,15,7,3,1,1,1,0,0
46,Auburn,5,60,18,9,3,2,1,1,0,0
46,Florida State,4,60,20,13,7,3,1,1,0,0
46,James Madison,5,60,26,15,8,6,5,2,0,0
46,Michigan State,5,60,19,12,3,2,0,0,0,0
46,TCU,5,60,23,12,7,3,1,1,0,0
46,Troy,5,60,19,8,2,0,0,0,0,0
46,West Virginia,5,60,19,8,3,2,1,1,0,0
