,,,10+,20+,30+,40+,50+,60+,70+,80+,90+
53,Arizona State,5,61,17,9,5,1,0,0,0,0
53,California,5,61,17,10,6,4,1,0,0,0
53,Louisville,5,61,24,11,5,1,0,0,0,0
56,Liberty,5,62,20,6,4,1,0,0,0,0
56,New Mexico,5,62,23,11,6,5,4,1,0,0
56,Toledo,5,62,17,8,2,1,1,1,1,0
59,Arkansas,5,63,26,13,5,0,0,0,0,0
59,Kansas State,5,63,24,13,9,1,1,0,0,0
59,Mississippi State,5,63,21,9,7,4,2,2,0,0
59,North Carolina,4,63,20,6,1,0,0,0,0,0
63,Indiana,5,64,20,9,6,3,3,2,1,0
63,Northern Illinois,5,64,17,7,4,1,1,0,0,0
63,SMU,5,64,16,7,2,2,0,0,0,0
66,Connecticut,5,65,17,9,7,5,4,1,0,0
66,Sam Houston State,5,65,23,12,4,2,0,0,0,0
66,Temple,5,65,24,11,7,4,2,1,0,0
69,Boston College,5,66,26,15,8,2,1,1,0,0
69,Cincinnati,5,66,26,9,4,3,2,1,0,0
69,Minnesota,5,66,18,9,4,3,1,1,1,0
69,Northwestern,5,66,19,8,2,0,0,0,0,0
73,Arizona,5,67,24,7,3,2,0,0,0,0
73,East Carolina,5,67,19,10,4,3,2,1,0,0
73,Kent State,5,67,27,15,7,1,0,0,0,0
73,North Texas,4,67,26,12,6,2,1,0,0,0
73,Tulane,5,67,20,7,1,0,0,0,0,0
78,Jacksonville State,6,68,22,13,7,4,3,3,0,0
78,Oklahoma State,5,68,21,10,5,4,3,1,0,0
80,Charlotte,5,69,26,11,6,4,3,3,2,2
80,Kansas,5,69,24,9,5,5,2,1,0,0
80,South Florida,5,69,29,12,9,4,2,1,1,0
80,Southern Mississippi,5,69,31,17,8,4,4,2,1,0
80,UTEP,6,69,24,14,10,6,3,2,2,0
85,Georgia Southern,5,70,22,7,3,1,1,0,0,0
85,Louisiana-Monroe,4,70,19,8,3,2,0,0,0,0
85,Missouri,5,70,21,7,1,0,0,0,0,0
88,Colorado State,4,71,21,5,3,1,0,0,0,0
88,Georgia Tech,5,71,26,11,8,4,3,1,0,0
88,Nebraska,6,71,20,7,3,0,0,0,0,0
88,Old Dominion,5,71,20,11,6,0,0,0,0,0
88,USC,5,71,29,12,7,6,3,2,0,0
88,Virginia,5,71,22,12,5,1,1,0,0,0
88,Wyoming,5,71,16,7,4,1,1,0,0,0
95,BYU,5,72,23,5,1,1,0,0,0,0
95,Baylor,5,72,28,14,8,4,3,1,0,0
95,Mississippi,5,72,26,12,7,5,1,1,0,0
95,San Jose State,5,72,15,6,1,1,1,1,0,0
95,Tulsa,5,72,26,15,3,2,0,0,0,0
95,Utah State,5,72,22,9,4,3,1,1,0,0
95,Western Michigan,5,72,29,13,7,5,2,2,1,0
102,Miami (Ohio),5,73,22,10,4,3,1,1,0,0
103,UCF,5,74,21,10,2,0,0,0,0,0
104,Bowling Green,5,75,21,9,4,3,0,0,0,0
104,Massachusetts,6,75,39,20,14,9,4,3,2,1
106,Arkansas State,5,76,25,9,7,5,2,0,0,0
106,Ball State,5,76,27,17,6,1,0,0,0,0
106,Georgia State,5,76,22,12,5,3,2,1,0,0
106,UAB,5,76,26,10,4,3,1,1,1,0
106,UNLV,5,76,32,14,7,4,1,1,0,0
111,Purdue,5,77,28,11,3,1,0,0,0,0
112,South Carolina,5,78,21,13,6,4,2,0,0,0
113,Boise State,5,79,32,16,7,4,0,0,0,0
113,Central Michigan,5,79,31,15,8,6,6,6,1,0
113,Middle Tennessee,6,79,29,13,10,4,2,0,0,0
116,Rice,5,80,29,15,8,5,0,0,0,0
117,Coastal Carolina,5,81,20,9,3,1,1,0,0,0
117,Hawai'i,6,81,32,17,9,1,1,0,0,0
117,Houston,5,81,24,9,3,1,0,0,0,0
120,LSU,5,83,27,14,9,4,1,0,0,0
120,San Diego State,6,83,34,17,8,6,2,2,1,0
122,Buffalo,5,84,32,15,11,5,3,2,1,0
122,Nevada,5,84,39,18,13,7,5,4,0,0
122,Texas State,5,84,30,14,6,1,0,0,0,0
125,Stanford,5,85,24,11,3,1,1,1,0,0
126,Illinois,6,86,26,8,3,0,0,0,0,0
127,Louisiana Tech,7,87,35,15,9,6,5,2,0,0
128,Eastern Michigan,5,88,25,5,5,3,2,0,0,0
129,Colorado,5,89,23,9,5,3,2,2,0,0
130,New Mexico State,6,90,33,10,7,2,2,0,0,0
131,Vanderbilt,6,92,28,14,8,4,2,1,0,0
132,Western Kentucky,6,94,36,12,6,2,2,2,1,0
133,Florida International,6,107,31,11,6,3,2,0,0,0
