,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
1,Michigan,5,8,3,37.50,1,12.50,2,25.00
2,Texas,5,10,5,50.00,1,10.00,4,40.00
3,Duke,5,13,7,53.85,6,46.15,1,7.69
3,Syracuse,5,13,7,53.85,6,46.15,1,7.69
5,Louisville,5,11,6,54.55,6,54.55,0,0.00
6,Notre Dame,6,20,11,55.00,7,35.00,4,20.00
7,Wake Forest,4,9,5,55.56,2,22.22,3,33.33
7,UCLA,4,9,5,55.56,3,33.33,2,22.22
9,Rutgers,5,13,8,61.54,6,46.15,2,15.38
10,Army,4,11,7,63.64,4,36.36,3,27.27
11,Georgia State,5,17,11,64.71,7,41.18,4,23.53
12,Wisconsin,4,12,8,66.67,7,58.33,1,8.33
12,Maryland,5,15,10,66.67,6,40.00,4,26.67
14,Colorado,5,22,15,68.18,15,68.18,0,0.00
15,Auburn,5,13,9,69.23,6,46.15,3,23.08
16,Ohio,5,10,7,70.00,5,50.00,2,20.00
16,Michigan State,5,20,14,70.00,10,50.00,4,20.00
18,Florida State,4,17,12,70.59,8,47.06,4,23.53
19,Iowa,5,14,10,71.43,6,42.86,4,28.57
19,TCU,5,14,10,71.43,7,50.00,3,21.43
21,Old Dominion,5,25,18,72.00,12,48.00,6,24.00
22,Arizona,5,18,13,72.22,8,44.44,5,27.78
23,Utah,5,11,8,72.73,5,45.45,3,27.27
23,Miami (Florida),4,11,8,72.73,6,54.55,2,18.18
23,Oregon State,5,11,8,72.73,7,63.64,1,9.09
23,Coastal Carolina,5,22,16,72.73,10,45.45,6,27.27
23,Florida International,6,22,16,72.73,11,50.00,5,22.73
28,Rice,5,26,19,73.08,14,53.85,5,19.23
29,North Carolina,4,15,11,73.33,8,53.33,3,20.00
30,Toledo,5,19,14,73.68,9,47.37,5,26.32
31,New Mexico State,6,27,20,74.07,12,44.44,8,29.63
32,Oklahoma,5,8,6,75.00,3,37.50,3,37.50
32,Air Force,5,8,6,75.00,6,75.00,0,0.00
32,Navy,4,16,12,75.00,12,75.00,0,0.00
32,Bowling Green,5,20,15,75.00,11,55.00,4,20.00
36,Western Kentucky,6,21,16,76.19,12,57.14,4,19.05
37,Miami (Ohio),5,17,13,76.47,7,41.18,6,35.29
37,Louisiana-Monroe,4,17,13,76.47,7,41.18,6,35.29
37,Memphis,5,17,13,76.47,8,47.06,5,29.41
37,South Alabama,5,17,13,76.47,8,47.06,5,29.41
41,West Virginia,5,13,10,76.92,5,38.46,5,38.46
41,Alabama,5,13,10,76.92,6,46.15,4,30.77
41,SMU,5,13,10,76.92,7,53.85,3,23.08
44,Marshall,4,9,7,77.78,4,44.44,3,33.33
44,Clemson,5,9,7,77.78,6,66.67,1,11.11
44,Eastern Michigan,5,18,14,77.78,9,50.00,5,27.78
44,UNLV,5,18,14,77.78,10,55.56,4,22.22
48,Nevada,5,23,18,78.26,13,56.52,5,21.74
49,Tennessee,5,14,11,78.57,6,42.86,5,35.71
49,Kentucky,5,14,11,78.57,8,57.14,3,21.43
51,Georgia Southern,5,19,15,78.95,14,73.68,1,5.26
52,Florida,5,10,8,80.00,7,70.00,1,10.00
52,Tulane,5,15,12,80.00,6,40.00,6,40.00
52,Liberty,5,15,12,80.00,9,60.00,3,20.00
52,Florida Atlantic,4,15,12,80.00,11,73.33,1,6.67
56,Boise State,5,21,17,80.95,15,71.43,2,9.52
57,Iowa State,5,16,13,81.25,8,50.00,5,31.25
57,Illinois,6,32,26,81.25,17,53.13,9,28.13
59,Oregon,5,11,9,81.82,6,54.55,3,27.27
59,Oklahoma State,5,11,9,81.82,8,72.73,1,9.09
61,Arkansas,5,17,14,82.35,7,41.18,7,41.18
61,UCF,5,17,14,82.35,10,58.82,4,23.53
61,Colorado State,4,17,14,82.35,10,58.82,4,23.53
61,Indiana,5,17,14,82.35,10,58.82,4,23.53
61,East Carolina,5,17,14,82.35,11,64.71,3,17.65
61,Houston,5,17,14,82.35,13,76.47,1,5.88
67,Ohio State,4,6,5,83.33,4,66.67,1,16.67
67,Jacksonville State,6,12,10,83.33,6,50.00,4,33.33
67,Fresno State,5,12,10,83.33,8,66.67,2,16.67
67,Georgia,5,12,10,83.33,8,66.67,2,16.67
67,James Madison,5,12,10,83.33,9,75.00,1,8.33
67,Mississippi,5,18,15,83.33,10,55.56,5,27.78
67,South Florida,5,18,15,83.33,12,66.67,3,16.67
67,Arkansas State,5,24,20,83.33,15,62.50,5,20.83
75,Louisiana-Lafayette,5,19,16,84.21,13,68.42,3,15.79
75,Tulsa,5,19,16,84.21,14,73.68,2,10.53
77,BYU,5,13,11,84.62,6,46.15,5,38.46
77,Sam Houston State,5,13,11,84.62,10,76.92,1,7.69
79,Hawai'i,6,20,17,85.00,11,55.00,6,30.00
79,Ball State,5,20,17,85.00,12,60.00,5,25.00
79,Purdue,5,20,17,85.00,13,65.00,4,20.00
79,Appalachian State,5,20,17,85.00,14,70.00,3,15.00
83,Baylor,5,14,12,85.71,10,71.43,2,14.29
83,Washington,5,14,12,85.71,10,71.43,2,14.29
83,Akron,5,14,12,85.71,11,78.57,1,7.14
83,Arizona State,5,21,18,85.71,10,47.62,8,38.10
83,Massachusetts,6,21,18,85.71,13,61.90,5,23.81
83,San Diego State,6,21,18,85.71,13,61.90,5,23.81
83,Stanford,5,21,18,85.71,15,71.43,3,14.29
90,South Carolina,5,22,19,86.36,14,63.64,5,22.73
90,Temple,5,22,19,86.36,14,63.64,5,22.73
92,UTSA,4,15,13,86.67,9,60.00,4,26.67
92,Pittsburgh,5,15,13,86.67,11,73.33,2,13.33
94,Louisiana Tech,7,23,20,86.96,14,60.87,6,26.09
94,Texas State,5,23,20,86.96,16,69.57,4,17.39
94,Middle Tennessee,6,23,20,86.96,18,78.26,2,8.70
97,Texas A&M,5,8,7,87.50,3,37.50,4,50.00
97,Cincinnati,5,16,14,87.50,10,62.50,4,25.00
97,Vanderbilt,6,24,21,87.50,11,45.83,10,41.67
97,Utah State,5,24,21,87.50,17,70.83,4,16.67
97,UTEP,6,24,21,87.50,18,75.00,3,12.50
102,UAB,5,25,22,88.00,17,68.00,5,20.00
103,Connecticut,5,17,15,88.24,11,64.71,4,23.53
103,Troy,5,17,15,88.24,11,64.71,4,23.53
105,Charlotte,5,18,16,88.89,7,38.89,9,50.00
105,Texas Tech,5,18,16,88.89,10,55.56,6,33.33
105,North Texas,4,18,16,88.89,13,72.22,3,16.67
108,Wyoming,5,19,17,89.47,10,52.63,7,36.84
108,Nebraska,6,19,17,89.47,11,57.89,6,31.58
110,Buffalo,5,20,18,90.00,13,65.00,5,25.00
110,Kent State,5,20,18,90.00,15,75.00,3,15.00
112,Northwestern,5,21,19,90.48,15,71.43,4,19.05
113,North Carolina State,5,11,10,90.91,7,63.64,3,27.27
114,USC,5,12,11,91.67,8,66.67,3,25.00
115,Kansas State,5,13,12,92.31,3,23.08,9,69.23
116,Minnesota,5,14,13,92.86,8,57.14,5,35.71
116,Missouri,5,14,13,92.86,9,64.29,4,28.57
118,Northern Illinois,5,17,16,94.12,14,82.35,2,11.76
119,New Mexico,5,18,17,94.44,9,50.00,8,44.44
119,Mississippi State,5,18,17,94.44,12,66.67,5,27.78
119,Central Michigan,5,18,17,94.44,15,83.33,2,11.11
122,Southern Mississippi,5,19,18,94.74,15,78.95,3,15.79
122,San Jose State,5,19,18,94.74,16,84.21,2,10.53
122,Boston College,5,19,18,94.74,17,89.47,1,5.26
125,LSU,5,20,19,95.00,13,65.00,6,30.00
125,Georgia Tech,5,20,19,95.00,14,70.00,5,25.00
127,Virginia,5,21,20,95.24,18,85.71,2,9.52
128,Western Michigan,5,22,21,95.45,16,72.73,5,22.73
129,Penn State,5,7,7,100.00,5,71.43,2,28.57
129,Washington State,4,11,11,100.00,8,72.73,3,27.27
129,Virginia Tech,5,11,11,100.00,9,81.82,2,18.18
129,California,5,15,15,100.00,12,80.00,3,20.00
129,Kansas,5,19,19,100.00,13,68.42,6,31.58
