,,,10+,20+,30+,40+,50+,60+,70+,80+,90+
113,Ohio State,4,55,24,9,7,3,3,2,0,0
113,Old Dominion,5,55,26,18,12,7,6,2,0,0
113,Rutgers,5,55,13,6,4,3,2,0,0,0
117,Northern Illinois,5,54,16,4,2,2,2,1,1,0
117,Western Michigan,5,54,17,14,6,4,3,1,0,0
119,Air Force,5,53,20,8,6,4,2,1,1,0
119,Akron,5,53,15,6,4,3,2,2,0,0
121,UTSA,4,52,17,6,5,1,1,1,0,0
121,Utah,5,52,13,7,5,1,1,1,0,0
123,Kent State,5,51,14,10,4,0,0,0,0,0
123,Northwestern,5,51,12,5,4,2,2,2,2,0
125,Nevada,5,48,14,7,4,3,2,2,0,0
126,Wyoming,5,47,13,6,6,5,5,1,0,0
127,Eastern Michigan,5,43,13,4,4,3,1,0,0,0
127,Louisiana-Monroe,4,43,22,9,4,1,1,0,0,0
129,Florida Atlantic,4,42,16,7,3,2,1,1,0,0
130,Iowa,5,41,16,8,2,2,0,0,0,0
131,Army,4,39,19,8,5,5,2,2,1,0
132,Sam Houston State,5,37,15,2,2,1,0,0,0,0
133,Navy,4,36,14,9,5,3,2,1,0,0
