,Name,G,TFL,TFL Yards,TFL/G
1,Michigan,5,10.0,35,2.00
2,Ohio State,4,13.0,39,3.25
2,Florida State,4,13.0,45,3.25
4,Miami (Florida),4,14.0,39,3.50
4,Air Force,5,14.0,45,2.80
6,Tennessee,5,15.0,53,3.00
7,Toledo,5,16.0,56,3.20
8,Minnesota,5,17.0,44,3.40
8,Wisconsin,4,17.0,62,4.25
8,Navy,4,17.0,69,4.25
8,USC,5,17.0,87,3.40
12,Liberty,5,18.0,61,3.60
12,Maryland,5,18.0,61,3.60
12,North Texas,4,18.0,63,4.50
12,Army,4,18.0,65,4.50
16,Washington,5,19.0,52,3.80
16,Oregon,5,19.0,55,3.80
16,Penn State,5,19.0,56,3.80
16,Appalachian State,5,19.0,65,3.80
16,Louisiana-Monroe,4,19.0,67,4.75
16,Kansas,5,19.0,83,3.80
16,LSU,5,19.0,87,3.80
23,Rutgers,5,20.0,51,4.00
23,Kansas State,5,20.0,66,4.00
23,SMU,5,20.0,71,4.00
23,Notre Dame,6,20.0,85,3.33
23,Louisiana-Lafayette,5,20.0,98,4.00
28,Georgia,5,21.0,63,4.20
28,West Virginia,5,21.0,68,4.20
28,North Carolina,4,21.0,76,5.25
28,Kentucky,5,21.0,81,4.20
28,Louisville,5,21.0,98,4.20
33,Duke,5,22.0,55,4.40
33,Colorado State,4,22.0,59,5.50
33,Temple,5,22.0,66,4.40
33,Oklahoma,5,22.0,73,4.40
33,Western Michigan,5,22.0,82,4.40
33,Georgia Southern,5,22.0,85,4.40
33,Texas A&M,5,22.0,88,4.40
33,New Mexico State,6,22.0,93,3.67
33,Miami (Ohio),5,22.0,94,4.40
33,UCLA,4,22.0,106,5.50
33,Texas Tech,5,22.0,111,4.40
44,Arizona,5,23.0,78,4.60
44,Marshall,4,23.0,87,5.75
46,Boston College,5,24.0,89,4.80
46,Oklahoma State,5,24.0,95,4.80
46,Washington State,4,24.0,96,6.00
46,Wyoming,5,24.0,102,4.80
46,Tulane,5,24.0,103,4.80
46,Fresno State,5,24.0,139,4.80
52,UCF,5,25.0,97,5.00
52,Texas,5,25.0,99,5.00
54,Sam Houston State,5,26.0,100,5.20
54,UTSA,4,26.0,109,6.50
56,Iowa State,5,27.0,65,5.40
56,Ohio,5,27.0,83,5.40
56,Georgia State,5,27.0,86,5.40
56,Texas State,5,27.0,89,5.40
56,Cincinnati,5,27.0,92,5.40
56,Georgia Tech,5,27.0,92,5.40
56,Florida Atlantic,4,27.0,93,6.75
56,California,5,27.0,104,5.40
56,Arkansas State,5,27.0,116,5.40
56,San Jose State,5,27.0,121,5.40
56,Pittsburgh,5,27.0,160,5.40
67,Western Kentucky,6,28.0,87,4.67
67,Buffalo,5,28.0,94,5.60
67,TCU,5,28.0,97,5.60
67,Oregon State,5,28.0,98,5.60
67,Boise State,5,28.0,101,5.60
67,Indiana,5,28.0,101,5.60
67,UNLV,5,28.0,110,5.60
67,Iowa,5,28.0,126,5.60
67,South Alabama,5,28.0,144,5.60
76,Purdue,5,29.0,130,5.80
77,Michigan State,5,30.0,122,6.00
77,Houston,5,30.0,124,6.00
77,Central Michigan,5,30.0,144,6.00
77,Utah,5,30.0,148,6.00
81,Syracuse,5,31.0,97,6.20
81,North Carolina State,5,31.0,101,6.20
81,Northern Illinois,5,31.0,109,6.20
81,BYU,5,31.0,112,6.20
81,Mississippi State,5,31.0,120,6.20
81,Clemson,5,31.0,135,6.20
81,Nebraska,6,31.0,141,5.17
81,Wake Forest,4,31.0,161,7.75
89,Memphis,5,32.0,91,6.40
89,Missouri,5,32.0,105,6.40
89,Connecticut,5,32.0,117,6.40
89,Coastal Carolina,5,32.0,130,6.40
89,Florida,5,32.0,143,6.40
89,Southern Mississippi,5,32.0,144,6.40
89,UTEP,6,32.0,145,5.33
89,Baylor,5,32.0,149,6.40
97,Mississippi,5,33.0,95,6.60
97,Vanderbilt,6,33.0,121,5.50
97,Eastern Michigan,5,33.0,126,6.60
97,Utah State,5,33.0,133,6.60
97,East Carolina,5,33.0,137,6.60
97,Akron,5,33.0,157,6.60
103,James Madison,5,34.0,103,6.80
103,Jacksonville State,6,34.0,122,5.67
103,New Mexico,5,34.0,127,6.80
103,Arizona State,5,34.0,131,6.80
103,Rice,5,34.0,135,6.80
103,Troy,5,34.0,136,6.80
103,Virginia Tech,5,34.0,141,6.80
110,Auburn,5,35.0,114,7.00
110,Bowling Green,5,35.0,136,7.00
112,San Diego State,6,36.0,134,6.00
112,UAB,5,36.0,140,7.20
112,Northwestern,5,36.0,167,7.20
115,Alabama,5,37.0,169,7.40
115,Arkansas,5,37.0,174,7.40
115,Old Dominion,5,37.0,177,7.40
118,Charlotte,5,39.0,173,7.80
119,Tulsa,5,41.0,145,8.20
119,Illinois,6,41.0,147,6.83
119,Massachusetts,6,41.0,168,6.83
119,Virginia,5,41.0,179,8.20
119,Ball State,5,41.0,182,8.20
119,Florida International,6,41.0,189,6.83
125,Stanford,5,42.0,154,8.40
125,Colorado,5,42.0,262,8.40
127,South Florida,5,43.0,172,8.60
127,South Carolina,5,43.0,174,8.60
129,Kent State,5,44.0,167,8.80
129,Louisiana Tech,7,44.0,172,6.29
129,Nevada,5,44.0,176,8.80
132,Middle Tennessee,6,46.0,195,7.67
132,Hawai'i,6,46.0,231,7.67
