GC,CONF,REM SOS,FPI,SOS,AVGWP,SOR,AP/CFP,Team
1,,15,9,92,1,5,7,
16,,60,10,31,43,2,5,
7,,61,11,10,14,14,10,
6,,1,12,119,4,21,9,
21,,42,13,4,44,8,16,
15,,34,14,5,48,33,23,
10,,38,15,104,5,12,17,
11,,4,16,39,18,23,--,
13,,49,17,21,31,39,--,
25,,10,18,96,26,42,22,
23,,33,19,89,24,40,15,
19,,53,20,101,25,10,14,
43,,56,21,79,32,38,--,
49,,41,22,73,50,55,--,
17,,46,23,52,17,27,19,
39,,37,24,94,47,43,--,
22,,2,25,121,11,22,--,
36,,17,26,58,54,25,18,
33,,6,27,102,27,66,--,
42,,45,28,109,30,17,25,
44,,54,29,99,37,48,--,
20,,7,30,123,7,24,20,
34,,36,31,71,33,67,--,
31,,31,32,11,59,41,--,
45,,40,33,43,56,83,--,
32,,98,34,8,46,58,--,
48,,24,35,29,58,93,--,
50,,18,36,38,68,44,--,
30,,28,37,106,23,15,21,
5,,20,38,93,3,6,13,
37,,68,39,22,52,26,--,
51,,55,40,2,93,54,--,
52,,73,41,34,69,82,--,
66,,19,42,41,70,60,--,
35,,39,43,6,64,11,--,
14,,5,44,42,15,37,--,
38,,100,45,131,12,32,--,
74,,52,46,15,97,70,--,
27,,84,47,82,19,46,--,
28,,95,48,117,16,19,24,
56,,13,49,69,62,63,--,
79,,47,50,12,90,79,--,
46,,48,51,28,40,34,--,
59,,59,52,65,55,61,--,
77,,21,53,68,84,78,--,
90,,50,54,88,83,64,--,
87,,51,55,66,81,68,--,
47,,8,56,78,41,35,--,
76,,83,57,114,45,49,--,
109,,32,58,70,114,115,--,
68,,64,59,1,112,29,--,
82,,3,60,53,89,86,--,
88,,77,61,130,51,31,--,
60,,82,62,32,79,84,--,
99,,44,63,74,98,91,--,
91,,63,64,25,103,77,--,
26,,89,65,85,22,45,--,
29,,117,66,133,9,36,--,
54,,27,67,37,74,90,--,
67,,72,68,47,76,75,--,
103,,11,69,132,65,72,--,
85,,118,70,128,34,62,--,
92,,57,71,97,88,92,--,
104,,67,72,19,128,71,--,
119,,70,73,36,119,96,--,
93,,105,74,77,85,101,--,
70,,108,75,76,73,73,--,
41,,99,76,118,28,20,--,
53,,120,77,55,61,30,--,
75,,103,78,75,77,74,--,
101,,97,79,63,122,97,--,
63,,80,80,23,63,28,--,
89,,23,81,7,108,85,--,
40,,69,82,83,42,80,--,
58,,121,83,14,53,59,--,
97,,109,84,98,91,98,--,
65,,104,85,120,38,51,--,
69,,112,86,115,49,87,--,
64,,128,87,122,36,52,--,
55,,71,88,125,29,53,--,
61,,86,89,30,60,65,--,
57,,81,90,40,39,47,--,
62,,107,91,54,57,69,--,
123,,111,92,91,120,100,--,
110,,65,93,57,113,94,--,
100,,88,94,35,106,122,--,
83,,106,95,26,104,111,--,
118,,101,96,126,67,57,--,
98,,29,97,56,107,110,--,
80,,58,98,46,109,130,--,
111,,115,99,27,118,118,--,
72,,76,100,3,87,50,--,
86,,96,101,64,102,106,--,
120,,30,102,87,100,113,--,
95,,123,103,45,101,56,--,
71,,43,104,9,94,107,--,
108,,125,105,33,115,89,--,
124,,133,106,110,116,123,--,
106,,110,107,49,123,116,--,
105,,116,108,50,105,103,--,
115,,79,109,124,66,114,--,
94,,90,110,116,78,88,--,
129,,122,111,90,111,120,--,
81,,78,112,60,95,117,--,
84,,91,113,24,72,76,--,
116,,132,114,81,121,130,--,
112,,127,115,13,110,126,--,
73,,102,116,62,86,95,--,
107,,94,117,61,99,105,--,
96,,85,118,111,75,104,--,
127,,113,119,80,126,124,--,
128,,87,120,48,124,125,--,
132,,114,121,16,133,112,--,
102,,75,122,129,71,99,--,
78,,66,123,67,82,81,--,
125,,124,124,20,132,121,--,
122,,93,125,72,117,102,--,
117,,129,126,113,92,109,--,
130,,74,127,107,129,130,--,
113,,119,128,103,96,127,--,
131,,131,129,108,125,128,--,
121,,126,130,44,131,130,--,
133,,62,131,86,130,129,--,
114,,130,132,59,127,119,--,
126,,92,133,127,80,108,--,
