,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
93,James Madison,5,23,18,78.26,11,47.83,7,30.43
94,West Virginia,5,18,14,77.78,13,72.22,1,5.56
94,Western Michigan,5,18,14,77.78,12,66.67,2,11.11
96,UAB,5,26,20,76.92,17,65.38,3,11.54
96,UTEP,6,13,10,76.92,8,61.54,2,15.38
96,Connecticut,5,13,10,76.92,7,53.85,3,23.08
96,Louisiana-Monroe,4,13,10,76.92,7,53.85,3,23.08
96,Ohio State,4,13,10,76.92,7,53.85,3,23.08
101,Kentucky,5,17,13,76.47,11,64.71,2,11.76
102,Purdue,5,21,16,76.19,14,66.67,2,9.52
102,South Florida,5,21,16,76.19,13,61.90,3,14.29
102,Cincinnati,5,21,16,76.19,9,42.86,7,33.33
105,Liberty,5,24,18,75.00,13,54.17,5,20.83
105,Coastal Carolina,5,24,18,75.00,12,50.00,6,25.00
105,Washington State,4,20,15,75.00,15,75.00,0,0.00
105,Marshall,4,16,12,75.00,9,56.25,3,18.75
105,Charlotte,5,12,9,75.00,7,58.33,2,16.67
105,Utah,5,12,9,75.00,7,58.33,2,16.67
105,UTSA,4,8,6,75.00,6,75.00,0,0.00
105,Iowa State,5,8,6,75.00,5,62.50,1,12.50
105,Sam Houston State,5,8,6,75.00,5,62.50,1,12.50
114,California,5,23,17,73.91,14,60.87,3,13.04
114,UCF,5,23,17,73.91,13,56.52,4,17.39
114,Georgia Tech,5,23,17,73.91,13,56.52,4,17.39
117,Middle Tennessee,6,19,14,73.68,10,52.63,4,21.05
118,Florida International,6,15,11,73.33,8,53.33,3,20.00
119,Houston,5,22,16,72.73,14,63.64,2,9.09
119,Tulane,5,22,16,72.73,10,45.45,6,27.27
121,Baylor,5,25,18,72.00,10,40.00,8,32.00
122,Navy,4,14,10,71.43,7,50.00,3,21.43
122,Akron,5,14,10,71.43,5,35.71,5,35.71
124,TCU,5,20,14,70.00,10,50.00,4,20.00
125,Hawai'i,6,26,18,69.23,11,42.31,7,26.92
125,UCLA,4,13,9,69.23,7,53.85,2,15.38
127,Clemson,5,29,20,68.97,17,58.62,3,10.34
128,Nebraska,6,18,12,66.67,9,50.00,3,16.67
128,San Diego State,6,15,10,66.67,8,53.33,2,13.33
130,Temple,5,20,13,65.00,10,50.00,3,15.00
131,Colorado State,4,16,10,62.50,8,50.00,2,12.50
132,Florida Atlantic,4,15,9,60.00,7,46.67,2,13.33
133,Old Dominion,5,13,6,46.15,4,30.77,2,15.38
