GC,CONF,REM SOS,FPI,SOS,AVGWP,SOR,AP/CFP,Team
,CUSA,122,111,90,111,120,--,Louisiana Tech Bulldogs
,American,78,112,60,95,117,--,Navy Midshipmen
,Sun Belt,91,113,24,72,76,--,Arkansas State Red Wolves
,CUSA,132,114,81,121,130,--,Sam Houston Bearkats
,CUSA,127,115,13,110,126,--,Middle Tennessee Blue Raiders
,MAC,102,116,62,86,95,--,Western Michigan Broncos
,Mountain West,94,117,61,99,105,--,New Mexico Lobos
,Sun Belt,85,118,111,75,104,--,Old Dominion Monarchs
,MAC,113,119,80,126,124,--,Buffalo Bulls
,Sun Belt,87,120,48,124,125,--,Southern Miss Golden Eagles
,Mountain West,114,121,16,133,112,--,Hawai'i Rainbow Warriors
,American,75,122,129,71,99,--,North Texas Mean Green
,Sun Belt,66,123,67,82,81,--,UL Monroe Warhawks
,MAC,124,124,20,132,121,--,Ball State Cardinals
,American,93,125,72,117,102,--,Temple Owls
,MAC,129,126,113,92,109,--,Eastern Michigan Eagles
,FBS Indep.,74,127,107,129,130,--,UConn Huskies
,MAC,119,128,103,96,127,--,Akron Zips
,CUSA,131,129,108,125,128,--,UTEP Miners
,Mountain West,126,130,44,131,130,--,Nevada Wolf Pack
,FBS Indep.,62,131,86,130,129,--,Massachusetts Minutemen
,MAC,130,132,59,127,119,--,Kent State Golden Flashes
,CUSA,92,133,127,80,108,--,Florida International Panthers
9,,,,,,,,
2,,,,,,,,
18,,,,,,,,
4,,,,,,,,
12,,,,,,,,
8,,,,,,,,
24,,,,,,,,
3,,,,,,,,
1,,,,,,,,
16,,,,,,,,
7,,,,,,,,
6,,,,,,,,
21,,,,,,,,
15,,,,,,,,
10,,,,,,,,
11,,,,,,,,
13,,,,,,,,
25,,,,,,,,
23,,,,,,,,
19,,,,,,,,
43,,,,,,,,
49,,,,,,,,
17,,,,,,,,
39,,,,,,,,
22,,,,,,,,
36,,,,,,,,
33,,,,,,,,
42,,,,,,,,
44,,,,,,,,
20,,,,,,,,
34,,,,,,,,
31,,,,,,,,
45,,,,,,,,
32,,,,,,,,
48,,,,,,,,
50,,,,,,,,
30,,,,,,,,
5,,,,,,,,
37,,,,,,,,
51,,,,,,,,
52,,,,,,,,
66,,,,,,,,
35,,,,,,,,
14,,,,,,,,
38,,,,,,,,
74,,,,,,,,
27,,,,,,,,
28,,,,,,,,
56,,,,,,,,
79,,,,,,,,
46,,,,,,,,
59,,,,,,,,
77,,,,,,,,
90,,,,,,,,
87,,,,,,,,
47,,,,,,,,
76,,,,,,,,
109,,,,,,,,
68,,,,,,,,
82,,,,,,,,
88,,,,,,,,
60,,,,,,,,
99,,,,,,,,
91,,,,,,,,
26,,,,,,,,
29,,,,,,,,
54,,,,,,,,
67,,,,,,,,
103,,,,,,,,
85,,,,,,,,
92,,,,,,,,
104,,,,,,,,
119,,,,,,,,
93,,,,,,,,
70,,,,,,,,
41,,,,,,,,
53,,,,,,,,
75,,,,,,,,
101,,,,,,,,
63,,,,,,,,
89,,,,,,,,
40,,,,,,,,
58,,,,,,,,
97,,,,,,,,
65,,,,,,,,
69,,,,,,,,
64,,,,,,,,
55,,,,,,,,
61,,,,,,,,
57,,,,,,,,
62,,,,,,,,
123,,,,,,,,
110,,,,,,,,
100,,,,,,,,
83,,,,,,,,
118,,,,,,,,
98,,,,,,,,
80,,,,,,,,
111,,,,,,,,
72,,,,,,,,
86,,,,,,,,
120,,,,,,,,
95,,,,,,,,
71,,,,,,,,
108,,,,,,,,
124,,,,,,,,
106,,,,,,,,
105,,,,,,,,
115,,,,,,,,
94,,,,,,,,
129,,,,,,,,
81,,,,,,,,
84,,,,,,,,
116,,,,,,,,
112,,,,,,,,
73,,,,,,,,
107,,,,,,,,
96,,,,,,,,
127,,,,,,,,
128,,,,,,,,
132,,,,,,,,
102,,,,,,,,
78,,,,,,,,
125,,,,,,,,
122,,,,,,,,
117,,,,,,,,
130,,,,,,,,
113,,,,,,,,
131,,,,,,,,
121,,,,,,,,
133,,,,,,,,
114,,,,,,,,
126,,,,,,,,
