"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Aaron Rodgers","QB","NYJ","23.6","17.4","26.4","-","15.9","12.5","23.7","33.8","26.2","27.5","29.3","23.1","16","21.2","12","37.2","34.2","23.8","380"
"2","David Johnson","RB","FA","21.2","15.8","24.6","12.4","32","33.3","21.1","14.3","-","24.6","31.5","26.1","34","14.6","24.8","31.6","5.9","23","367.8"
"3","Matt Ryan","QB","FA","24.4","27.8","19.9","35.5","15","21.6","13.7","24.4","27.8","12.7","-","18.3","16.2","21.5","19.3","20","29.4","21.7","347.5"
"4","Drew Brees","QB","FA","31.4","14.5","25.9","11.9","-","32.6","24.7","20.7","24.7","21","15.4","32.5","7","4.5","29.4","16.1","20","20.8","332.3"
"5","Ezekiel Elliott","RB","FA","11.7","13.7","17","22.2","30.6","18.4","-","16.8","22.2","39.9","14.7","25","18.5","10.7","26.3","21.7","-","20.6","309.4"
"6","Kirk Cousins","QB","MIN","10","18.6","19.3","17.3","12.3","17.3","21.5","24.2","-","18.4","27.4","30.2","16.8","16","9.7","29.8","11.5","18.8","300.3"
"7","Dak Prescott","QB","DAL","10.3","18.3","23.5","18.1","17.5","18.5","BYE","27.3","23.9","18.8","25.6","21.7","11.3","6.7","19.2","24","2.4","17.9","286.9"
"8","Le'Veon Bell","RB","FA","-","-","-","20.3","19.9","15.8","19.9","-","10","29.9","30.1","22.2","19.2","49.8","15.6","27.2","-","23.3","279.9"
"9","Matthew Stafford","QB","LAR","26.1","15.5","26.5","8.2","18.8","28.2","17.8","13.6","14.8","-","11.1","16.3","23.8","16.4","10.2","12.5","19.9","17.5","279.8"
"10","LeSean McCoy","RB","FA","15","11","25.1","19.8","16.8","32.7","1.1","-","14","-","11.5","28.4","22.6","19.8","30.4","23","2.1","18.2","273.3"
"11","Tyrod Taylor","QB","NYG","5.5","24.4","16.4","16.6","15.8","20","24.3","18.1","25.9","-","8.5","20.4","12.6","15.3","15.9","31.2","-","18.1","270.9"
"12","Blake Bortles","QB","FA","15","18.6","11.5","25.9","-","10.9","13.1","29.7","21.5","17.7","12.4","21.1","10.1","15.6","7.2","26.2","14.1","16.9","270.6"
