"Rank","Name","Team","POS","G","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","STUFF %","1+ %","3+ %","5+ %","10+ %","20+ %","30+ %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success Rate","ATT","ATT %","YDS","TD","YPC","Success Rate","FP/G","FP","XFP","XFP/G"
"11","Kenneth Walker","SEA","RB","15","228","1050","70.0","4.61","9","0","51","7.5%","481","45.8%","100.0%","3.9%","55.3%","76.3%","53.5%","28.9%","12.7%","4.4%","2.2%","53","0.23","558","2.45","53.1%","2.16","154","67.5%","787","8","5.11","40.9%","69","30.3%","248","1","3.59","36.2%","13.5","202.5","184.9","12.3"
"12","Rhamondre Stevenson","NE","RB","17","210","1040","61.2","4.95","5","2","49","7.6%","376","36.2%","60.0%","2.4%","46.7%","81.9%","59.0%","37.6%","14.3%","3.3%","1.9%","61","0.29","703","3.35","67.6%","1.60","77","36.7%","316","1","4.10","37.7%","131","62.4%","725","4","5.53","51.1%","14.7","250.1","264.0","15.5"
"13","Tyler Allgeier","ATL","RB","16","210","1035","64.7","4.93","3","0","53","6.2%","316","30.5%","40.0%","1.4%","43.8%","86.2%","60.5%","40.5%","10.0%","2.9%","1.4%","44","0.21","723","3.44","69.9%","1.49","169","80.5%","876","2","5.18","53.3%","40","19.0%","156","1","3.90","47.5%","10.0","159.4","152.2","9.5"
"14","Najee Harris","PIT","RB","17","272","1034","60.8","3.80","7","2","45","2.6%","135","13.1%","44.4%","2.6%","48.9%","83.8%","58.5%","35.3%","7.4%","0.4%","0.4%","61","0.22","729","2.68","70.5%","1.12","182","66.9%","744","4","4.09","48.9%","88","32.4%","285","3","3.24","39.8%","13.3","225.5","244.1","14.4"
"15","Tony Pollard","DAL","RB","16","193","1007","62.9","5.22","9","0","46","8.8%","440","43.7%","28.0%","4.7%","46.1%","80.8%","59.6%","35.8%","16.1%","4.7%","2.1%","37","0.19","741","3.84","73.6%","1.38","93","48.2%","451","3","4.85","43.0%","92","47.7%","529","5","5.75","51.1%","15.6","248.8","192.0","12.0"
"16","Dameon Pierce","HST","RB","13","220","939","72.2","4.27","4","4","54","4.1%","278","29.6%","52.9%","1.8%","47.7%","80.0%","55.9%","32.7%","10.0%","3.2%","1.4%","48","0.22","707","3.21","75.3%","1.05","111","50.5%","492","1","4.43","49.5%","109","49.5%","447","3","4.10","45.9%","13.0","168.4","191.2","14.7"
"17","Austin Ekeler","LAC","RB","17","204","915","53.8","4.49","13","3","46","3.4%","233","25.5%","55.0%","6.4%","49.0%","80.9%","55.4%","33.8%","10.8%","2.0%","1.0%","36","0.18","595","2.92","65.0%","1.57","107","52.5%","397","5","3.71","48.6%","94","46.1%","512","8","5.45","47.9%","22.1","375.7","338.1","19.9"
"18","D'Onta Foreman","CAR","RB","17","203","914","53.8","4.50","5","1","45","5.9%","303","33.2%","55.6%","2.5%","46.8%","84.2%","55.7%","32.0%","10.3%","3.9%","1.0%","31","0.15","642","3.16","70.2%","1.34","84","41.4%","384","2","4.57","41.7%","118","58.1%","530","3","4.49","54.2%","7.7","131.0","133.2","7.8"
"19","Alvin Kamara","NO","RB","15","223","897","59.8","4.02","2","2","40","2.7%","120","13.4%","44.4%","0.9%","45.3%","82.5%","58.7%","35.4%","9.0%","1.3%","0.0%","40","0.18","592","2.65","66.0%","1.37","131","58.7%","494","2","3.77","51.9%","90","40.4%","378","0","4.20","51.1%","14.4","215.7","231.1","15.4"
"20","Raheem Mostert","MIA","RB","16","181","891","55.7","4.92","3","1","44","5.0%","229","25.7%","41.7%","1.7%","44.2%","81.2%","61.3%","35.9%","14.9%","3.3%","0.6%","42","0.23","594","3.28","66.7%","1.64","113","62.4%","634","1","5.61","58.4%","62","34.3%","216","1","3.48","50.0%","10.6","169.3","170.2","10.6"
"21","Ezekiel Elliott","DAL","RB","15","231","876","58.4","3.79","12","0","52","3.5%","167","19.1%","70.4%","5.2%","45.9%","86.6%","51.1%","33.8%","7.4%","2.2%","0.0%","32","0.14","588","2.55","67.1%","1.25","119","51.5%","440","4","3.70","43.7%","107","46.3%","416","8","3.89","49.5%","12.4","185.8","190.4","12.7"
"22","Jonathan Taylor","IND","RB","11","192","861","78.3","4.48","4","3","39","3.6%","199","23.1%","60.0%","2.1%","47.9%","80.7%","55.7%","35.9%","10.9%","2.6%","0.5%","32","0.17","536","2.79","62.3%","1.69","112","58.3%","534","3","4.77","45.5%","78","40.6%","314","1","4.03","52.6%","13.6","149.4","171.5","15.6"
"23","Jeffery Wilson","SF, MIA","RB","16","176","860","53.8","4.89","5","2","43","7.4%","300","34.9%","40.9%","2.8%","46.0%","84.7%","56.3%","36.4%","13.6%","4.0%","1.7%","32","0.18","475","2.70","55.2%","2.19","106","60.2%","516","2","4.87","44.3%","67","38.1%","331","3","4.94","56.7%","10.0","160.5","166.3","10.4"
"24","Isiah Pacheco","KC","RB","17","170","830","48.8","4.88","5","3","37","4.7%","169","20.4%","35.7%","2.9%","37.1%","88.2%","68.8%","41.8%","8.8%","1.8%","0.6%","26","0.15","504","2.96","60.7%","1.92","112","65.9%","538","4","4.80","59.8%","57","33.5%","290","1","5.09","52.6%","8.1","137.0","125.5","7.4"
"25","Devin Singletary","BUF","RB","16","177","819","51.2","4.63","5","3","42","7.3%","268","32.7%","43.5%","2.8%","41.2%","82.5%","58.8%","36.7%","11.9%","2.8%","1.1%","34","0.19","474","2.68","57.9%","1.95","65","36.7%","309","0","4.75","50.8%","112","63.3%","510","5","4.55","53.6%","11.3","180.9","181.9","11.4"
"26","Joe Mixon","CIN","RB","14","210","814","58.1","3.88","7","0","47","2.9%","156","19.2%","68.0%","3.3%","45.7%","82.9%","58.6%","30.5%","7.6%","1.9%","1.0%","18","0.09","548","2.61","67.3%","1.27","91","43.3%","272","2","2.99","45.1%","118","56.2%","539","5","4.57","57.6%","17.1","239.5","262.6","18.8"
"27","David Montgomery","CHI","RB","16","201","801","50.1","3.99","5","1","41","1.5%","71","8.9%","16.7%","2.5%","43.8%","86.6%","60.7%","33.8%","8.5%","1.0%","0.0%","62","0.31","561","2.79","70.0%","1.19","121","60.2%","431","4","3.56","43.0%","80","39.8%","370","1","4.63","47.5%","11.2","179.7","179.8","11.2"
"28","Brian Robinson","WAS","RB","12","205","797","66.4","3.89","2","2","49","2.9%","111","13.9%","56.3%","1.0%","44.4%","85.9%","58.5%","34.1%","8.8%","1.0%","0.0%","26","0.13","567","2.77","71.1%","1.12","102","49.8%","368","2","3.61","50.0%","100","48.8%","426","0","4.26","56.0%","9.4","112.7","138.9","11.6"
"29","Cam Akers","LA","RB","15","188","786","52.4","4.18","7","2","39","3.7%","160","20.4%","88.9%","3.7%","43.6%","81.4%","59.0%","37.2%","9.0%","1.6%","1.1%","45","0.24","516","2.74","65.6%","1.44","95","50.5%","315","3","3.32","44.2%","92","48.9%","471","4","5.12","62.0%","9.6","143.3","139.3","9.3"
"30","James Conner","ARZ","RB","13","183","782","60.2","4.27","7","3","48","3.3%","116","14.8%","61.5%","3.8%","39.9%","88.0%","60.7%","36.6%","8.2%","1.6%","0.0%","27","0.15","535","2.92","68.4%","1.35","85","46.4%","398","3","4.68","62.4%","95","51.9%","370","4","3.89","49.5%","15.5","201.2","195.3","15.0"
"31","A.J. Dillon","GB","RB","17","186","770","45.3","4.14","7","0","47","3.2%","120","15.6%","58.8%","3.8%","41.4%","88.2%","58.6%","36.6%","8.1%","1.6%","0.0%","23","0.12","526","2.83","68.3%","1.31","108","58.1%","469","4","4.34","55.6%","76","40.9%","299","3","3.93","56.6%","9.9","167.6","184.4","10.8"
"32","Latavius Murray","NO, DEN","RB","13","171","760","58.5","4.44","6","1","44","4.1%","189","24.9%","46.7%","3.5%","42.1%","85.4%","60.2%","35.1%","9.4%","2.9%","1.2%","24","0.14","465","2.72","61.2%","1.73","103","60.2%","463","3","4.50","52.4%","67","39.2%","297","3","4.43","56.7%","11.9","154.2","147.2","11.3"
"33","Khalil Herbert","CHI","RB","13","129","731","56.2","5.67","4","0","26","5.4%","227","31.1%","34.8%","3.1%","38.0%","86.8%","63.6%","38.8%","17.1%","3.1%","2.3%","38","0.29","481","3.73","65.8%","1.94","75","58.1%","430","1","5.73","45.3%","53","41.1%","295","3","5.57","49.1%","9.1","117.8","97.9","7.5"
"34","Cordarrelle Patterson","ATL","RB","13","144","695","53.5","4.83","8","1","39","6.9%","205","29.5%","36.4%","5.6%","36.8%","81.3%","68.1%","44.4%","12.5%","2.8%","0.7%","33","0.23","446","3.10","64.2%","1.73","116","80.6%","594","7","5.12","61.2%","27","18.8%","94","1","3.48","55.6%","11.5","149.7","142.0","10.9"
"35","Leonard Fournette","TB","RB","16","189","668","41.8","3.53","3","0","39","1.6%","57","8.5%","68.8%","1.6%","48.7%","81.5%","52.9%","32.3%","7.4%","0.5%","0.0%","22","0.12","428","2.26","64.1%","1.27","55","29.1%","141","0","2.56","45.5%","133","70.4%","528","3","3.97","51.1%","14.2","227.1","241.7","15.1"
"36","Antonio Gibson","WAS","RB","15","149","546","36.4","3.66","3","1","32","2.0%","56","10.3%","52.6%","2.0%","40.3%","85.9%","61.1%","31.5%","7.4%","0.7%","0.0%","21","0.14","362","2.43","66.3%","1.23","98","65.8%","341","3","3.48","49.0%","50","33.6%","198","0","3.96","50.0%","11.1","165.9","196.0","13.1"
"37","D'Andre Swift","DET","RB","14","99","542","38.7","5.47","5","0","21","8.1%","218","40.2%","11.8%","5.1%","40.4%","80.8%","61.6%","41.4%","13.1%","3.0%","3.0%","26","0.26","336","3.39","62.0%","2.08","33","33.3%","157","1","4.76","45.5%","64","64.6%","387","4","6.05","50.0%","13.7","191.1","178.4","12.7"
"38","J.K. Dobbins","BLT","RB","8","92","520","65.0","5.65","2","0","26","9.8%","209","40.2%","66.7%","2.2%","40.2%","81.5%","67.4%","41.3%","17.4%","4.3%","2.2%","18","0.20","325","3.53","62.5%","2.12","20","21.7%","63","1","3.15","40.0%","72","78.3%","457","1","6.35","62.5%","10.2","81.2","67.0","8.4"
"39","James Cook","BUF","RB","16","89","507","31.7","5.70","2","1","24","12.4%","247","48.7%","0.0%","2.2%","39.3%","87.6%","66.3%","38.2%","13.5%","6.7%","1.1%","19","0.21","282","3.17","55.6%","2.53","40","44.9%","249","2","6.23","55.0%","48","53.9%","250","0","5.21","45.8%","6.7","106.7","99.7","6.2"
"40","Kenyan Drake","BLT","RB","12","109","482","40.2","4.42","4","1","21","7.3%","201","41.7%","30.8%","3.7%","53.2%","79.8%","51.4%","30.3%","10.1%","4.6%","2.8%","10","0.09","257","2.36","53.3%","2.06","32","29.4%","82","0","2.56","31.3%","77","70.6%","400","4","5.19","50.6%","8.7","104.1","106.1","8.8"
"41","Rachaad White","TB","RB","17","129","481","28.3","3.73","1","1","27","3.1%","100","20.8%","18.8%","0.8%","48.8%","80.6%","51.2%","31.8%","6.2%","1.6%","0.8%","12","0.09","317","2.46","65.9%","1.27","36","27.9%","119","0","3.31","50.0%","93","72.1%","362","1","3.89","50.5%","8.4","142.1","155.4","9.1"
"42","Kareem Hunt","CLV","RB","17","123","468","27.5","3.80","3","1","30","4.1%","91","19.4%","25.0%","2.4%","47.2%","78.0%","51.2%","33.3%","11.4%","1.6%","0.0%","25","0.20","356","2.89","76.1%","0.91","44","35.8%","163","1","3.70","43.2%","75","61.0%","292","2","3.89","50.7%","7.5","126.8","147.2","8.7"
"43","Chuba Hubbard","CAR","RB","15","95","466","31.1","4.91","2","0","23","4.2%","115","24.7%","8.3%","2.1%","40.0%","88.4%","61.1%","38.9%","10.5%","3.2%","3.2%","18","0.19","259","2.73","55.6%","2.18","47","49.5%","209","2","4.45","40.4%","47","49.5%","257","0","5.47","51.1%","5.9","88.7","76.5","5.1"
"44","Breece Hall","NYJ","RB","7","80","463","66.1","5.79","4","0","20","10.0%","199","43.0%","50.0%","5.0%","45.0%","82.5%","60.0%","41.3%","18.8%","3.8%","2.5%","20","0.25","290","3.63","62.6%","2.16","43","53.8%","243","2","5.65","53.5%","35","43.8%","208","2","5.94","45.7%","16.6","116.1","99.5","14.2"
"45","Damien Harris","NE","RB","11","106","462","42.0","4.36","3","0","23","3.8%","87","18.8%","44.4%","2.8%","41.5%","85.8%","65.1%","37.7%","10.4%","1.9%","0.9%","18","0.17","303","2.86","65.6%","1.50","44","41.5%","173","1","3.93","47.7%","62","58.5%","289","2","4.66","51.6%","8.3","90.9","97.2","8.8"
"46","Zack Moss","BUF, IND","RB","13","93","456","35.1","4.90","1","1","18","5.4%","124","27.2%","16.7%","1.1%","45.2%","88.2%","58.1%","43.0%","11.8%","2.2%","2.2%","24","0.26","285","3.06","62.5%","1.84","47","50.5%","210","0","4.47","48.9%","46","49.5%","246","1","5.35","45.7%","5.0","65.5","74.2","5.7"
"47","Gus Edwards","BLT","RB","9","87","433","48.1","4.98","3","1","30","5.7%","116","26.8%","28.6%","3.4%","37.9%","85.1%","60.9%","39.1%","14.9%","3.4%","1.1%","18","0.21","279","3.21","64.4%","1.77","22","25.3%","100","0","4.55","59.1%","64","73.6%","326","3","5.09","59.4%","6.7","60.3","52.9","5.9"
"48","James Robinson","JAX, NYJ","RB","11","110","425","38.6","3.86","3","1","22","4.5%","145","34.1%","29.4%","2.7%","60.9%","73.6%","44.5%","29.1%","8.2%","3.6%","1.8%","16","0.15","257","2.34","60.5%","1.53","58","52.7%","176","1","3.03","27.6%","51","46.4%","249","2","4.88","45.1%","8.1","88.6","90.3","8.2"
"49","Michael Carter","NYJ","RB","16","114","402","25.1","3.53","3","1","14","5.3%","123","30.6%","26.7%","2.6%","51.8%","83.3%","50.0%","25.4%","6.1%","2.6%","0.0%","25","0.22","289","2.54","71.9%","0.99","66","57.9%","199","3","3.02","40.9%","46","40.4%","195","0","4.24","41.3%","7.9","127.0","146.2","9.1"
"50","Samaje Perine","CIN","RB","16","95","394","24.6","4.15","2","0","19","1.1%","29","7.4%","3.6%","2.1%","43.2%","86.3%","61.1%","41.1%","5.3%","1.1%","0.0%","19","0.20","265","2.79","67.3%","1.36","36","37.9%","129","1","3.58","52.8%","59","62.1%","265","1","4.49","47.5%","8.9","142.1","128.2","8.0"
"51","Jaylen Warren","PIT","RB","16","77","379","23.7","4.92","1","1","20","5.2%","93","24.5%","7.7%","1.3%","41.6%","88.3%","61.0%","40.3%","14.3%","3.9%","1.3%","19","0.25","237","3.08","62.5%","1.84","50","64.9%","192","0","3.84","50.0%","25","32.5%","149","1","5.96","56.0%","5.8","93.3","93.7","5.9"
"52","Caleb Huntley","ATL","RB","12","76","366","30.5","4.82","1","1","18","5.3%","83","22.7%","21.4%","1.3%","40.8%","92.1%","68.4%","43.4%","10.5%","2.6%","1.3%","11","0.14","262","3.45","71.6%","1.37","52","68.4%","259","1","4.98","59.6%","24","31.6%","107","0","4.46","66.7%","3.7","44.9","45.3","3.8"
"53","Rashaad Penny","SEA","RB","5","57","346","69.2","6.07","2","1","15","10.5%","176","50.9%","0.0%","3.5%","43.9%","80.7%","59.6%","38.6%","17.5%","8.8%","5.3%","16","0.28","249","4.37","72.0%","1.70","36","63.2%","128","0","3.56","47.2%","20","35.1%","215","2","10.75","50.0%","10.4","52.2","37.2","7.4"
"54","Melvin Gordon","DEN","RB","10","90","318","31.8","3.53","2","4","15","1.1%","17","5.3%","57.1%","2.2%","44.4%","82.2%","57.8%","33.3%","4.4%","0.0%","0.0%","13","0.14","213","2.37","67.0%","1.17","57","63.3%","198","0","3.47","47.4%","33","36.7%","120","2","3.64","54.5%","8.9","89.1","110.4","11.0"
"55","Eno Benjamin","ARZ, HST, NO","RB","14","77","313","22.4","4.06","2","0","14","5.2%","91","29.1%","11.5%","2.6%","50.6%","79.2%","59.7%","37.7%","6.5%","1.3%","1.3%","19","0.25","242","3.14","77.3%","0.92","34","44.2%","112","0","3.29","41.2%","43","55.8%","201","2","4.67","51.2%","6.4","89.6","91.1","6.5"
"56","Clyde Edwards-Helaire","KC","RB","10","71","302","30.2","4.25","3","0","15","5.6%","106","35.1%","28.6%","4.2%","49.3%","80.3%","57.7%","31.0%","7.0%","2.8%","1.4%","14","0.20","211","2.97","69.9%","1.28","37","52.1%","182","2","4.92","54.1%","33","46.5%","118","1","3.58","42.4%","9.8","98.3","83.3","8.3"
"57","Zonovan Knight","NYJ","RB","7","85","300","42.9","3.53","1","1","14","3.5%","86","28.7%","50.0%","1.2%","57.6%","68.2%","50.6%","29.4%","8.2%","1.2%","1.2%","31","0.36","232","2.73","77.3%","0.80","49","57.6%","184","0","3.76","44.9%","36","42.4%","116","1","3.22","30.6%","8.4","59.0","68.8","9.8"
"58","Jerick McKinnon","KC","RB","17","72","291","17.1","4.04","1","0","12","4.2%","74","25.4%","17.9%","1.4%","51.4%","77.8%","54.2%","33.3%","6.9%","2.8%","1.4%","9","0.13","194","2.69","66.7%","1.35","54","75.0%","225","1","4.17","50.0%","18","25.0%","66","0","3.67","33.3%","11.6","197.3","175.8","10.3"
"59","Joshua Kelley","LAC","RB","13","69","287","22.1","4.16","2","0","16","2.9%","38","13.2%","25.0%","2.9%","43.5%","85.5%","65.2%","39.1%","8.7%","1.4%","0.0%","14","0.20","168","2.43","58.5%","1.72","38","55.1%","172","0","4.53","60.5%","31","44.9%","115","2","3.71","51.6%","5.0","64.8","76.4","5.9"
"60","Alexander Mattison","MIN","RB","17","74","283","16.6","3.82","5","0","21","1.4%","15","5.3%","14.3%","6.8%","48.6%","75.7%","55.4%","43.2%","12.2%","0.0%","0.0%","26","0.35","198","2.68","70.0%","1.15","46","62.2%","174","3","3.78","47.8%","27","36.5%","107","2","3.96","44.4%","5.2","88.4","79.1","4.7"
"61","Darrell Henderson","LA","RB","10","70","283","28.3","4.04","3","0","14","4.3%","57","20.1%","33.3%","4.3%","45.7%","88.6%","58.6%","31.4%","7.1%","1.4%","0.0%","5","0.07","194","2.77","68.6%","1.27","48","68.6%","205","1","4.27","35.4%","22","31.4%","78","2","3.55","59.1%","7.4","73.5","73.5","7.4"
"62","Elijah Mitchell","SF","RB","5","45","279","55.8","6.20","2","0","15","6.7%","72","25.8%","21.4%","4.4%","31.1%","91.1%","73.3%","53.3%","17.8%","2.2%","2.2%","14","0.31","129","2.87","46.2%","3.33","21","46.7%","110","2","5.24","71.4%","23","51.1%","132","0","5.74","69.6%","8.7","43.6","35.7","7.1"
"63","Justice Hill","BLT","RB","15","49","262","17.5","5.35","0","1","15","2.0%","34","13.0%","0.0%","0.0%","32.7%","85.7%","71.4%","40.8%","18.4%","2.0%","2.0%","16","0.33","165","3.37","63.0%","1.98","16","32.7%","63","0","3.94","62.5%","33","67.3%","199","0","6.03","57.6%","2.9","43.0","45.2","3.0"
"64","Jordan Mason","SF","RB","12","43","258","21.5","6.00","1","0","10","7.0%","92","35.7%","7.1%","2.3%","37.2%","81.4%","62.8%","48.8%","16.3%","2.3%","2.3%","14","0.33","191","4.44","74.0%","1.56","25","58.1%","141","1","5.64","64.0%","18","41.9%","117","0","6.50","50.0%","2.7","31.8","25.4","2.1"
"65","Chase Edmonds","MIA, DEN","RB","13","68","245","18.8","3.60","2","0","8","4.4%","76","31.0%","15.4%","2.9%","52.9%","80.9%","50.0%","25.0%","7.4%","4.4%","0.0%","5","0.07","141","2.07","57.6%","1.53","43","63.2%","133","1","3.09","41.9%","23","33.8%","114","1","4.96","47.8%","5.7","74.2","81.9","6.3"
"66","Kenneth Gainwell","PHI","RB","17","53","240","14.1","4.53","4","0","17","0.0%","0","0.0%","15.6%","7.5%","34.0%","94.3%","69.8%","35.8%","13.2%","0.0%","0.0%","8","0.15","128","2.42","53.3%","2.11","34","64.2%","141","3","4.15","64.7%","19","35.8%","99","1","5.21","57.9%","5.2","87.9","95.2","5.6"
"67","Deon Jackson","IND","RB","13","68","236","18.2","3.47","1","1","13","2.9%","33","14.0%","9.1%","1.5%","55.9%","83.8%","48.5%","30.9%","8.8%","0.0%","0.0%","6","0.09","144","2.12","61.0%","1.35","33","48.5%","87","1","2.64","33.3%","33","48.5%","141","0","4.27","42.4%","6.6","85.5","86.2","6.6"
"68","Mark Ingram","NO","RB","10","62","233","23.3","3.76","1","1","12","0.0%","0","0.0%","25.0%","1.6%","45.2%","85.5%","59.7%","33.9%","6.5%","0.0%","0.0%","19","0.31","161","2.60","69.1%","1.16","40","64.5%","149","1","3.73","47.5%","19","30.6%","72","0","3.79","36.8%","5.2","52.1","59.5","5.9"
"69","Matt Breida","NYG","RB","17","54","220","12.9","4.07","1","0","13","5.6%","50","22.7%","7.1%","1.9%","40.7%","85.2%","64.8%","40.7%","9.3%","0.0%","0.0%","11","0.20","138","2.56","62.7%","1.52","21","38.9%","81","1","3.86","47.6%","27","50.0%","114","0","4.22","44.4%","3.5","59.8","66.7","3.9"
"70","Boston Scott","PHI","RB","15","54","217","14.5","4.02","3","0","12","5.6%","56","25.8%","8.1%","5.6%","46.3%","77.8%","51.9%","33.3%","11.1%","1.9%","0.0%","14","0.26","144","2.67","66.4%","1.35","30","55.6%","123","3","4.10","50.0%","24","44.4%","94","0","3.92","41.7%","3.1","46.2","45.5","3.0"
"71","Javonte Williams","DEN","RB","4","47","204","51.0","4.34","0","1","9","6.4%","50","24.5%","28.6%","0.0%","44.7%","78.7%","57.4%","34.0%","14.9%","0.0%","0.0%","9","0.19","152","3.23","74.5%","1.11","26","55.3%","124","0","4.77","42.3%","21","44.7%","80","0","3.81","57.1%","10.8","43.0","62.3","15.6"
"72","Jamycal Hasty","JAX","RB","16","46","194","12.1","4.22","2","0","7","2.2%","61","31.4%","10.7%","4.3%","52.2%","69.6%","47.8%","32.6%","13.0%","2.2%","2.2%","6","0.13","93","2.02","47.9%","2.20","21","45.7%","46","1","2.19","19.0%","25","54.3%","148","1","5.92","52.0%","4.4","70.0","69.4","4.3"
"73","DeeJay Dallas","SEA","RB","15","35","186","12.4","5.31","0","0","9","8.6%","60","32.3%","0.0%","0.0%","37.1%","91.4%","65.7%","37.1%","11.4%","2.9%","0.0%","4","0.11","104","2.97","55.9%","2.34","22","62.9%","106","0","4.82","50.0%","13","37.1%","80","0","6.15","61.5%","3.1","47.2","48.0","3.2"
"74","Justin Jackson","DET","RB","15","42","170","11.3","4.05","1","0","8","4.8%","42","24.7%","2.9%","2.4%","42.9%","78.6%","57.1%","31.0%","14.3%","2.4%","0.0%","3","0.07","117","2.79","68.8%","1.26","31","73.8%","131","1","4.23","45.2%","11","26.2%","39","0","3.55","45.5%","3.4","51.1","57.8","3.9"
"75","Malik Davis","DAL","RB","7","38","161","23.0","4.24","1","0","6","7.9%","63","39.1%","0.0%","2.6%","55.3%","68.4%","50.0%","39.5%","10.5%","5.3%","0.0%","6","0.16","83","2.18","51.6%","2.05","19","50.0%","89","1","4.68","42.1%","19","50.0%","72","0","3.79","36.8%","4.9","34.4","28.6","4.1"
"76","Ty Johnson","NYJ","RB","13","30","160","12.3","5.33","1","0","5","10.0%","70","43.8%","0.0%","3.3%","50.0%","76.7%","63.3%","36.7%","20.0%","6.7%","3.3%","13","0.43","112","3.73","70.0%","1.60","17","56.7%","95","1","5.59","41.2%","13","43.3%","65","0","5.00","30.8%","3.3","42.8","48.4","3.7"
"77","Jonathan Williams","WAS","RB","9","37","152","16.9","4.11","0","0","6","5.4%","41","27.0%","7.7%","0.0%","51.4%","86.5%","51.4%","29.7%","8.1%","2.7%","0.0%","13","0.35","114","3.08","75.0%","1.03","20","54.1%","104","0","5.20","55.0%","17","45.9%","48","0","2.82","29.4%","2.9","26.2","36.2","4.0"
