"Rank","Name","Team","POS","G","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","STUFF %","1+ %","3+ %","5+ %","10+ %","20+ %","30+ %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success Rate","ATT","ATT %","YDS","TD","YPC","Success Rate","FP/G","FP","XFP","XFP/G"
"1","Josh Jacobs","LV","RB","17","340","1653","97.2","4.86","12","2","93","4.4%","386","23.4%","85.7%","3.5%","38.8%","85.0%","63.5%","40.3%","12.1%","2.1%","1.2%","57","0.17","1097","3.23","66.4%","1.64","101","29.7%","488","2","4.83","66.3%","234","68.8%","1127","10","4.82","53.8%","19.4","329.3","301.2","17.7"
"2","Derrick Henry","TEN","RB","16","349","1538","96.1","4.41","13","4","65","4.3%","424","27.6%","75.0%","3.7%","49.6%","82.5%","54.4%","32.7%","10.6%","2.9%","1.1%","64","0.18","1131","3.24","73.5%","1.17","198","56.7%","888","3","4.48","41.4%","146","41.8%","635","10","4.35","53.4%","19.1","305.8","270.4","16.9"
"3","Nick Chubb","CLV","RB","17","302","1525","89.7","5.05","12","1","69","7.6%","527","34.6%","60.0%","4.0%","46.4%","80.8%","58.6%","39.4%","15.6%","4.3%","1.3%","93","0.31","1063","3.52","69.7%","1.53","130","43.0%","639","3","4.92","46.2%","170","56.3%","883","9","5.19","53.5%","16.6","282.4","227.4","13.4"
"4","Saquon Barkley","NYG","RB","16","295","1312","82.0","4.45","10","1","62","6.1%","449","34.2%","53.6%","3.4%","48.5%","82.7%","56.6%","33.2%","10.8%","3.1%","1.4%","60","0.20","793","2.69","60.4%","1.76","117","39.7%","407","5","3.48","36.8%","177","60.0%","902","5","5.10","54.8%","17.8","284.0","284.3","17.8"
"5","Miles Sanders","PHI","RB","17","259","1269","74.6","4.90","11","1","62","4.6%","288","22.7%","31.1%","4.2%","40.2%","83.8%","63.3%","40.2%","13.1%","3.5%","0.8%","66","0.25","661","2.55","52.1%","2.35","145","56.0%","604","5","4.17","54.5%","114","44.0%","665","6","5.83","59.6%","12.9","218.7","203.2","12.0"
"6","Dalvin Cook","MIN","RB","17","264","1173","69.0","4.44","8","3","50","4.5%","344","29.3%","60.7%","3.0%","48.9%","76.5%","57.6%","34.1%","11.4%","1.9%","1.5%","56","0.21","823","3.12","70.2%","1.33","177","67.0%","792","5","4.47","48.0%","81","30.7%","335","2","4.14","45.7%","14.2","241.8","257.8","15.2"
"7","Christian McCaffrey","SF, CAR","RB","17","244","1139","67.0","4.67","8","1","59","5.3%","340","29.9%","52.2%","3.3%","41.8%","81.1%","61.5%","34.0%","11.5%","3.7%","1.6%","43","0.18","718","2.94","63.0%","1.73","142","58.2%","604","3","4.25","50.0%","102","41.8%","535","5","5.25","46.1%","21.0","356.4","316.6","18.6"
"8","Travis Etienne","JAX","RB","17","220","1125","66.2","5.11","5","3","52","7.3%","451","40.1%","44.8%","2.3%","46.4%","78.2%","57.7%","38.6%","11.8%","3.6%","2.3%","42","0.19","638","2.90","56.7%","2.21","108","49.1%","466","4","4.31","50.9%","110","50.0%","648","1","5.89","50.0%","12.2","208.1","217.3","12.8"
"9","Aaron Jones","GB","RB","17","213","1121","65.9","5.26","2","3","54","5.6%","280","25.0%","17.6%","0.9%","39.4%","84.0%","68.5%","46.9%","14.6%","2.8%","1.9%","55","0.26","695","3.26","62.0%","2.00","138","64.8%","646","0","4.68","51.4%","75","35.2%","475","2","6.33","62.7%","14.8","251.6","240.2","14.1"
"10","Jamaal Williams","DET","RB","17","262","1066","62.7","4.07","17","3","65","2.7%","201","18.9%","84.6%","6.5%","41.6%","84.0%","59.2%","31.3%","8.4%","1.5%","0.8%","31","0.12","698","2.66","65.5%","1.40","110","42.0%","393","2","3.57","55.5%","150","57.3%","673","15","4.49","52.0%","13.4","227.9","219.0","12.9"
