"Rank","Name","Team","POS","G","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","FP/G","FP"
"419","Tylan Wallace","BLT","WR","8","72","490","14.7%","27","197","13.7%","45","293","15.4%","1","19","5.3%","3","34","8.8%","7","72","9.7%","0.9","7.3"
"420","Ihmir Smith-Marsette","CHI, KC","WR","8","67","458","14.6%","34","213","16.0%","33","245","13.5%","4","26","15.4%","7","39","17.9%","11","67","16.4%","0.2","1.4"
"421","Dan Arnold","JAX","TE","16","149","1025","14.5%","87","410","21.2%","62","615","10.1%","0","48","0.0%","4","83","4.8%","22","171","12.9%","1.4","22.5"
"422","Marlon Mack","SF, DEN","RB","7","61","421","14.5%","18","156","11.5%","43","265","16.2%","2","10","20.0%","2","19","10.5%","5","32","15.6%","5.5","38.3"
"423","Stephen Sullivan","CAR","TE","14","117","813","14.4%","45","412","10.9%","72","401","18.0%","3","26","11.5%","5","44","11.4%","13","109","11.9%","0.5","6.6"
"424","Mike Strachan","IND","WR","13","120","841","14.3%","47","297","15.8%","73","544","13.4%","3","22","13.6%","8","47","17.0%","14","110","12.7%","0.7","8.9"
"425","C.J. Ham","MIN","FB","17","160","1123","14.2%","90","390","23.1%","70","733","9.5%","17","53","32.1%","18","102","17.6%","26","189","13.8%","1.8","31.3"
"426","Jalen Guyton","LAC","WR","3","28","197","14.2%","9","65","13.8%","19","132","14.4%","0","7","0.0%","2","16","12.5%","3","28","10.7%","2.8","8.4"
"427","Matt Sokol","NE","TE","3","25","177","14.1%","21","77","27.3%","4","100","4.0%","2","5","40.0%","2","11","18.2%","2","27","7.4%","0.0","0.0"
"428","Jamal Agnew","JAX","WR","15","133","942","14.1%","45","373","12.1%","88","569","15.5%","4","39","10.3%","6","74","8.1%","16","151","10.6%","4.7","70.3"
