"Rank","Name","Team","POS","G","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","Snaps","TM Snaps","Snap %","FP/G","FP"
"451","Miles Boykin","PIT","WR","16","127","1042","12.2%","97","435","22.3%","30","607","4.9%","7","35","20.0%","11","65","16.9%","21","141","14.9%","0.2","3.1"
"452","Kwamie Lassiter","CIN","WR","1","8","66","12.1%","4","24","16.7%","4","42","9.5%","0","0","0.0%","0","5","0.0%","1","8","12.5%","0.0","0.0"
"453","Simi Fehoko","DAL","WR","5","35","294","11.9%","12","136","8.8%","23","158","14.6%","0","5","0.0%","1","12","8.3%","4","26","15.4%","1.1","5.4"
"454","Mason Kinsey","TEN","WR","2","13","114","11.4%","4","60","6.7%","9","54","16.7%","0","5","0.0%","0","7","0.0%","1","13","7.7%","0.7","1.3"
"455","Josh Ali","ATL","WR","2","14","128","10.9%","9","65","13.8%","5","63","7.9%","0","8","0.0%","0","17","0.0%","1","31","3.2%","0.0","0.0"
"456","John Brown","BUF","WR","3","20","184","10.9%","11","78","14.1%","9","106","8.5%","0","5","0.0%","0","11","0.0%","1","24","4.2%","3.7","11.2"
"457","Jalen Camp","HST","WR","2","13","121","10.7%","8","64","12.5%","5","57","8.8%","0","7","0.0%","1","9","11.1%","3","18","16.7%","0.9","1.7"
"458","Jordan Mason","SF","RB","12","80","747","10.7%","66","372","17.7%","14","375","3.7%","7","45","15.6%","9","71","12.7%","14","128","10.9%","2.7","31.8"
"459","Deonte Harty","NO","WR","4","27","254","10.6%","8","110","7.3%","19","144","13.2%","0","5","0.0%","1","13","7.7%","1","28","3.6%","0.6","2.3"
"460","Ronald Jones","KC","RB","6","39","367","10.6%","21","137","15.3%","18","230","7.8%","1","28","3.6%","4","58","6.9%","7","86","8.1%","2.7","16.2"
"461","Tanner Gentry","BUF","WR","3","20","190","10.5%","9","71","12.7%","11","119","9.2%","0","7","0.0%","0","14","0.0%","4","35","11.4%","0.0","0.0"
"462","Nikola Kalinic","IND","TE","7","46","438","10.5%","38","189","20.1%","8","249","3.2%","5","18","27.8%","7","36","19.4%","8","72","11.1%","0.0","0.0"
"463","Jason Moore","LAC","WR","6","43","411","10.5%","12","128","9.4%","31","283","11.0%","3","10","30.0%","4","26","15.4%","6","65","9.2%","0.3","1.5"
"464","Danny Gray","SF","WR","13","82","804","10.2%","54","382","14.1%","28","422","6.6%","2","43","4.7%","4","72","5.6%","12","139","8.6%","0.2","2.9"
"465","Cole Beasley","TB, BUF","WR","4","25","247","10.1%","5","75","6.7%","20","172","11.6%","0","15","0.0%","0","20","0.0%","1","41","2.4%","2.4","9.5"
"466","Lance McCutcheon","LA","WR","9","52","525","9.9%","24","210","11.4%","28","315","8.9%","0","10","0.0%","1","28","3.6%","4","59","6.8%","0.0","0.0"
"467","Brandon Bolden","LV","RB","13","78","788","9.9%","18","292","6.2%","60","496","12.1%","5","25","20.0%","11","48","22.9%","17","98","17.3%","2.1","27.3"
"468","Raheem Blackshear","CAR","RB","13","75","762","9.8%","30","384","7.8%","45","378","11.9%","5","29","17.2%","11","50","22.0%","15","106","14.2%","3.4","44.0"
"469","Luke Farrell","JAX","TE","16","100","1026","9.7%","72","405","17.8%","28","621","4.5%","4","46","8.7%","7","81","8.6%","14","170","8.2%","0.5","8.0"
"470","Salvon Ahmed","MIA","RB","6","36","370","9.7%","18","153","11.8%","18","217","8.3%","0","11","0.0%","0","15","0.0%","5","43","11.6%","2.4","14.2"
"471","Jalen Nailor","MIN","WR","9","59","608","9.7%","29","214","13.6%","30","394","7.6%","2","32","6.3%","5","57","8.8%","8","103","7.8%","3.7","32.9"
"472","Trestan Ebner","CHI","RB","15","85","876","9.7%","46","430","10.7%","39","446","8.7%","3","31","9.7%","5","55","9.1%","10","116","8.6%","0.5","7.2"
"473","Zander Horvath","LAC","RB","15","98","1025","9.6%","61","329","18.5%","37","696","5.3%","13","38","34.2%","18","79","22.8%","25","169","14.8%","1.2","18.6"
"474","Giovani Bernard","TB","RB","4","25","267","9.4%","8","104","7.7%","17","163","10.4%","1","11","9.1%","3","17","17.6%","4","34","11.8%","1.2","4.7"
"475","Gary Brightwell","NYG","RB","15","87","952","9.1%","37","407","9.1%","50","545","9.2%","3","34","8.8%","9","66","13.6%","17","121","14.0%","1.9","29.0"
"476","Kendall Blanton","LA","TE","5","26","302","8.6%","12","100","12.0%","14","202","6.9%","0","15","0.0%","0","23","0.0%","1","44","2.3%","1.1","5.5"
"477","Mike Davis","BLT","RB","8","40","480","8.3%","20","210","9.5%","20","270","7.4%","9","20","45.0%","9","30","30.0%","12","73","16.4%","0.5","4.2"
"478","Ty Chandler","MIN","RB","2","12","145","8.3%","7","67","10.4%","5","78","6.4%","0","11","0.0%","0","23","0.0%","0","34","0.0%","1.0","2.0"
"479","James Washington","DAL","WR","2","12","145","8.3%","5","69","7.2%","7","76","9.2%","0","8","0.0%","0","15","0.0%","2","29","6.9%","0.0","0.0"
"480","Dax Milne","WAS","WR","15","82","998","8.2%","46","438","10.5%","36","560","6.4%","4","39","10.3%","11","79","13.9%","18","147","12.2%","1.0","15.7"
"481","Montrell Washington","DEN","WR","15","78","950","8.2%","25","359","7.0%","53","591","9.0%","1","30","3.3%","2","54","3.7%","3","85","3.5%","0.4","6.2"
"482","Nick Boyle","BLT","TE","10","52","634","8.2%","46","301","15.3%","6","333","1.8%","3","21","14.3%","3","49","6.1%","8","115","7.0%","0.0","0.0"
"483","Jared Bernhardt","ATL","WR","2","9","110","8.2%","7","53","13.2%","2","57","3.5%","0","2","0.0%","0","5","0.0%","2","23","8.7%","0.0","0.0"
"484","Dez Fitzpatrick","TEN","WR","1","5","62","8.1%","2","31","6.5%","3","31","9.7%","0","3","0.0%","0","6","0.0%","0","10","0.0%","0.0","0.0"
"485","Julius Chestnut","TEN","RB","6","29","367","7.9%","10","151","6.6%","19","216","8.8%","0","9","0.0%","0","12","0.0%","6","37","16.2%","1.4","8.3"
"486","Penny Hart","SEA","WR","7","32","412","7.8%","11","139","7.9%","21","273","7.7%","0","3","0.0%","0","14","0.0%","1","41","2.4%","0.7","5.0"
"487","Trayveon Williams","CIN","RB","7","35","462","7.6%","14","163","8.6%","21","299","7.0%","0","17","0.0%","3","33","9.1%","5","82","6.1%","1.1","8.0"
"488","Tyree Jackson","PHI","TE","5","26","344","7.6%","13","158","8.2%","13","186","7.0%","2","17","11.8%","3","28","10.7%","8","53","15.1%","0.0","0.0"
"489","Jesper Horsted","LV","TE","11","52","693","7.5%","21","268","7.8%","31","425","7.3%","7","22","31.8%","7","49","14.3%","10","94","10.6%","0.4","4.9"
"490","Stanley Morgan","CIN","WR","14","70","937","7.5%","55","341","16.1%","15","596","2.5%","6","48","12.5%","10","81","12.3%","20","165","12.1%","0.0","0.0"
"491","Pharoh Cooper","ARZ","WR","5","24","326","7.4%","11","117","9.4%","13","209","6.2%","0","3","0.0%","0","9","0.0%","2","31","6.5%","0.8","4.1"
"492","Patrick Taylor","GB","RB","7","33","460","7.2%","19","205","9.3%","14","255","5.5%","4","20","20.0%","6","33","18.2%","6","72","8.3%","0.8","5.8"
"493","Noah Togiai","PHI","TE","2","10","140","7.1%","6","58","10.3%","4","82","4.9%","0","11","0.0%","0","14","0.0%","0","17","0.0%","0.0","0.0"
"494","Jalen Reagor","MIN","WR","17","80","1123","7.1%","28","390","7.2%","52","733","7.1%","3","53","5.7%","7","102","6.9%","13","189","6.9%","1.6","26.9"
"495","Javon Wims","ARZ","WR","1","5","71","7.0%","0","24","0.0%","5","47","10.6%","0","3","0.0%","0","3","0.0%","0","5","0.0%","0.0","0.0"
"496","Snoop Conner","JAX","RB","8","35","497","7.0%","20","203","9.9%","15","294","5.1%","1","23","4.3%","1","37","2.7%","5","71","7.0%","1.3","10.2"
"497","Duke Johnson","BUF","RB","1","5","72","6.9%","2","22","9.1%","3","50","6.0%","0","3","0.0%","3","7","42.9%","4","18","22.2%","0.4","0.4"
"498","Pierre Strong","NE","RB","12","50","724","6.9%","22","280","7.9%","28","444","6.3%","2","31","6.5%","2","50","4.0%","11","96","11.5%","2.3","27.2"
"499","Ke'Shawn Vaughn","TB","RB","7","34","494","6.9%","17","183","9.3%","17","311","5.5%","0","20","0.0%","0","37","0.0%","1","68","1.5%","1.5","10.2"
"500","Derek Watt","PIT","FB","17","75","1109","6.8%","57","468","12.2%","18","641","2.8%","18","38","47.4%","18","73","24.7%","21","153","13.7%","1.2","20.2"
"501","Jake Tonges","CHI","TE","3","12","178","6.7%","9","95","9.5%","3","83","3.6%","0","6","0.0%","0","6","0.0%","1","23","4.3%","0.0","0.0"
"502","Michael Burton","KC","FB","16","68","1022","6.7%","52","345","15.1%","16","677","2.4%","9","57","15.8%","13","105","12.4%","19","189","10.1%","0.2","3.8"
"503","C.J. Board","TEN","WR","4","15","233","6.4%","5","91","5.5%","10","142","7.0%","0","4","0.0%","0","14","0.0%","5","39","12.8%","0.4","1.6"
"504","Tanner Conner","MIA","WR","7","26","412","6.3%","12","132","9.1%","14","280","5.0%","0","14","0.0%","0","24","0.0%","2","50","4.0%","0.0","0.0"
"505","Jaelon Darden","TB, CLV","WR","14","58","921","6.3%","17","310","5.5%","41","611","6.7%","2","31","6.5%","3","63","4.8%","4","128","3.1%","0.3","4.8"
"506","Binjimen Victor","BLT","WR","1","4","65","6.2%","4","40","10.0%","0","25","0.0%","1","2","50.0%","2","3","66.7%","2","12","16.7%","0.0","0.0"
"507","Erik Ezukanma","MIA","WR","2","8","133","6.0%","5","56","8.9%","3","77","3.9%","0","4","0.0%","0","5","0.0%","0","13","0.0%","0.7","1.3"
"508","Benny Snell","PIT","RB","10","39","655","6.0%","22","277","7.9%","17","378","4.5%","3","27","11.1%","3","46","6.5%","5","82","6.1%","1.9","18.7"
"509","Miller Forristall","CLV","TE","4","16","273","5.9%","7","134","5.2%","9","139","6.5%","0","13","0.0%","3","22","13.6%","5","45","11.1%","0.0","0.0"
"510","Dwayne Washington","NO","RB","11","39","669","5.8%","29","260","11.2%","10","409","2.4%","0","13","0.0%","1","31","3.2%","4","86","4.7%","0.5","5.5"
"511","D'Ernest Johnson","CLV","RB","9","33","577","5.7%","10","253","4.0%","23","324","7.1%","0","20","0.0%","2","38","5.3%","7","87","8.0%","0.6","5.4"
"512","Devine Ozigbo","DEN","RB","3","11","195","5.6%","5","77","6.5%","6","118","5.1%","0","6","0.0%","0","14","0.0%","1","28","3.6%","0.6","1.7"
"513","Kavontae Turpin","DAL","WR","17","62","1114","5.6%","36","514","7.0%","26","600","4.3%","3","41","7.3%","4","80","5.0%","9","155","5.8%","0.1","1.6"
"514","Rashard Higgins","CAR","WR","2","6","110","5.5%","2","44","4.5%","4","66","6.1%","0","0","0.0%","0","0","0.0%","2","5","40.0%","0.0","0.0"
"515","Trey Sermon","PHI","RB","2","8","148","5.4%","3","79","3.8%","5","69","7.2%","0","9","0.0%","0","17","0.0%","2","37","5.4%","1.0","1.9"
"516","Feleipe Franks","ATL","TE","6","19","362","5.2%","11","188","5.9%","8","174","4.6%","0","17","0.0%","0","28","0.0%","3","61","4.9%","0.0","0.0"
"517","Kenny Yeboah","NYJ","TE","8","25","483","5.2%","19","179","10.6%","6","304","2.0%","1","9","11.1%","1","19","5.3%","2","56","3.6%","0.0","0.0"
"518","Stanley Berryhill","DET","WR","2","6","122","4.9%","5","66","7.6%","1","56","1.8%","0","13","0.0%","0","16","0.0%","1","27","3.7%","0.0","0.0"
"519","Jacob Hollister","MIN, LV","TE","3","9","185","4.9%","6","90","6.7%","3","95","3.2%","2","6","33.3%","2","13","15.4%","2","27","7.4%","0.0","0.0"
"520","Reggie Bonnafon","WAS","RB","1","3","63","4.8%","3","38","7.9%","0","25","0.0%","0","2","0.0%","0","8","0.0%","0","18","0.0%","0.8","0.8"
"521","Marcus Kemp","KC","WR","3","10","211","4.7%","7","58","12.1%","3","153","2.0%","0","4","0.0%","1","9","11.1%","1","32","3.1%","0.0","0.0"
"522","Zamir White","LV","RB","12","35","748","4.7%","22","304","7.2%","13","444","2.9%","0","20","0.0%","0","39","0.0%","3","85","3.5%","0.6","7.0"
"523","D.J. Turner","LV","WR","8","21","488","4.3%","13","209","6.2%","8","279","2.9%","0","7","0.0%","0","19","0.0%","3","46","6.5%","0.3","2.6"
"524","Jordan Howard","NO","RB","2","4","94","4.3%","1","28","3.6%","3","66","4.5%","0","0","0.0%","0","1","0.0%","0","7","0.0%","0.1","0.1"
"525","Ty'Son Williams","ARZ","RB","1","2","50","4.0%","0","19","0.0%","2","31","6.5%","0","1","0.0%","0","3","0.0%","0","4","0.0%","1.5","1.5"
"526","Jonathan Ward","TEN, ARZ","RB","4","10","258","3.9%","5","109","4.6%","5","149","3.4%","0","1","0.0%","0","8","0.0%","1","18","5.6%","1.3","5.2"
"527","Kaylon Geiger","TB","WR","2","5","134","3.7%","4","37","10.8%","1","97","1.0%","0","5","0.0%","0","10","0.0%","3","18","16.7%","0.0","0.0"
"528","Tyler Mabry","SEA","TE","2","5","141","3.5%","3","68","4.4%","2","73","2.7%","0","5","0.0%","1","10","10.0%","2","26","7.7%","3.9","7.7"
"529","Preston Williams","CAR","WR","1","2","58","3.4%","1","38","2.6%","1","20","5.0%","0","1","0.0%","0","3","0.0%","0","6","0.0%","0.0","0.0"
"530","Chase Allen","CHI","TE","1","2","59","3.4%","1","26","3.8%","1","33","3.0%","0","0","0.0%","0","2","0.0%","0","10","0.0%","0.0","0.0"
"531","Alex Armah","WAS","RB","2","4","133","3.0%","3","64","4.7%","1","69","1.4%","0","3","0.0%","0","9","0.0%","0","19","0.0%","0.0","0.0"
"532","Antonio Williams","NYG","RB","1","2","70","2.9%","2","27","7.4%","0","43","0.0%","0","2","0.0%","0","3","0.0%","0","8","0.0%","0.0","0.0"
"533","Cornell Powell","KC","WR","1","2","72","2.8%","0","26","0.0%","2","46","4.3%","0","8","0.0%","0","16","0.0%","0","28","0.0%","0.0","0.0"
"534","Rico Dowdle","DAL","RB","4","6","237","2.5%","5","108","4.6%","1","129","0.8%","0","5","0.0%","0","10","0.0%","0","19","0.0%","0.0","0.0"
"535","Chris Evans","CIN","RB","11","17","691","2.5%","1","254","0.4%","16","437","3.7%","0","40","0.0%","1","65","1.5%","2","123","1.6%","1.2","12.8"
"536","Matt Slater","NE","WR","12","15","723","2.1%","12","301","4.0%","3","422","0.7%","0","26","0.0%","0","44","0.0%","4","98","4.1%","0.0","0.0"
"537","Kene Nwangwu","MIN","RB","14","18","924","1.9%","9","327","2.8%","9","597","1.5%","0","50","0.0%","1","98","1.0%","1","163","0.6%","0.4","5.5"
"538","Roger Carter","LA","TE","1","1","55","1.8%","1","25","4.0%","0","30","0.0%","0","0","0.0%","0","1","0.0%","0","4","0.0%","0.0","0.0"
"539","Jared Pinkney","LA","TE","3","3","167","1.8%","2","71","2.8%","1","96","1.0%","0","4","0.0%","0","8","0.0%","0","17","0.0%","0.0","0.0"
"540","Brandon Zylstra","DET","WR","1","1","57","1.8%","1","31","3.2%","0","26","0.0%","0","5","0.0%","0","8","0.0%","0","13","0.0%","0.0","0.0"
"541","Cethan Carter","MIA","TE","1","1","59","1.7%","1","23","4.3%","0","36","0.0%","0","0","0.0%","0","0","0.0%","0","5","0.0%","0.0","0.0"
"542","Ethan Fernea","IND","WR","1","1","64","1.6%","0","16","0.0%","1","48","2.1%","0","1","0.0%","0","2","0.0%","0","5","0.0%","0.0","0.0"
"543","Jerome Ford","CLV","RB","13","13","859","1.5%","13","385","3.4%","0","474","0.0%","0","26","0.0%","0","54","0.0%","0","126","0.0%","0.1","1.2"
"544","Britain Covey","PHI","WR","17","17","1124","1.5%","13","499","2.6%","4","625","0.6%","1","55","1.8%","1","98","1.0%","2","191","1.0%","0.0","0.0"
"545","Kylin Hill","GB","RB","1","1","69","1.4%","1","22","4.5%","0","47","0.0%","0","5","0.0%","0","6","0.0%","0","13","0.0%","0.7","0.7"
"546","Maurice Alexander","DET","WR","4","3","243","1.2%","1","91","1.1%","2","152","1.3%","0","14","0.0%","0","22","0.0%","0","29","0.0%","0.4","1.7"
"547","Godwin Igwebuike","SEA","RB","5","4","328","1.2%","3","121","2.5%","1","207","0.5%","0","8","0.0%","0","18","0.0%","0","45","0.0%","0.3","1.7"
"548","Qadree Ollison","DAL","RB","3","2","210","1.0%","2","90","2.2%","0","120","0.0%","0","6","0.0%","0","15","0.0%","0","30","0.0%","0.0","0.0"
"549","Tay Martin","SF","WR","2","1","114","0.9%","0","50","0.0%","1","64","1.6%","0","6","0.0%","0","12","0.0%","0","23","0.0%","0.0","0.0"
"550","Keke Coutee","IND","WR","7","3","427","0.7%","0","157","0.0%","3","270","1.1%","0","19","0.0%","0","37","0.0%","0","65","0.0%","0.3","2.0"
"551","Jacob Harris","LA","WR","3","1","163","0.6%","0","70","0.0%","1","93","1.1%","0","5","0.0%","0","7","0.0%","0","19","0.0%","0.5","1.6"
"552","Malik Turner","SF","WR","3","1","177","0.6%","1","83","1.2%","0","94","0.0%","0","12","0.0%","0","18","0.0%","0","24","0.0%","0.0","0.0"
"553","Raleigh Webb","BLT, NE","WR","4","1","233","0.4%","0","99","0.0%","1","134","0.7%","0","9","0.0%","0","9","0.0%","0","28","0.0%","0.0","0.0"
"554","Taiwan Jones","BUF","RB","7","1","418","0.2%","0","156","0.0%","1","262","0.4%","0","14","0.0%","0","21","0.0%","1","64","1.6%","-0.1","-1.0"
