"Rank","Name","Team","POS","G","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"451","Ben Ellefson","MIN","TE","5","17","1","0.06","9.6%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","17","100.0%","12.8%","1","0.06","9.6%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"452","Jalen Camp","HST","WR","3","16","0","0.00","15.7%","0.00","8","50.0%","4.5%","0","0.00","7.8%","0.00","7","43.8%","4.8%","0","0.00","6.9%","0.00","1","6.3%","1.8%","0","0.00","1.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"453","Jared Pinkney","DET","TE","2","16","0","0.00","22.5%","0.00","6","37.5%","4.8%","0","0.00","8.5%","0.00","1","6.3%","1.0%","0","0.00","1.4%","0.00","9","56.3%","34.6%","0","0.00","12.7%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"454","Marlon Mack","IND","RB","5","16","4","0.25","9.5%","0.50","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","16","100.0%","16.0%","4","0.25","9.5%","0.50"
"455","Alex Armah","WAS, NO","RB","11","16","1","0.06","4.2%","0.06","7","43.8%","1.0%","0","0.00","1.8%","0.00","4","25.0%","0.7%","0","0.00","1.0%","0.00","1","6.3%","0.6%","0","0.00","0.3%","0.00","4","25.0%","1.5%","1","0.25","1.0%","0.25"
"456","Richard Rodgers","PHI","TE","3","16","2","0.13","16.2%","0.69","3","18.8%","1.7%","0","0.00","3.0%","0.00","3","18.8%","2.1%","0","0.00","3.0%","0.00","10","62.5%","17.2%","1","0.10","10.1%","0.90","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"457","Luke Stocker","MIN","TE","11","15","2","0.13","3.7%","0.80","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","13.3%","0.5%","0","0.00","0.5%","0.00","13","86.7%","4.1%","2","0.15","3.2%","0.92","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"458","Tyrie Cleveland","DEN","WR","6","15","1","0.07","6.7%","0.00","14","93.3%","3.4%","1","0.07","6.3%","0.00","1","6.7%","0.4%","0","0.00","0.4%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"459","C.J. Saunders","CAR","WR","2","15","2","0.13","14.6%","0.73","4","26.7%","2.2%","0","0.00","3.9%","0.00","11","73.3%","7.9%","2","0.18","10.7%","1.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"460","J.P. Holtz","CHI","TE","12","15","0","0.00","3.1%","0.00","4","26.7%","0.4%","0","0.00","0.8%","0.00","3","20.0%","0.4%","0","0.00","0.6%","0.00","5","33.3%","2.9%","0","0.00","1.0%","0.00","3","20.0%","0.9%","0","0.00","0.6%","0.00"
