"Rank","Name","Team","POS","G","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"505","Tory Carter","TEN","TE","8","8","0","0.00","2.7%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","12.5%","0.7%","0","0.00","0.3%","0.00","7","87.5%","3.4%","0","0.00","2.3%","0.00"
"506","Kahale Warring","BUF, JAX","TE","2","7","0","0.00","9.1%","0.00","1","14.3%","0.7%","0","0.00","1.3%","0.00","3","42.9%","2.5%","0","0.00","3.9%","0.00","3","42.9%","11.1%","0","0.00","3.9%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"507","Cam Akers","LA","RB","1","7","3","0.43","18.9%","1.43","1","14.3%","1.4%","0","0.00","2.7%","0.00","1","14.3%","1.6%","0","0.00","2.7%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","5","71.4%","22.7%","3","0.60","13.5%","2.00"
"508","Marvin Hall","ATL","WR","2","7","1","0.14","11.1%","1.43","2","28.6%","1.6%","0","0.00","3.2%","0.00","5","71.4%","5.2%","1","0.20","7.9%","2.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"509","Sammis Reyes","WAS","TE","8","7","0","0.00","2.4%","0.00","1","14.3%","0.2%","0","0.00","0.3%","0.00","3","42.9%","0.6%","0","0.00","1.0%","0.00","3","42.9%","3.8%","0","0.00","1.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"510","Kirk Merritt","MIA","WR","1","7","3","0.43","14.6%","1.86","7","100.0%","7.7%","3","0.43","14.6%","1.86","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"511","Michael Bandy","LAC","WR","1","7","0","0.00","17.5%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","6","85.7%","10.9%","0","0.00","15.0%","0.00","1","14.3%","7.1%","0","0.00","2.5%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"512","Jaydon Mickens","TB, JAX","WR","11","7","3","0.43","1.5%","1.43","4","57.1%","0.5%","2","0.50","0.9%","3.00","3","42.9%","0.4%","1","0.33","0.6%","-0.67","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"513","Reggie Bonnafon","CAR","RB","1","7","2","0.29","13.2%","1.71","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","7","100.0%","26.9%","2","0.29","13.2%","1.71"
"514","Nick Bowers","LV","TE","5","7","0","0.00","4.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","7","100.0%","6.5%","0","0.00","4.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"515","Trayveon Williams","CIN","RB","4","7","2","0.29","4.5%","0.57","1","14.3%","0.3%","0","0.00","0.6%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","6","85.7%","5.9%","2","0.33","3.8%","0.67"
"516","Trenton Cannon","BLT, SF","RB","10","7","0","0.00","2.0%","0.00","2","28.6%","0.3%","0","0.00","0.6%","0.00","2","28.6%","0.4%","0","0.00","0.6%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","3","42.9%","1.3%","0","0.00","0.9%","0.00"
"517","K.J. Hill","LAC","WR","6","7","3","0.43","2.6%","4.29","1","14.3%","0.2%","0","0.00","0.4%","0.00","6","85.7%","1.6%","3","0.50","2.2%","5.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"518","JoJo Natson","CLV","WR","3","6","0","0.00","5.3%","0.00","1","16.7%","0.5%","0","0.00","0.9%","0.00","4","66.7%","2.4%","0","0.00","3.5%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","16.7%","1.5%","0","0.00","0.9%","0.00"
"519","Jesper Horsted","CHI","TE","5","6","3","0.50","3.2%","3.50","3","50.0%","0.9%","2","0.67","1.6%","0.67","2","33.3%","0.7%","1","0.50","1.1%","9.50","1","16.7%","1.6%","0","0.00","0.5%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"520","Ethan Wolf","NO","TE","2","6","2","0.33","10.5%","1.33","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","33.3%","3.2%","0","0.00","3.5%","0.00","4","66.7%","13.3%","2","0.50","7.0%","2.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"521","Sutton Smith","LV","FB","7","5","0","0.00","1.8%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","40.0%","0.6%","0","0.00","0.7%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","3","60.0%","1.4%","0","0.00","1.1%","0.00"
"522","Easop Winston","NO","WR","3","5","1","0.20","5.7%","1.00","2","40.0%","1.3%","0","0.00","2.3%","0.00","3","60.0%","2.8%","1","0.33","3.4%","1.67","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"523","Rodney Adams","CHI","WR","1","4","1","0.25","8.9%","0.00","4","100.0%","5.0%","1","0.25","8.9%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"524","Darius Bradwell","LAC","RB","1","4","1","0.25","7.8%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","4","100.0%","8.7%","1","0.25","7.8%","0.00"
"525","Deon Yelder","TB","TE","2","4","1","0.25","4.9%","0.00","2","50.0%","1.5%","0","0.00","2.5%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","50.0%","4.7%","1","0.50","2.5%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"526","Tyler Mabry","SEA","TE","6","4","0","0.00","2.1%","0.00","1","25.0%","0.3%","0","0.00","0.5%","0.00","1","25.0%","0.3%","0","0.00","0.5%","0.00","2","50.0%","2.7%","0","0.00","1.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"527","Tony Poljan","BLT","TE","1","4","0","0.00","9.5%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","3","75.0%","3.5%","0","0.00","7.1%","0.00","1","25.0%","9.1%","0","0.00","2.4%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"528","Jordan Veasy","HST","WR","2","4","0","0.00","6.0%","0.00","2","50.0%","1.6%","0","0.00","3.0%","0.00","1","25.0%","1.1%","0","0.00","1.5%","0.00","1","25.0%","2.0%","0","0.00","1.5%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"529","Josh Hammond","JAX","WR","2","4","0","0.00","5.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","4","100.0%","3.8%","0","0.00","5.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"530","Darrynton Evans","TEN","RB","1","4","2","0.50","12.9%","2.75","1","25.0%","1.8%","0","0.00","3.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","3","75.0%","15.8%","2","0.67","9.7%","3.67"
"531","Miller Forristall","CLV","TE","2","4","0","0.00","6.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","4","100.0%","10.5%","0","0.00","6.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"532","Devin Smith","JAX","WR","1","4","1","0.25","7.7%","0.00","3","75.0%","3.2%","1","0.33","5.8%","0.00","1","25.0%","1.1%","0","0.00","1.9%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"533","Johnny Stanton","CLV","FB","3","4","2","0.50","3.5%","1.75","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","4","100.0%","6.9%","1","0.25","3.5%","0.25"
"534","Matt LaCosse","NE","TE","1","3","0","0.00","10.7%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","33.3%","2.4%","0","0.00","3.6%","0.00","2","66.7%","28.6%","0","0.00","7.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"535","Temarrick Hemingway","WAS","TE","1","3","0","0.00","13.6%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","3","100.0%","30.0%","0","0.00","13.6%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"536","Noah Togiai","PHI","TE","1","3","0","0.00","7.5%","0.00","1","33.3%","1.4%","0","0.00","2.5%","0.00","1","33.3%","1.8%","0","0.00","2.5%","0.00","1","33.3%","5.0%","0","0.00","2.5%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"537","Jacques Patrick","SF","RB","1","3","0","0.00","6.3%","0.00","1","33.3%","1.2%","0","0.00","2.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","33.3%","3.0%","0","0.00","2.1%","0.00","1","33.3%","3.3%","0","0.00","2.1%","0.00"
"538","Codey McElroy","TB","TE","2","2","1","0.50","2.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","50.0%","0.7%","0","0.00","1.1%","0.00","1","50.0%","3.3%","1","1.00","1.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"539","Kenjon Barner","TB","RB","3","2","0","0.00","1.6%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","100.0%","2.4%","0","0.00","1.6%","0.00"
"540","Matt Bushman","LV","TE","1","2","0","0.00","5.7%","0.00","1","50.0%","1.5%","0","0.00","2.9%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","50.0%","5.3%","0","0.00","2.9%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"541","Tommylee Lewis","MIA","WR","2","2","2","1.00","3.3%","3.50","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","100.0%","2.2%","2","1.00","3.3%","3.50","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"542","Devin Asiasi","NE","TE","1","2","0","0.00","7.1%","0.00","1","50.0%","2.0%","0","0.00","3.6%","0.00","1","50.0%","2.4%","0","0.00","3.6%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"543","Taiwan Jones","BUF","RB","7","2","0","0.00","0.7%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","100.0%","1.0%","0","0.00","0.7%","0.00"
"544","Jacob Harris","LA","TE","3","2","0","0.00","1.8%","0.00","2","100.0%","1.0%","0","0.00","1.8%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"545","Damarea Crockett","DEN","RB","1","2","0","0.00","6.9%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","100.0%","7.7%","0","0.00","6.9%","0.00"
"546","Jordan Wilkins","TEN, IND","RB","3","1","0","0.00","0.9%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","100.0%","1.4%","0","0.00","0.9%","0.00"
"547","Landen Akers","LA","WR","2","1","0","0.00","1.4%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","100.0%","0.7%","0","0.00","1.4%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"548","Artavis Pierce","CHI","RB","1","1","0","0.00","2.8%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","100.0%","4.2%","0","0.00","2.8%","0.00"
"549","Cody Thompson","SEA","WR","3","1","0","0.00","1.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","100.0%","0.8%","0","0.00","1.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"550","Isaiah Hodgins","BUF","WR","1","1","0","0.00","2.0%","0.00","1","100.0%","1.1%","0","0.00","2.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"551","Ito Smith","DAL","RB","1","1","0","0.00","3.4%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","100.0%","5.9%","0","0.00","3.4%","0.00"
"552","Mekhi Sargent","LA, TEN, JAX","RB","4","1","1","1.00","0.7%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","100.0%","1.0%","1","1.00","0.7%","0.00"
"553","David Wells","ARZ","TE","3","1","0","0.00","0.8%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","100.0%","1.1%","0","0.00","0.8%","0.00"
"554","DeMichael Harris","IND","WR","1","1","0","0.00","2.3%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","100.0%","1.4%","0","0.00","2.3%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"555","Nate McCrary","BLT","RB","1","1","0","0.00","2.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","100.0%","2.9%","0","0.00","2.1%","0.00"
"556","Buddy Howell","LA","RB","5","1","0","0.00","0.5%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","100.0%","0.9%","0","0.00","0.5%","0.00"
"557","Raheem Mostert","SF","RB","1","1","0","0.00","3.6%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","100.0%","5.3%","0","0.00","3.6%","0.00"
