"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"37","Alfred Morris","RB","FA","9.9","13","13.3","7.1","-","14.1","9.5","15.3","18.1","13.9","9.3","5.2","12.8","3.1","7.1","14.8","7.3","10.9","173.8"
"38","Matt Prater","K","ARI","7","13","17","12","18","5","10","9","BYE","4","11","7","5","17","9","14","12","10.6","170"
"39","Jason Witten","TE","FA","23","2.7","9.2","6.8","21.6","4.2","6.8","2.5","20.2","3.7","-","17.7","6.8","7.5","15.1","2.3","19.5","10.6","169.6"
"40","Aaron Rodgers","QB","NYJ","24.6","34.9","12.2","-","15.8","16.7","23.6","22.5","2","BYE","-","-","-","-","-","-","17.2","18.8","169.4"
"41","Arizona Cardinals","DST","ARI","10","5","5","12","24","5","6","16","BYE","12","7","13","5","20","14","12","2","10.5","168"
"42","Ryan Fitzpatrick","QB","FA","-","-","-","8.1","21.4","6.1","-","-","-","23.9","15.5","23.4","15.4","9.3","30.3","9.3","4.4","15.2","167.2"
"43","Cincinnati Bengals","DST","CIN","2","10","12","5","15","7","1","24","6","12","26","BYE","12","-1","2","19","15","10.4","167"
"44","Marvin Jones Jr.","WR","DET","2.6","5","11.3","0","5.7","18","13.7","40.2","8.6","1.4","1.3","-","2.2","13.2","13.3","12.1","14.6","10.2","163.2"
"45","San Francisco 49ers","DST","SF","5","6","1","13","22","12","14","12","BYE","11","5","15","9","6","15","11","6","10.2","163"
"46","Adam Vinatieri","K","FA","3","8","11","14","10","13","16","-","7","-","15","3","20","4","13","13","12","10.8","162"
"46","Justin Tucker","K","BAL","9","2","14","8","18","5","11","BYE","6","9","10","15","19","3","23","1","9","10.1","162"
"48","Chad Henne","QB","FA","1.4","14.5","5.9","-","7.8","7.8","11.2","13.2","-","3.1","10.2","9.9","13.8","16","15.7","15.6","15.2","10.8","161.3"
"49","Stephen Hauschka","K","FA","7","9","9","13","17","8","13","2","9","19","13","-","10","5","13","4","9","10","160"
"50","Mike Glennon","QB","FA","-","-","-","5.6","-","18.9","17.5","15.2","16","7.3","17.6","16.2","3.5","7.6","13.2","4.6","14.8","12.2","158"
"51","Mason Crosby","K","FA","4","8","13","-","20","16","7","15","8","7","9","8","6","11","9","7","9","9.8","157"
"52","Golden Tate","WR","FA","7.1","2.4","14.2","3.2","14.6","5.8","9.7","23.8","4.4","19.6","3.1","-","6.5","9.5","3.5","4.4","23.1","9.7","154.9"
"53","Greg Olsen","TE","FA","8.1","17.9","7.4","-","10.4","2.9","6.7","9.6","14.6","1.9","13.7","11.9","11","8","11.3","5.5","13.2","9.6","154.1"
