"Rank","Name","Team","POS","G","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","STUFF %","1+ %","3+ %","5+ %","10+ %","20+ %","30+ %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success Rate","ATT","ATT %","YDS","TD","YPC","Success Rate","FP/G","FP","XFP","XFP/G"
"124","Jaquan Hardy","DAL","RB","2","4","29","14.5","7.25","1","0","1","25.0%","22","75.9%","0.0%","25.0%","50.0%","75.0%","75.0%","50.0%","25.0%","25.0%","0.0%","1","0.25","19","4.75","65.5%","2.50","4","100.0%","29","1","7.25","50.0%","0","0.0%","0","0","0.00","0.0%","4.5","8.9","1.8","0.9"
"125","Michael Burton","KC","FB","16","8","26","1.6","3.25","1","0","8","0.0%","0","0.0%","4.0%","12.5%","0.0%","100.0%","50.0%","25.0%","0.0%","0.0%","0.0%","1","0.13","15","1.88","57.7%","1.38","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","0.9","14.7","13.5","0.8"
"126","Wendell Smallwood","WAS","RB","2","5","25","12.5","5.00","0","0","2","0.0%","0","0.0%","0.0%","0.0%","20.0%","100.0%","80.0%","20.0%","20.0%","0.0%","0.0%","2","0.40","10","2.00","40.0%","0.80","4","80.0%","12","0","3.00","75.0%","1","20.0%","13","0","13.00","0.0%","4.4","8.7","5.2","2.6"
"127","Demetric Felton","CLV","RB","15","7","24","1.6","3.43","0","0","0","0.0%","0","0.0%","0.0%","0.0%","57.1%","85.7%","42.9%","28.6%","14.3%","0.0%","0.0%","3","0.43","14","2.00","58.3%","1.43","2","28.6%","3","0","1.50","0.0%","4","57.1%","15","0","3.75","25.0%","3.4","50.5","36.7","2.4"
"128","Kylin Hill","GB","RB","8","10","24","3.0","2.40","0","0","1","0.0%","0","0.0%","0.0%","0.0%","60.0%","80.0%","40.0%","20.0%","0.0%","0.0%","0.0%","0","0.00","21","2.10","87.5%","0.30","6","60.0%","12","0","2.00","16.7%","4","40.0%","12","0","3.00","25.0%","0.5","3.9","7.2","0.9"
"129","Jason Cabinda","DET","FB","14","3","23","1.6","7.67","0","0","2","33.3%","21","91.3%","0.0%","0.0%","33.3%","66.7%","33.3%","33.3%","33.3%","33.3%","0.0%","1","0.33","12","4.00","52.2%","3.67","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","1.0","13.9","14.3","1.0"
"130","Kyle Juszczyk","SF","FB","17","8","22","1.3","2.75","1","0","3","0.0%","0","0.0%","5.3%","12.5%","50.0%","87.5%","37.5%","25.0%","0.0%","0.0%","0.0%","0","0.00","16","2.00","72.7%","0.75","3","37.5%","7","0","2.33","33.3%","0","0.0%","0","0","0.00","0.0%","4.3","73.8","68.7","4.0"
"131","Alex Armah","NO, WAS","RB","11","5","21","1.9","4.20","0","0","4","0.0%","0","0.0%","0.0%","0.0%","20.0%","100.0%","60.0%","40.0%","0.0%","0.0%","0.0%","0","0.00","12","2.40","57.1%","1.80","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","0.8","9.2","6.6","0.6"
"132","Raheem Mostert","SF","RB","1","2","20","20.0","10.00","0","0","1","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","100.0%","50.0%","0.0%","0.0%","1","0.50","16","8.00","80.0%","2.00","2","100.0%","20","0","10.00","100.0%","0","0.0%","0","0","0.00","0.0%","2.0","2.0","1.0","1.0"
"133","Dwayne Washington","NO","RB","9","4","16","1.8","4.00","0","0","0","0.0%","0","0.0%","0.0%","0.0%","25.0%","100.0%","100.0%","25.0%","0.0%","0.0%","0.0%","0","0.00","14","3.50","87.5%","0.50","3","75.0%","11","0","3.67","66.7%","1","25.0%","5","0","5.00","0.0%","0.5","4.8","4.9","0.5"
"134","Scottie Phillips","HST","RB","2","6","13","6.5","2.17","0","0","1","0.0%","0","0.0%","0.0%","0.0%","66.7%","83.3%","33.3%","0.0%","0.0%","0.0%","0.0%","0","0.00","8","1.33","61.5%","0.83","4","66.7%","7","0","1.75","25.0%","2","33.3%","6","0","3.00","50.0%","2.1","4.2","7.4","3.7"
"135","John Kelly","CLV","RB","1","2","13","13.0","6.50","0","0","1","0.0%","0","0.0%","0.0%","0.0%","50.0%","100.0%","50.0%","50.0%","50.0%","0.0%","0.0%","0","0.00","3","1.50","23.1%","5.00","2","100.0%","13","0","6.50","50.0%","0","0.0%","0","0","0.00","0.0%","1.3","1.3","0.9","0.9"
"136","Jacques Patrick","SF","RB","1","2","12","12.0","6.00","0","0","1","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","50.0%","0.0%","0.0%","0.0%","0","0.00","2","1.00","16.7%","5.00","0","0.0%","0","0","0.00","0.0%","2","100.0%","12","0","6.00","100.0%","1.2","1.2","0.9","0.9"
"137","Mekhi Sargent","TEN, JAX, LA","RB","4","5","11","2.8","2.20","0","0","1","0.0%","0","0.0%","0.0%","0.0%","60.0%","100.0%","20.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","6","1.20","54.5%","1.00","2","40.0%","4","0","2.00","0.0%","3","60.0%","7","0","2.33","33.3%","0.3","1.1","3.3","0.8"
"138","Buddy Howell","LA","RB","5","5","11","2.2","2.20","0","0","0","0.0%","0","0.0%","0.0%","0.0%","60.0%","80.0%","60.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","12","2.40","109.1%","-0.20","5","100.0%","11","0","2.20","0.0%","0","0.0%","0","0","0.00","0.0%","0.2","1.1","2.1","0.4"
"139","Jaylen Samuels","HST","RB","3","5","9","3.0","1.80","0","0","0","0.0%","0","0.0%","0.0%","0.0%","100.0%","80.0%","20.0%","0.0%","0.0%","0.0%","0.0%","1","0.20","11","2.20","122.2%","-0.40","2","40.0%","5","0","2.50","0.0%","3","60.0%","4","0","1.33","0.0%","1.8","5.3","8.3","2.8"
"140","Trey Ragas","LV","RB","1","1","9","9.0","9.00","0","0","1","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0","0.00","5","5.00","55.6%","4.00","0","0.0%","0","0","0.00","0.0%","1","100.0%","9","0","9.00","100.0%","3.5","3.5","3.2","3.2"
"141","Gabe Nabers","LAC","FB","9","3","8","0.9","2.67","0","0","1","0.0%","0","0.0%","0.0%","0.0%","33.3%","100.0%","33.3%","0.0%","0.0%","0.0%","0.0%","0","0.00","7","2.33","87.5%","0.33","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","0.6","5.5","10.3","1.1"
"142","Darrynton Evans","TEN","RB","1","2","7","7.0","3.50","0","0","0","0.0%","0","0.0%","0.0%","0.0%","50.0%","100.0%","50.0%","50.0%","0.0%","0.0%","0.0%","0","0.00","5","2.50","71.4%","1.00","1","50.0%","2","0","2.00","0.0%","1","50.0%","5","0","5.00","0.0%","3.8","3.8","4.0","4.0"
"143","Damarea Crockett","DEN","RB","1","3","7","7.0","2.33","0","0","0","0.0%","0","0.0%","0.0%","0.0%","66.7%","66.7%","33.3%","33.3%","0.0%","0.0%","0.0%","1","0.33","7","2.33","100.0%","0.00","0","0.0%","0","0","0.00","0.0%","3","100.0%","7","0","2.33","33.3%","0.7","0.7","1.6","1.6"
"144","Khari Blasingame","TEN","FB","12","3","6","0.5","2.00","0","1","1","0.0%","0","0.0%","0.0%","0.0%","66.7%","100.0%","33.3%","0.0%","0.0%","0.0%","0.0%","0","0.00","7","2.33","116.7%","-0.33","0","0.0%","0","0","0.00","0.0%","3","100.0%","6","0","2.00","33.3%","0.2","2.0","4.3","0.4"
"145","Adam Prentice","NO","FB","7","3","5","0.7","1.67","0","0","2","0.0%","0","0.0%","0.0%","0.0%","33.3%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","4","1.33","80.0%","0.33","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","0.7","5.1","5.5","0.8"
"146","Jake Funk","LA","RB","6","2","5","0.8","2.50","0","0","0","0.0%","0","0.0%","0.0%","0.0%","50.0%","50.0%","50.0%","50.0%","0.0%","0.0%","0.0%","0","0.00","5","2.50","100.0%","0.00","2","100.0%","5","0","2.50","50.0%","0","0.0%","0","0","0.00","0.0%","0.1","0.5","1.3","0.2"
"147","Johnny Stanton","CLV","FB","3","3","5","1.7","1.67","0","0","2","0.0%","0","0.0%","50.0%","0.0%","33.3%","66.7%","33.3%","0.0%","0.0%","0.0%","0.0%","0","0.00","3","1.00","60.0%","0.67","0","0.0%","0","0","0.00","0.0%","2","66.7%","3","0","1.50","50.0%","3.1","9.2","9.5","3.2"
"148","Ryan Nall","CHI","RB","7","1","4","0.6","4.00","0","0","0","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","-1","-1.00","-25.0%","5.00","1","100.0%","4","0","4.00","100.0%","0","0.0%","0","0","0.00","0.0%","0.3","1.8","1.8","0.3"
"149","Ito Smith","DAL","RB","1","1","4","4.0","4.00","1","0","1","0.0%","0","0.0%","100.0%","100.0%","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","2","2.00","50.0%","2.00","0","0.0%","0","0","0.00","0.0%","1","100.0%","4","1","4.00","100.0%","6.4","6.4","2.2","2.2"
"150","Patrick Ricard","BLT","FB","13","2","4","0.3","2.00","0","0","2","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","3","1.50","75.0%","0.50","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","1.6","20.7","20.0","1.5"
"151","Gary Brightwell","NYG","RB","7","1","4","0.6","4.00","0","0","0","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","3","3.00","75.0%","1.00","0","0.0%","0","0","0.00","0.0%","1","100.0%","4","0","4.00","100.0%","0.3","2.0","1.8","0.3"
"152","Trenton Cannon","BLT, SF","RB","10","3","4","0.4","1.33","0","0","0","0.0%","0","0.0%","0.0%","0.0%","66.7%","66.7%","33.3%","0.0%","0.0%","0.0%","0.0%","0","0.00","2","0.67","50.0%","0.67","0","0.0%","0","0","0.00","0.0%","2","66.7%","2","0","1.00","50.0%","-0.1","-0.6","1.3","0.1"
"153","Reggie Bonnafon","CAR","RB","1","1","4","4.0","4.00","0","0","0","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","3","3.00","75.0%","1.00","0","0.0%","0","0","0.00","0.0%","1","100.0%","4","0","4.00","100.0%","3.6","3.6","3.8","3.8"
"154","Patrick Laird","MIA","RB","6","1","4","0.7","4.00","0","0","0","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","2","2.00","50.0%","2.00","1","100.0%","4","0","4.00","100.0%","0","0.0%","0","0","0.00","0.0%","0.9","5.1","9.2","1.5"
"155","Reggie Gilliam","BUF","FB","15","3","3","0.2","1.00","0","0","0","0.0%","0","0.0%","0.0%","0.0%","100.0%","66.7%","0.0%","0.0%","0.0%","0.0%","0.0%","1","0.33","3","1.00","100.0%","0.00","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","0.4","5.6","11.2","0.7"
"156","Anthony McFarland","PIT","RB","2","3","3","1.5","1.00","0","0","0","0.0%","0","0.0%","0.0%","0.0%","100.0%","66.7%","33.3%","0.0%","0.0%","0.0%","0.0%","0","0.00","3","1.00","100.0%","0.00","1","33.3%","3","0","3.00","0.0%","2","66.7%","0","0","0.00","0.0%","1.2","2.4","3.4","1.7"
"157","Nathan Cottrell","JAX","RB","3","1","3","1.0","3.00","0","0","0","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","100.0%","0.0%","0.0%","0.0%","0.0%","1","1.00","6","6.00","200.0%","-3.00","0","0.0%","0","0","0.00","0.0%","1","100.0%","3","0","3.00","0.0%","0.1","0.3","0.5","0.2"
"158","Cam Akers","LA","RB","1","5","3","3.0","0.60","0","0","0","0.0%","0","0.0%","0.0%","0.0%","100.0%","60.0%","0.0%","0.0%","0.0%","0.0%","0.0%","2","0.40","10","2.00","333.3%","-1.40","4","80.0%","1","0","0.25","0.0%","1","20.0%","2","0","2.00","0.0%","4.3","4.3","7.2","7.2"
"159","Derek Watt","PIT","FB","16","1","1","0.1","1.00","0","0","1","0.0%","0","0.0%","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","1","1.00","100.0%","0.00","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","0.3","4.6","4.6","0.3"
"160","Alec Ingold","LV","FB","9","2","1","0.1","0.50","0","0","1","0.0%","0","0.0%","9.1%","0.0%","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","-","-","0.0%","0.50","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","2.7","24.6","25.6","2.8"
"161","Nate McCrary","BLT","RB","1","1","-1","-1.0","-1.00","0","0","0","0.0%","0","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","2","2.00","-200.0%","-3.00","1","100.0%","-1","0","-1.00","0.0%","0","0.0%","0","0","0.00","0.0%","-0.1","-0.1","0.5","0.5"
"162","Devine Ozigbo","NO","RB","2","1","-3","-1.5","-3.00","0","0","0","0.0%","0","0.0%","0.0%","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","2","2.00","1","1.00","-33.3%","-4.00","1","100.0%","-3","0","-3.00","0.0%","0","0.0%","0","0","0.00","0.0%","0.7","1.4","2.4","1.2"
"163","Kenjon Barner","TB","RB","3","4","0","0.0","-","0","0","0","0.0%","0","0.0%","0.0%","0.0%","100.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","3","0.75","0.0%","-0.75","2","50.0%","2","0","1.00","0.0%","2","50.0%","-2","0","-1.00","0.0%","0.0","0.0","1.7","0.6"
"164","Andy Janovich","CLV","FB","13","2","0","0.0","-","1","0","1","0.0%","0","0.0%","4.8%","50.0%","50.0%","50.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0.00","-","-","0.0%","0.00","0","0.0%","0","0","0.00","0.0%","0","0.0%","0","0","0.00","0.0%","0.9","11.9","9.4","0.7"
