"Rank","Name","Team","POS","G","ATT","YDS","RuYDS/G","YPC","TD","FUM","1D","EXP RUN %","EXP YDS","EXP YDS %","i5 %","TD RATE","STUFF %","1+ %","3+ %","5+ %","10+ %","20+ %","30+ %","MTF","MTF/ATT","YACO","YACO/ATT","YACO %","YBCO/ATT","ATT","ATT %","YDS","TD","YPC","Success Rate","ATT","ATT %","YDS","TD","YPC","Success Rate","FP/G","FP","XFP","XFP/G"
"77","Ke'Shawn Vaughn","TB","RB","6","36","180","30.0","5.00","2","0","9","8.3%","87","48.3%","14.3%","5.6%","52.8%","77.8%","50.0%","30.6%","13.9%","2.8%","2.8%","14","0.39","145","4.03","80.6%","0.97","13","36.1%","38","0","2.92","46.2%","23","63.9%","142","2","6.17","52.2%","6.1","36.6","30.8","5.1"
"78","Travis Homer","SEA","RB","14","21","177","12.6","8.43","1","0","7","9.5%","99","55.9%","5.3%","4.8%","19.0%","95.2%","76.2%","38.1%","19.0%","9.5%","4.8%","5","0.24","68","3.24","38.4%","5.19","10","47.6%","29","0","2.90","60.0%","8","38.1%","67","0","8.38","37.5%","4.0","55.8","38.5","2.7"
"79","Royce Freeman","CAR, HST","RB","13","56","169","13.0","3.02","0","0","8","0.0%","0","0.0%","6.7%","0.0%","48.2%","78.6%","51.8%","30.4%","3.6%","0.0%","0.0%","5","0.09","144","2.57","85.2%","0.45","25","44.6%","50","0","2.00","36.0%","30","53.6%","117","0","3.90","50.0%","2.7","34.6","51.5","4.0"
"80","Trey Sermon","SF","RB","6","41","167","27.8","4.07","1","0","9","4.9%","31","18.6%","11.1%","2.4%","41.5%","82.9%","58.5%","41.5%","7.3%","0.0%","0.0%","7","0.17","95","2.32","56.9%","1.76","21","51.2%","84","0","4.00","57.1%","19","46.3%","79","1","4.16","52.6%","4.7","28.3","28.5","4.8"
"81","Ameer Abdullah","CAR, MIN","RB","17","51","166","9.8","3.25","0","0","8","3.9%","30","18.1%","7.1%","0.0%","43.1%","78.4%","52.9%","29.4%","5.9%","0.0%","0.0%","4","0.08","109","2.14","65.7%","1.12","31","60.8%","82","0","2.65","38.7%","19","37.3%","84","0","4.42","57.9%","5.3","89.5","106.2","6.2"
"82","Damien Williams","CHI","RB","12","40","164","13.7","4.10","2","0","11","2.5%","23","14.0%","22.2%","5.0%","45.0%","72.5%","57.5%","42.5%","10.0%","2.5%","0.0%","8","0.20","111","2.78","67.7%","1.33","28","70.0%","125","1","4.46","53.6%","11","27.5%","39","1","3.55","54.5%","5.1","60.7","57.1","4.8"
"83","Jeremy McNichols","TEN","RB","14","41","156","11.1","3.80","0","0","6","0.0%","0","0.0%","4.5%","0.0%","56.1%","82.9%","53.7%","36.6%","12.2%","0.0%","0.0%","5","0.12","98","2.39","62.8%","1.41","19","46.3%","78","0","4.11","47.4%","22","53.7%","78","0","3.55","36.4%","5.3","73.6","75.1","5.4"
"84","Salvon Ahmed","MIA","RB","13","54","149","11.5","2.76","0","0","8","1.9%","16","10.7%","0.0%","0.0%","57.4%","75.9%","48.1%","20.4%","5.6%","0.0%","0.0%","6","0.11","105","1.94","70.5%","0.81","35","64.8%","115","0","3.29","31.4%","19","35.2%","34","0","1.79","26.3%","3.0","38.6","53.2","4.1"
"85","Tony Jones","NO","RB","10","54","142","14.2","2.63","0","0","7","0.0%","0","0.0%","11.1%","0.0%","57.4%","75.9%","50.0%","24.1%","1.9%","0.0%","0.0%","4","0.07","121","2.24","85.2%","0.39","35","64.8%","89","0","2.54","34.3%","18","33.3%","50","0","2.78","38.9%","2.2","22.1","42.4","4.2"
"86","Corey Clement","DAL","RB","11","33","140","12.7","4.24","0","0","7","3.0%","38","27.1%","0.0%","0.0%","42.4%","84.8%","57.6%","36.4%","6.1%","3.0%","3.0%","3","0.09","83","2.52","59.3%","1.73","20","60.6%","58","0","2.90","35.0%","13","39.4%","82","0","6.31","53.8%","2.6","28.9","28.0","2.5"
"87","DeeJay Dallas","SEA","RB","17","33","138","8.1","4.18","2","0","10","3.0%","15","10.9%","10.0%","6.1%","33.3%","87.9%","60.6%","42.4%","9.1%","0.0%","0.0%","7","0.21","97","2.94","70.3%","1.24","21","63.6%","87","1","4.14","57.1%","12","36.4%","51","1","4.25","58.3%","3.5","60.1","54.9","3.2"
"88","Dare Ogunbowale","JAX","RB","15","43","137","9.1","3.19","1","0","5","0.0%","0","0.0%","5.0%","2.3%","46.5%","83.7%","58.1%","27.9%","2.3%","0.0%","0.0%","0","0.00","73","1.70","53.3%","1.49","25","58.1%","85","0","3.40","36.0%","18","41.9%","52","1","2.89","38.9%","3.3","50.1","54.9","3.7"
"89","Malcolm Brown","MIA","RB","7","33","125","17.9","3.79","1","0","6","6.1%","40","32.0%","44.4%","3.0%","48.5%","81.8%","54.5%","18.2%","9.1%","3.0%","0.0%","6","0.18","76","2.30","60.8%","1.48","22","66.7%","91","1","4.14","54.5%","11","33.3%","34","0","3.09","45.5%","3.2","22.5","35.6","5.1"
