"Rank","Name","Team","POS","G","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","EZTGT","EZTD","MTF","MTF/REC","1D","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR"
"11","Amon-Ra St. Brown","DET","WR","16","454","77.6%","6.4","921","31.9%","143","26.1%","0.31","106","74.1%","1161","72.6","28.6%","2.56","8.12","10.95","559","5.27","166","1.57","6","24.0%","6","4","14","0.13","68","4","2.8%","116","81.1%","17","11.9%","17","12","70.6%","2","108.8","118","33.9%","33.5%","1.1","40.5%","58.4%","0.2%","0.9%","0.59","16.7","267.6","246.8","15.4","0.53"
"12","Amari Cooper","CLV","WR","17","538","86.9%","13.4","1712","41.7%","128","23.7%","0.24","78","60.9%","1160","68.2","31.3%","2.16","9.06","14.87","301","3.86","122","1.56","9","47.4%","16","6","8","0.10","61","9","7.0%","97","75.8%","4","3.1%","30","17","56.7%","4","104.3","112","32.2%","29.0%","0.1","74.0%","25.8%","0.0%","0.2%","0.46","14.5","247.0","243.0","14.3","0.45"
"13","Mike Evans","TB","WR","15","564","80.8%","13.9","1706","42.9%","123","18.2%","0.22","77","62.6%","1124","74.9","25.9%","1.99","9.14","14.60","239","3.10","102","1.32","6","26.1%","10","4","6","0.08","53","5","4.1%","91","74.0%","5","4.1%","30","21","70.0%","3","88.3","108","22.9%","21.7%","0.2","73.8%","26.2%","0.0%","0.0%","0.40","15.0","225.4","254.1","16.9","0.45"
"14","Christian Kirk","JAX","WR","17","559","86.3%","10.3","1303","35.4%","127","21.3%","0.23","84","66.1%","1108","65.2","26.7%","1.98","8.72","13.19","383","4.56","94","1.12","8","32.0%","13","5","8","0.10","55","10","7.9%","102","80.3%","9","7.1%","13","7","53.8%","2","101.4","112","25.1%","23.8%","0.7","23.1%","76.2%","0.2%","0.5%","0.43","14.3","242.9","232.6","13.7","0.41"
"15","Garrett Wilson","NYJ","WR","17","575","83.6%","11.0","1553","33.4%","141","22.5%","0.25","83","58.9%","1103","64.9","27.3%","1.92","7.82","13.29","381","4.59","232","2.80","4","26.7%","12","2","19","0.23","56","2","1.4%","106","75.2%","13","9.2%","28","12","42.9%","3","90.2","129","33.1%","29.0%","-0.5","63.3%","35.7%","1.0%","0.0%","0.38","12.7","216.7","254.6","15.0","0.44"
"16","DK Metcalf","SEA","WR","17","553","84.8%","12.1","1687","33.6%","140","24.4%","0.25","90","64.3%","1048","61.6","24.5%","1.90","7.49","11.64","228","2.53","133","1.48","6","20.0%","22","5","10","0.11","47","6","4.3%","111","79.3%","6","4.3%","47","25","53.2%","4","89.2","120","30.2%","29.2%","-1.1","83.0%","17.0%","0.0%","0.0%","0.41","13.5","228.8","270.8","15.9","0.49"
"17","Ja'Marr Chase","CIN","WR","12","496","94.7%","9.8","1241","35.8%","127","27.1%","0.26","87","68.5%","1046","87.2","30.5%","2.11","8.24","12.02","425","4.89","238","2.74","9","33.3%","15","5","12","0.14","58","8","6.3%","108","85.0%","17","13.4%","28","13","46.4%","2","110.5","118","37.3%","29.5%","0.3","76.8%","22.2%","0.2%","0.8%","0.49","20.4","244.4","233.7","19.5","0.47"
"18","Chris Olave","NO","WR","15","419","81.8%","14.8","1663","37.8%","112","24.3%","0.27","72","64.3%","1042","69.5","28.2%","2.49","9.30","14.47","216","3.00","92","1.28","4","17.4%","5","2","7","0.10","48","7","6.3%","88","78.6%","3","2.7%","22","7","31.8%","1","95.2","97","31.9%","30.9%","0.1","65.6%","34.4%","0.0%","0.0%","0.48","13.3","200.2","209.5","14.0","0.50"
"19","Tyler Lockett","SEA","WR","16","513","84.4%","11.4","1278","32.4%","112","21.0%","0.22","84","75.0%","1033","64.6","25.4%","2.01","9.22","12.30","282","3.36","55","0.65","9","31.0%","9","6","9","0.11","50","2","1.8%","90","80.4%","3","2.7%","16","10","62.5%","3","111.2","90","24.1%","25.3%","1.0","56.9%","41.5%","0.8%","0.8%","0.47","15.0","239.3","204.5","12.8","0.40"
"20","Tee Higgins","CIN","WR","16","502","73.7%","11.6","1180","31.7%","102","16.7%","0.20","74","72.5%","1029","64.3","22.8%","2.05","10.09","13.91","282","3.81","148","2.00","7","20.0%","7","3","8","0.11","46","5","4.9%","90","88.2%","2","2.0%","27","16","59.3%","5","127.5","85","21.1%","22.8%","1.8","80.3%","19.5%","0.2%","0.0%","0.44","13.8","220.9","184.5","11.5","0.37"
"21","Chris Godwin","TB","WR","15","538","77.2%","5.9","810","23.1%","138","20.4%","0.26","104","75.4%","1023","68.2","23.9%","1.90","7.41","9.84","543","5.22","239","2.30","3","12.5%","4","1","11","0.11","53","4","2.9%","117","84.8%","35","25.4%","21","9","42.9%","3","100.0","116","24.8%","26.2%","0.3","27.1%","72.7%","0.2%","0.0%","0.42","15.0","224.8","235.1","15.7","0.43"
"22","Brandon Aiyuk","SF","WR","17","479","86.2%","10.1","1141","35.9%","113","22.1%","0.24","78","69.0%","1015","59.7","25.1%","2.12","8.98","13.01","372","4.77","193","2.47","8","26.7%","3","2","17","0.22","47","5","4.4%","90","79.6%","9","8.0%","17","7","41.2%","1","116.9","94","28.1%","24.5%","1.0","76.6%","23.4%","0.0%","0.0%","0.48","13.5","228.8","209.4","12.3","0.44"
"23","Jerry Jeudy","DEN","WR","15","428","72.8%","11.9","1165","31.8%","98","19.4%","0.23","67","68.4%","972","64.8","26.9%","2.27","9.92","14.51","399","5.96","137","2.04","6","35.3%","10","3","9","0.13","41","6","6.1%","78","79.6%","14","14.3%","12","5","41.7%","3","116.5","75","25.8%","27.5%","1.5","45.8%","54.2%","0.0%","0.0%","0.48","13.6","204.2","190.0","12.7","0.44"
"24","JuJu Smith-Schuster","KC","WR","16","484","70.7%","7.3","724","21.2%","99","16.0%","0.20","78","78.8%","933","58.3","19.0%","1.93","9.42","11.96","467","5.99","219","2.81","3","7.9%","3","1","9","0.12","47","6","6.1%","88","88.9%","4","4.0%","11","8","72.7%","0","103.4","70","17.5%","22.8%","2.1","58.7%","41.3%","0.0%","0.0%","0.39","11.7","187.3","163.5","10.2","0.34"
"25","Michael Pittman","IND","WR","16","598","91.9%","7.6","1074","30.8%","141","24.6%","0.24","99","70.2%","925","57.8","25.3%","1.55","6.56","9.34","342","3.45","157","1.59","4","23.5%","9","3","5","0.05","51","6","4.3%","115","81.6%","10","7.1%","24","14","58.3%","2","88.5","113","31.7%","26.9%","-0.7","73.6%","26.4%","0.0%","0.0%","0.36","13.6","217.5","243.6","15.2","0.40"
"26","T.J. Hockenson","MIN, DET","TE","17","535","74.5%","7.8","988","18.2%","126","19.2%","0.24","86","68.3%","914","53.8","18.4%","1.71","7.25","10.63","418","4.86","228","2.65","6","19.4%","9","3","11","0.13","44","6","4.8%","103","81.7%","7","5.6%","33","20","60.6%","4","91.8","97","21.2%","23.0%","-0.5","17.6%","36.3%","46.2%","0.0%","0.40","12.7","216.4","223.9","13.2","0.42"
"27","Mike Williams","LAC","WR","13","432","74.6%","12.5","1138","32.5%","91","16.9%","0.21","63","69.2%","895","68.8","23.9%","2.07","9.84","14.21","335","5.32","91","1.44","4","20.0%","8","3","6","0.10","39","1","1.1%","71","78.0%","5","5.5%","25","16","64.0%","12","106.3","78","24.5%","22.5%","1.2","84.5%","15.5%","0.0%","0.0%","0.41","13.6","176.5","158.7","12.2","0.37"
"28","D.J. Moore","CAR","WR","17","447","87.3%","13.9","1517","49.7%","109","23.9%","0.24","63","57.8%","888","52.2","27.4%","1.99","8.15","14.10","202","3.21","85","1.35","7","43.8%","10","5","9","0.14","44","4","3.7%","78","71.6%","13","11.9%","26","14","53.8%","7","90.3","88","29.9%","27.6%","-1.0","74.9%","24.8%","0.0%","0.2%","0.45","11.7","199.1","225.4","13.3","0.49"
"29","Diontae Johnson","PIT","WR","17","598","93.3%","10.5","1474","29.3%","140","24.5%","0.23","86","61.4%","882","51.9","24.1%","1.47","6.30","10.26","224","2.60","132","1.53","0","0.0%","10","0","15","0.17","45","8","5.7%","110","78.6%","8","5.7%","22","10","45.5%","3","61.7","116","30.8%","27.4%","-1.6","87.0%","13.0%","0.0%","0.0%","0.30","10.6","180.7","263.4","15.5","0.44"
"30","Drake London","ATL","WR","17","393","80.2%","10.5","1211","38.7%","115","27.7%","0.29","72","62.6%","866","50.9","29.6%","2.20","7.53","12.03","233","3.24","96","1.33","4","23.5%","9","2","6","0.08","48","4","3.5%","85","73.9%","8","7.0%","17","7","41.2%","0","86.4","93","31.5%","34.1%","-0.7","78.1%","21.9%","0.0%","0.0%","0.46","10.7","181.6","222.2","13.1","0.57"
"31","Mark Andrews","BLT","TE","15","412","83.4%","10.2","1078","37.1%","106","25.1%","0.26","73","68.9%","847","56.5","30.4%","2.06","7.99","11.60","267","3.66","111","1.52","5","27.8%","8","3","5","0.07","48","6","5.7%","85","80.2%","4","3.8%","12","5","41.7%","3","108.5","89","31.0%","31.2%","-0.2","22.3%","66.0%","11.7%","0.0%","0.46","12.7","190.5","195.7","13.0","0.47"
"32","Donovan Peoples-Jones","CLV","WR","17","534","86.3%","12.8","1212","30.6%","95","17.6%","0.18","61","64.2%","839","49.4","22.6%","1.57","8.83","13.75","193","3.16","52","0.85","3","15.8%","9","1","2","0.03","33","4","4.2%","73","76.8%","0","0.0%","20","9","45.0%","4","98.5","72","20.7%","21.3%","0.2","69.7%","30.1%","0.0%","0.2%","0.30","9.5","162.1","185.2","10.9","0.35"
"33","Gabe Davis","BUF","WR","15","537","87.2%","16.0","1455","28.1%","91","17.0%","0.17","48","52.7%","836","55.7","21.0%","1.56","9.19","17.42","148","3.08","35","0.73","7","22.6%","11","3","3","0.06","35","7","7.7%","68","74.7%","2","2.2%","25","9","36.0%","4","87.1","55","16.7%","19.6%","-0.3","92.0%","7.4%","0.6%","0.0%","0.32","11.5","172.6","189.7","12.6","0.35"
"34","Courtland Sutton","DEN","WR","15","499","86.5%","13.1","1405","37.6%","107","21.4%","0.21","64","59.8%","829","55.3","23.4%","1.66","7.75","12.95","135","2.11","63","0.98","2","15.4%","14","2","3","0.05","38","8","7.5%","86","80.4%","1","0.9%","28","9","32.1%","1","74.9","86","30.8%","25.5%","-1.1","87.8%","12.0%","0.2%","0.0%","0.32","10.6","159.4","219.8","14.7","0.44"
"35","Zay Jones","JAX","WR","16","516","83.1%","8.8","1034","27.1%","117","20.4%","0.23","82","70.1%","823","51.4","20.7%","1.59","7.03","10.04","311","3.79","120","1.46","5","21.7%","13","3","6","0.07","44","10","8.5%","102","87.2%","13","11.1%","13","7","53.8%","3","96.9","97","22.8%","24.1%","-0.8","66.5%","33.3%","0.2%","0.0%","0.38","12.4","198.1","203.8","12.7","0.39"
"36","Cooper Kupp","LA","WR","9","308","85.8%","7.2","701","41.9%","97","29.9%","0.31","75","77.3%","812","90.2","37.8%","2.64","8.37","10.83","437","5.83","142","1.89","6","66.7%","6","3","9","0.12","42","1","1.0%","78","80.4%","23","23.7%","8","4","50.0%","4","104.8","84","37.5%","33.2%","1.0","43.8%","53.9%","0.0%","2.3%","0.66","22.5","202.4","175.6","19.5","0.56"
"37","Jakobi Meyers","NE","WR","14","378","75.6%","9.9","949","36.2%","96","21.2%","0.25","67","69.8%","804","57.4","25.7%","2.13","8.38","12.00","251","3.75","66","0.99","6","33.3%","5","3","3","0.04","38","1","1.0%","77","80.2%","11","11.5%","23","14","60.9%","4","116.0","75","25.8%","27.1%","0.5","30.2%","68.8%","0.0%","1.1%","0.48","13.0","182.3","184.8","13.2","0.49"
"38","George Pickens","PIT","WR","17","549","85.6%","15.3","1284","31.2%","84","14.7%","0.15","52","61.9%","801","47.1","21.9%","1.46","9.54","15.40","120","2.31","66","1.27","4","33.3%","8","2","7","0.13","38","3","3.6%","64","76.2%","1","1.2%","24","18","75.0%","9","109.3","70","18.6%","17.5%","0.3","86.3%","13.5%","0.2%","0.0%","0.30","9.8","166.5","184.3","10.8","0.33"
"39","Allen Lazard","GB","WR","15","410","77.1%","12.8","1241","31.6%","97","19.6%","0.24","60","61.9%","788","52.5","23.0%","1.92","8.12","13.13","279","4.65","110","1.83","6","24.0%","10","3","3","0.05","45","7","7.2%","77","79.4%","7","7.2%","15","5","33.3%","1","90.9","78","23.3%","22.7%","-0.4","60.0%","37.1%","2.9%","0.0%","0.43","11.7","174.8","178.6","11.9","0.43"
"40","Josh Palmer","LAC","WR","16","556","77.7%","9.0","888","24.5%","99","15.0%","0.18","72","72.7%","769","48.1","17.1%","1.38","7.77","10.68","255","3.54","90","1.25","3","12.5%","6","2","7","0.10","39","5","5.1%","82","82.8%","9","9.1%","10","6","60.0%","3","100.9","68","18.1%","19.0%","0.1","73.2%","26.6%","0.2%","0.0%","0.30","10.6","169.3","174.6","10.9","0.31"
"41","Evan Engram","JAX","TE","17","478","73.8%","6.3","609","13.8%","97","16.3%","0.20","73","75.3%","766","45.1","18.5%","1.60","7.90","10.49","487","6.67","163","2.23","4","16.0%","7","2","8","0.11","33","3","3.1%","84","86.6%","15","15.5%","14","8","57.1%","1","111.4","81","18.1%","20.6%","0.8","23.8%","41.8%","33.7%","0.6%","0.37","10.4","176.9","174.9","10.3","0.36"
"42","George Kittle","SF","TE","15","388","78.1%","7.4","607","24.5%","82","17.8%","0.21","60","73.2%","765","51.0","20.7%","1.97","9.33","12.75","397","6.62","172","2.87","11","37.9%","11","6","8","0.13","36","2","2.4%","70","85.4%","6","7.3%","17","12","70.6%","2","131.4","57","19.0%","19.9%","1.6","11.6%","28.4%","58.5%","1.5%","0.52","13.4","201.5","157.5","10.5","0.41"
"43","Tyler Boyd","CIN","WR","16","523","76.8%","9.8","773","21.7%","79","13.0%","0.15","58","73.4%","762","47.6","16.9%","1.46","9.65","13.14","251","4.33","129","2.22","5","14.3%","4","3","4","0.07","41","1","1.3%","63","79.7%","1","1.3%","12","8","66.7%","5","103.5","65","16.1%","17.0%","1.6","15.7%","84.3%","0.0%","0.0%","0.32","10.4","167.1","145.3","9.1","0.28"
"44","Keenan Allen","LAC","WR","10","327","72.7%","8.8","757","35.6%","86","21.1%","0.26","66","76.7%","752","75.2","25.8%","2.30","8.74","11.39","273","4.14","85","1.29","4","23.5%","7","3","3","0.05","39","0","0.0%","70","81.4%","5","5.8%","11","8","72.7%","1","108.3","67","26.6%","28.7%","1.1","33.3%","66.1%","0.0%","0.6%","0.50","16.5","165.0","151.2","15.1","0.46"
"45","Pat Freiermuth","PIT","TE","16","414","68.2%","8.3","786","21.4%","95","17.6%","0.23","63","66.3%","732","45.8","21.2%","1.77","7.71","11.62","289","4.59","178","2.83","2","20.0%","4","1","9","0.14","37","5","5.3%","77","81.1%","6","6.3%","21","9","42.9%","3","78.9","70","19.5%","24.8%","-0.2","5.8%","37.9%","56.3%","0.0%","0.36","9.3","148.2","162.1","10.1","0.39"
"46","Darius Slayton","NYG","WR","16","366","61.0%","12.5","875","28.8%","70","14.0%","0.19","46","65.7%","724","45.3","22.3%","1.98","10.34","15.74","266","5.78","136","2.96","2","13.3%","2","1","5","0.11","30","4","5.7%","56","80.0%","2","2.9%","18","10","55.6%","3","97.6","59","20.3%","22.6%","1.8","72.4%","27.0%","0.5%","0.0%","0.35","8.1","129.4","130.9","8.2","0.36"
"47","DeAndre Hopkins","ARZ","WR","9","327","83.6%","10.2","935","54.7%","92","27.0%","0.28","64","69.6%","717","79.7","34.8%","2.19","7.79","11.20","180","2.81","80","1.25","3","33.3%","2","1","6","0.09","35","3","3.3%","75","81.5%","6","6.5%","13","6","46.2%","3","94.3","78","33.5%","31.4%","-0.3","74.0%","26.0%","0.0%","0.0%","0.47","17.0","152.7","155.3","17.3","0.47"
"48","Adam Thielen","MIN","WR","17","614","83.8%","10.3","1057","22.2%","103","15.3%","0.17","70","68.0%","716","42.1","14.9%","1.17","6.95","10.23","157","2.24","53","0.76","6","20.0%","8","5","2","0.03","45","5","4.9%","86","83.5%","2","1.9%","18","6","33.3%","0","95.0","77","16.5%","18.1%","-1.1","66.1%","33.7%","0.2%","0.0%","0.29","10.6","180.0","199.3","11.7","0.32"
"49","Marquise Brown","ARZ","WR","12","442","82.9%","11.3","1175","38.4%","104","21.9%","0.24","67","64.4%","709","59.1","25.8%","1.60","6.82","10.58","250","3.73","84","1.25","3","30.0%","5","2","4","0.06","33","3","2.9%","74","71.2%","11","10.6%","14","10","71.4%","3","65.7","88","27.5%","26.1%","-1.4","64.9%","34.6%","0.0%","0.5%","0.35","13.0","156.0","199.1","16.6","0.45"
"50","Dallas Goedert","PHI","TE","12","335","76.3%","5.9","401","17.1%","68","18.2%","0.20","55","80.9%","702","58.5","22.7%","2.10","10.32","12.76","432","7.85","135","2.45","3","17.6%","2","1","6","0.11","40","2","2.9%","59","86.8%","15","22.1%","8","3","37.5%","2","124.4","59","21.9%","21.9%","2.7","11.6%","49.9%","37.9%","0.6%","0.42","11.9","142.2","118.2","9.8","0.35"
"51","Brandin Cooks","HST","WR","13","402","79.0%","11.8","1054","35.0%","89","19.3%","0.22","57","64.0%","699","53.8","23.7%","1.74","7.85","12.26","216","3.79","30","0.53","3","21.4%","6","3","2","0.04","29","5","5.6%","72","80.9%","11","12.4%","15","6","40.0%","3","80.7","74","25.2%","24.8%","-0.6","74.9%","24.6%","0.2%","0.2%","0.36","11.2","145.6","172.1","13.2","0.43"
"52","Mack Hollins","LV","WR","17","570","88.2%","13.1","1165","20.8%","89","15.2%","0.16","57","64.0%","690","40.6","16.5%","1.21","7.75","12.11","199","3.49","59","1.04","4","14.3%","6","2","3","0.05","34","6","6.7%","68","76.4%","1","1.1%","16","8","50.0%","1","93.4","66","18.1%","17.8%","-0.7","86.5%","13.5%","0.0%","0.0%","0.27","9.1","154.2","170.8","10.0","0.30"
"53","Marquez Valdes-Scantling","KC","WR","17","510","70.5%","14.1","1100","23.1%","78","12.0%","0.15","42","53.8%","687","40.4","13.1%","1.35","8.81","16.36","135","3.21","38","0.90","2","4.9%","5","2","2","0.05","32","5","6.4%","52","66.7%","2","2.6%","15","6","40.0%","3","86.9","64","15.2%","17.3%","-0.1","60.0%","39.4%","0.6%","0.0%","0.24","7.2","122.4","152.9","9.0","0.30"
"54","Curtis Samuel","WAS","WR","17","472","74.9%","7.1","622","17.0%","88","15.9%","0.19","64","72.7%","656","38.6","17.3%","1.39","7.45","10.25","302","4.72","131","2.05","4","16.7%","2","0","11","0.17","36","4","4.5%","72","81.8%","17","19.3%","16","7","43.8%","2","99.4","72","20.2%","21.2%","0.3","27.1%","71.0%","0.4%","1.5%","0.38","10.4","177.3","172.3","10.1","0.32"
"55","K.J. Osborn","MIN","WR","17","537","73.3%","8.9","763","13.0%","86","12.8%","0.16","60","69.8%","650","38.2","13.5%","1.21","7.56","10.83","309","5.15","138","2.30","5","16.7%","7","4","7","0.12","32","2","2.3%","71","82.6%","10","11.6%","16","7","43.8%","1","101.4","66","14.1%","17.3%","0.0","40.8%","59.0%","0.0%","0.2%","0.29","9.2","155.6","160.7","9.5","0.30"
"56","Deebo Samuel","SF","WR","13","351","80.1%","4.2","381","10.0%","91","22.6%","0.26","56","61.5%","632","48.6","20.8%","1.80","6.95","11.29","504","9.00","275","4.91","2","9.5%","3","1","28","0.50","25","3","3.3%","69","75.8%","27","29.7%","20","6","30.0%","1","75.9","64","24.3%","27.2%","0.4","61.3%","26.8%","0.3%","11.7%","0.49","13.1","170.4","177.7","13.7","0.43"
"57","David Njoku","CLV","TE","14","383","72.7%","7.4","572","16.7%","77","16.7%","0.20","58","75.3%","628","44.9","20.3%","1.64","8.16","10.83","342","5.90","150","2.59","4","23.5%","6","2","8","0.14","36","5","6.5%","67","87.0%","10","13.0%","14","7","50.0%","4","110.7","62","20.7%","22.2%","0.9","11.5%","38.6%","49.9%","0.0%","0.37","10.2","143.0","144.3","10.3","0.37"
"58","Parris Campbell","IND","WR","17","569","82.9%","6.7","573","15.9%","86","14.2%","0.15","63","73.3%","623","36.6","16.2%","1.09","7.24","9.89","302","4.79","119","1.89","3","17.6%","2","1","11","0.17","32","5","5.8%","73","84.9%","14","16.3%","9","6","66.7%","1","80.7","63","16.8%","17.5%","0.2","18.8%","81.0%","0.2%","0.0%","0.26","8.8","149.1","149.6","8.8","0.26"
"59","Tyler Higbee","LA","TE","17","395","64.4%","3.1","316","12.3%","102","19.2%","0.26","72","70.6%","620","36.5","17.7%","1.57","6.08","8.61","418","5.81","140","1.94","3","18.8%","6","2","8","0.11","32","7","6.9%","85","83.3%","16","15.7%","13","6","46.2%","0","87.9","77","21.8%","23.4%","-0.3","22.3%","14.9%","62.8%","0.0%","0.38","8.9","152.0","170.7","10.0","0.43"
"60","Kalif Raymond","DET","WR","17","294","46.9%","10.1","626","17.9%","62","10.5%","0.21","47","75.8%","616","36.2","13.9%","2.10","9.94","13.11","223","4.74","65","1.38","0","0.0%","2","0","2","0.04","24","0","0.0%","49","79.0%","12","19.4%","5","3","60.0%","1","106.7","47","12.4%","23.0%","1.9","52.7%","45.6%","0.7%","1.0%","0.38","6.5","111.2","110.1","6.5","0.36"
"61","Christian Watson","GB","WR","14","243","49.8%","14.0","910","22.8%","65","14.5%","0.27","41","63.1%","611","43.6","19.2%","2.51","9.40","14.90","279","6.80","76","1.85","7","31.8%","7","4","6","0.15","28","7","10.8%","50","76.9%","11","16.9%","9","7","77.8%","2","123.3","56","18.4%","28.3%","0.5","66.7%","32.1%","0.8%","0.4%","0.68","11.7","164.1","132.5","9.5","0.53"
"62","Alec Pierce","IND","WR","16","439","67.4%","12.0","910","24.9%","76","13.2%","0.17","41","53.9%","593","37.1","16.2%","1.35","7.80","14.46","113","2.76","48","1.17","2","11.8%","4","1","2","0.05","27","2","2.6%","54","71.1%","2","2.6%","22","9","40.9%","6","82.8","56","15.7%","19.3%","-0.7","93.2%","6.8%","0.0%","0.0%","0.26","7.0","112.3","135.0","8.4","0.31"
"63","Dalton Schultz","DAL","TE","15","388","73.1%","7.6","652","18.6%","86","17.7%","0.22","57","66.3%","577","38.5","16.4%","1.49","6.71","10.12","206","3.61","91","1.60","5","19.2%","7","2","5","0.09","27","5","5.8%","66","76.7%","2","2.3%","12","8","66.7%","0","80.4","67","20.4%","21.2%","-1.0","14.2%","44.3%","39.9%","1.5%","0.37","9.6","143.7","153.5","10.2","0.40"
"64","Richie James","NYG","WR","16","315","51.9%","7.0","476","23.3%","68","13.5%","0.22","57","83.8%","569","35.6","17.6%","1.81","8.37","9.98","192","3.37","75","1.32","4","26.7%","1","1","5","0.09","29","3","4.4%","61","89.7%","5","7.4%","11","9","81.8%","1","121.1","44","15.3%","25.9%","1.2","15.6%","84.1%","0.3%","0.0%","0.43","8.5","135.5","116.0","7.2","0.37"
