"Rank","Name","Team","POS","G","RTE","RTE %","aDOT","AY","AY Share","TGT","TGT %","TPRR","REC","CR %","YDS","RecYDS/G","TM YDS %","YPRR","YPT","YPR","YAC","YAC/REC","YACO","YACO/REC","TD","TM TD %","EZTGT","EZTD","MTF","MTF/REC","1D","DRP","DRP %","CTGT","CTGT %","DESIGN","DESIGN %","CT","CC","CC %","HERO","RATE","1READ","1READ %","THREAT","YPTOE","WIDE RTE %","SLOT RTE %","INLINE RTE %","BACK RTE %","FP/RR","FP/G","FP","XFP","XFP/G","XFP/RR"
"1","Justin Jefferson","MIN","WR","17","654","89.2%","10.5","1886","43.1%","179","26.6%","0.27","128","71.5%","1809","106.4","37.5%","2.77","10.11","14.13","665","5.20","204","1.59","8","26.7%","14","2","13","0.10","80","6","3.4%","147","82.1%","17","9.5%","38","25","65.8%","8","107.0","158","33.8%","30.8%","1.8","69.7%","29.5%","0.0%","0.8%","0.56","21.7","368.7","340.6","20.0","0.52"
"2","Tyreek Hill","MIA","WR","17","521","81.8%","12.5","2093","41.5%","168","28.8%","0.32","119","70.8%","1710","100.6","35.9%","3.28","10.18","14.37","498","4.18","116","0.97","7","23.3%","6","3","12","0.10","77","10","6.0%","142","84.5%","16","9.5%","26","16","61.5%","3","102.5","140","36.8%","36.7%","1.6","54.1%","43.4%","1.0%","1.5%","0.65","20.1","341.2","323.9","19.1","0.61"
"3","Davante Adams","LV","WR","17","596","92.3%","12.6","2132","42.5%","169","28.8%","0.28","100","59.2%","1516","89.2","36.3%","2.54","8.97","15.16","523","5.23","200","2.00","14","50.0%","15","5","11","0.11","65","7","4.1%","131","77.5%","6","3.6%","32","12","37.5%","8","106.5","140","38.5%","33.0%","0.4","70.0%","29.5%","0.0%","0.5%","0.56","19.7","335.5","318.4","18.7","0.53"
"4","A.J. Brown","PHI","WR","17","508","81.3%","12.8","1735","40.7%","136","25.4%","0.27","88","64.7%","1496","88.0","34.3%","2.94","11.00","17.00","570","6.48","261","2.97","11","44.0%","11","6","22","0.25","59","6","4.4%","103","75.7%","7","5.1%","30","14","46.7%","3","119.6","125","32.1%","30.2%","2.4","73.6%","26.2%","0.0%","0.2%","0.59","17.7","301.6","259.1","15.2","0.51"
"5","Stefon Diggs","BUF","WR","16","551","83.7%","11.7","1767","37.4%","151","26.3%","0.27","108","71.5%","1429","89.3","33.3%","2.59","9.46","13.23","441","4.08","173","1.60","11","31.4%","18","7","18","0.17","72","8","5.3%","121","80.1%","19","12.6%","23","13","56.5%","3","122.6","123","34.7%","32.8%","1.1","65.0%","35.0%","0.0%","0.0%","0.57","19.8","316.6","298.3","18.6","0.54"
"6","CeeDee Lamb","DAL","WR","17","541","90.2%","10.5","1599","38.6%","152","27.3%","0.28","107","70.4%","1359","79.9","34.7%","2.51","8.94","12.70","498","4.65","209","1.95","9","32.1%","6","4","19","0.18","67","4","2.6%","122","80.3%","15","9.9%","24","14","58.3%","3","106.8","131","34.3%","30.6%","0.8","36.0%","63.2%","0.0%","0.7%","0.56","17.7","301.6","274.6","16.2","0.50"
"7","Jaylen Waddle","MIA","WR","17","500","78.5%","12.1","1421","28.5%","117","20.0%","0.23","75","64.1%","1356","79.8","28.5%","2.71","11.59","18.08","534","7.12","138","1.84","8","26.7%","5","3","10","0.13","60","7","6.0%","97","82.9%","8","6.8%","25","9","36.0%","1","119.5","93","24.5%","26.1%","2.9","74.0%","24.6%","0.0%","1.4%","0.52","15.3","260.2","214.4","12.6","0.43"
"8","Travis Kelce","KC","TE","17","561","77.6%","7.6","1117","28.7%","147","22.6%","0.26","110","74.8%","1338","78.7","25.5%","2.39","9.10","12.16","673","6.12","279","2.54","12","29.3%","9","4","27","0.25","78","10","6.8%","131","89.1%","13","8.8%","19","9","47.4%","2","121.1","113","26.9%","28.8%","1.6","29.8%","47.6%","22.3%","0.4%","0.57","18.7","317.3","276.0","16.2","0.49"
"9","DeVonta Smith","PHI","WR","17","533","85.3%","9.9","1311","31.2%","133","24.8%","0.25","95","71.4%","1196","70.4","27.4%","2.24","8.99","12.59","509","5.36","179","1.88","7","28.0%","7","3","12","0.13","57","7","5.3%","112","84.2%","20","15.0%","24","9","37.5%","5","113.5","113","29.0%","28.4%","0.9","74.3%","25.7%","0.0%","0.0%","0.48","15.0","255.6","227.6","13.4","0.43"
"10","Terry McLaurin","WAS","WR","17","541","85.9%","13.1","1494","38.4%","114","20.6%","0.21","77","67.5%","1191","70.1","31.5%","2.20","10.45","15.47","398","5.17","194","2.52","5","20.8%","6","1","13","0.17","56","3","2.6%","87","76.3%","13","11.4%","28","17","60.7%","3","109.2","94","26.4%","24.5%","1.7","78.6%","21.4%","0.0%","0.0%","0.42","13.5","229.0","214.9","12.6","0.39"
