"Rank","Name","Team","POS","G","Snaps","TM Snaps","Snap %","ATT","ATT","ATT %","RTE","DB","RTE %","TGT","TGT","TGT %","XFP","TM XFP","XFP %","XFP/G","FP/G","FP"
"15","Travis Etienne","JAX","RB","17","637","1072","59.4%","220","448","49.1%","270","648","41.7%","43","558","7.2%","217.3","1284.2","16.9%","12.8","12.2","208.1"
"16","Miles Sanders","PHI","RB","17","647","1124","57.6%","259","544","47.6%","198","625","31.7%","26","487","4.9%","203.2","1246.2","16.3%","12.0","12.9","218.7"
"17","Antonio Gibson","WAS","RB","15","470","1009","46.6%","149","460","32.4%","218","573","38.0%","57","464","11.2%","196.0","1090.9","18.0%","13.1","11.1","165.9"
"18","James Conner","ARZ","RB","13","637","893","71.3%","183","335","54.6%","289","588","49.1%","56","486","10.6%","195.3","1034.9","18.9%","15.0","15.5","201.2"
"19","Tony Pollard","DAL","RB","16","541","1040","52.0%","193","499","38.7%","211","556","37.9%","50","485","9.7%","192.0","1155.2","16.6%","12.0","15.6","248.8"
"20","Dameon Pierce","HST","RB","13","486","763","63.7%","220","296","74.3%","157","479","32.8%","36","402","8.3%","191.2","896.7","21.3%","14.7","13.0","168.4"
"21","Ezekiel Elliott","DAL","RB","15","537","978","54.9%","231","471","49.0%","191","524","36.5%","23","459","4.8%","190.4","1103.7","17.3%","12.7","12.4","185.8"
"22","Kenneth Walker","SEA","RB","15","549","942","58.3%","228","392","58.2%","198","579","34.2%","34","478","6.7%","184.9","1063.4","17.4%","12.3","13.5","202.5"
"23","A.J. Dillon","GB","RB","17","509","1051","48.4%","186","456","40.8%","185","608","30.4%","42","526","7.5%","184.4","1212.0","15.2%","10.8","9.9","167.6"
"24","Devin Singletary","BUF","RB","16","679","1037","65.5%","177","430","41.2%","312","658","47.4%","47","535","8.2%","181.9","1238.6","14.7%","11.4","11.3","180.9"
"25","David Montgomery","CHI","RB","16","596","933","63.9%","201","526","38.2%","201","470","42.8%","39","321","11.0%","179.8","882.0","20.4%","11.2","11.2","179.7"
"26","D'Andre Swift","DET","RB","14","376","906","41.5%","99","403","24.6%","227","514","44.2%","67","454","13.8%","178.4","1072.3","16.6%","12.7","13.7","191.1"
"27","Jerick McKinnon","KC","RB","17","494","1094","45.2%","72","417","17.3%","314","723","43.4%","69","594","10.6%","175.8","1367.7","12.9%","10.3","11.6","197.3"
"28","Jonathan Taylor","IND","RB","11","502","720","69.7%","192","301","63.8%","229","431","53.1%","35","356","9.1%","171.5","792.3","21.6%","15.6","13.6","149.4"
"29","Raheem Mostert","MIA","RB","16","527","937","56.2%","181","364","49.7%","240","589","40.7%","38","509","7.0%","170.2","1129.7","15.1%","10.6","10.6","169.3"
"30","Jeffery Wilson","SF, MIA","RB","16","495","944","52.4%","176","398","44.2%","209","562","37.2%","36","482","7.0%","166.3","1107.9","15.0%","10.4","10.0","160.5"
"31","Rachaad White","TB","RB","17","456","1159","39.3%","129","386","33.4%","239","777","30.8%","57","705","7.6%","155.4","1484.2","10.5%","9.1","8.4","142.1"
"32","Tyler Allgeier","ATL","RB","16","483","940","51.4%","210","521","40.3%","148","452","32.7%","17","362","4.5%","152.2","993.0","15.3%","9.5","10.0","159.4"
"33","Latavius Murray","DEN, NO","RB","13","430","817","52.6%","171","339","50.4%","170","497","34.2%","31","381","7.2%","147.2","884.9","16.6%","11.3","11.9","154.2"
"34","Kareem Hunt","CLV","RB","17","459","1116","41.1%","123","532","23.1%","237","619","38.3%","41","486","7.6%","147.2","1189.1","12.4%","8.7","7.5","126.8"
"35","Michael Carter","NYJ","RB","16","478","991","48.2%","114","381","29.9%","228","628","36.3%","50","505","8.8%","146.2","1080.9","13.5%","9.1","7.9","127.0"
"36","Cordarrelle Patterson","ATL","RB","13","365","782","46.7%","144","422","34.1%","137","389","35.2%","30","318","9.0%","142.0","852.4","16.7%","10.9","11.5","149.7"
"37","Cam Akers","LA","RB","15","417","882","47.3%","188","361","52.1%","113","543","20.8%","17","438","3.7%","139.3","960.5","14.5%","9.3","9.6","143.3"
"38","Brian Robinson","WAS","RB","12","340","790","43.0%","205","399","51.4%","69","407","17.0%","12","331","3.3%","138.9","822.9","16.9%","11.6","9.4","112.7"
"39","D'Onta Foreman","CAR","RB","17","337","976","34.5%","203","483","42.0%","59","512","11.5%","8","405","1.8%","133.2","1010.3","13.2%","7.8","7.7","131.0"
"40","Samaje Perine","CIN","RB","16","418","1053","39.7%","95","399","23.8%","223","681","32.7%","48","562","7.9%","128.2","1253.3","10.2%","8.0","8.9","142.1"
"41","Isiah Pacheco","KC","RB","17","346","1094","31.6%","170","417","40.8%","117","723","16.2%","13","594","2.0%","125.5","1367.7","9.2%","7.4","8.1","137.0"
"42","Melvin Gordon","DEN","RB","10","267","644","41.5%","90","264","34.1%","135","397","34.0%","32","318","9.2%","110.4","744.1","14.8%","11.0","8.9","89.1"
"43","Kenyan Drake","BLT","RB","12","345","767","45.0%","109","378","28.8%","138","417","33.1%","24","329","6.6%","106.1","810.9","13.1%","8.8","8.7","104.1"
"44","James Cook","BUF","RB","16","258","1037","24.9%","89","430","20.7%","110","658","16.7%","33","535","5.7%","99.7","1238.6","8.0%","6.2","6.7","106.7"
"45","Breece Hall","NYJ","RB","7","221","451","49.0%","80","176","45.5%","100","283","35.3%","30","228","11.6%","99.5","516.0","19.3%","14.2","16.6","116.1"
"46","Khalil Herbert","CHI","RB","13","292","763","38.3%","129","433","29.8%","83","385","21.6%","11","255","3.9%","97.9","716.7","13.7%","7.5","9.1","117.8"
"47","Damien Harris","NE","RB","11","234","655","35.7%","106","285","37.2%","91","387","23.5%","22","322","6.5%","97.2","726.9","13.4%","8.8","8.3","90.9"
"48","Rex Burkhead","HST","RB","16","248","954","26.0%","26","376","6.9%","182","599","30.4%","48","492","8.9%","96.3","1095.8","8.8%","6.0","4.5","71.4"
"49","Kenneth Gainwell","PHI","RB","17","312","1124","27.8%","53","544","9.7%","167","625","26.7%","28","487","5.2%","95.2","1246.2","7.6%","5.6","5.2","87.9"
"50","Jaylen Warren","PIT","RB","16","329","1042","31.6%","77","464","16.6%","163","607","26.9%","32","504","5.9%","93.7","1198.7","7.8%","5.9","5.8","93.3"
"51","Eno Benjamin","HST, NO, ARZ","RB","14","320","937","34.2%","77","386","19.9%","166","577","28.8%","31","474","6.0%","91.1","1074.7","8.5%","6.5","6.4","89.6"
"52","James Robinson","JAX, NYJ","RB","11","257","698","36.8%","110","286","38.5%","74","424","17.5%","13","359","3.3%","90.3","824.7","10.9%","8.2","8.1","88.6"
"53","Deon Jackson","IND","RB","13","244","822","29.7%","68","321","21.2%","137","518","26.4%","33","417","7.3%","86.2","907.7","9.5%","6.6","6.6","85.5"
"54","Clyde Edwards-Helaire","KC","RB","10","211","660","32.0%","71","240","29.6%","99","449","22.0%","22","365","5.5%","83.3","840.8","9.9%","8.3","9.8","98.3"
"55","Chase Edmonds","MIA, DEN","RB","13","276","812","34.0%","68","312","21.8%","144","515","28.0%","23","429","5.0%","81.9","958.0","8.5%","6.3","5.7","74.2"
"56","Alexander Mattison","MIN","RB","17","274","1123","24.4%","74","404","18.3%","141","733","19.2%","18","619","2.7%","79.1","1383.4","5.7%","4.7","5.2","88.4"
"57","J.D. McKissic","WAS","RB","8","206","531","38.8%","22","209","10.5%","147","339","43.4%","40","275","13.5%","76.7","609.9","12.6%","9.6","7.0","55.8"
"58","Chuba Hubbard","CAR","RB","15","265","855","31.0%","95","429","22.1%","90","443","20.3%","16","341","4.1%","76.5","851.2","9.0%","5.1","5.9","88.7"
"59","Joshua Kelley","LAC","RB","13","264","897","29.4%","69","319","21.6%","117","592","19.8%","23","509","4.2%","76.4","1067.5","7.2%","5.9","5.0","64.8"
"60","Zack Moss","IND, BUF","RB","13","241","837","28.8%","93","343","27.1%","80","521","15.4%","12","429","2.6%","74.2","957.2","7.8%","5.7","5.0","65.5"
"61","Nyheim Hines","IND, BUF","RB","16","199","1043","19.1%","24","430","5.6%","125","649","19.3%","37","525","6.5%","74.0","1196.7","6.2%","4.6","4.3","69.4"
"62","Darrell Henderson","LA","RB","10","324","608","53.3%","70","221","31.7%","166","395","42.0%","21","334","6.0%","73.5","714.4","10.3%","7.4","7.4","73.5"
"63","Jamycal Hasty","JAX","RB","16","217","1005","21.6%","46","411","11.2%","105","618","17.0%","26","528","4.6%","69.4","1213.4","5.7%","4.3","4.4","70.0"
"64","Zonovan Knight","NYJ","RB","7","192","455","42.2%","85","157","54.1%","62","304","20.4%","14","255","5.0%","68.8","526.3","13.1%","9.8","8.4","59.0"
"65","J.K. Dobbins","BLT","RB","8","196","465","42.2%","92","243","37.9%","57","244","23.4%","8","187","3.9%","67.0","468.0","14.3%","8.4","10.2","81.2"
"66","Matt Breida","NYG","RB","17","246","1089","22.6%","54","520","10.4%","113","630","17.9%","24","472","4.6%","66.7","1120.9","6.0%","3.9","3.5","59.8"
"67","Javonte Williams","DEN","RB","4","133","247","53.8%","47","104","45.2%","60","151","39.7%","21","124","16.0%","62.3","300.6","20.7%","15.6","10.8","43.0"
"68","Dare Ogunbowale","HST","RB","15","171","890","19.2%","42","346","12.1%","81","564","14.4%","22","464","4.3%","61.6","1036.2","5.9%","4.1","3.2","48.7"
"69","Mark Ingram","NO","RB","10","198","632","31.3%","62","271","22.9%","80","373","21.4%","16","312","4.7%","59.5","714.2","8.3%","5.9","5.2","52.1"
"70","Dontrell Hilliard","TEN","RB","12","192","687","27.9%","22","339","6.5%","128","364","35.2%","26","292","8.3%","58.4","700.0","8.3%","4.9","6.4","77.2"
"71","Justin Jackson","DET","RB","15","171","956","17.9%","42","413","10.2%","86","557","15.4%","18","482","3.4%","57.8","1139.6","5.1%","3.9","3.4","51.1"
"72","Ameer Abdullah","LV","RB","17","163","1049","15.5%","4","428","0.9%","125","646","19.3%","32","535","5.5%","56.4","1233.2","4.6%","3.3","3.2","54.1"
"73","Gus Edwards","BLT","RB","9","160","572","28.0%","87","299","29.1%","26","297","8.8%","1","228","0.4%","52.9","574.1","9.2%","5.9","6.7","60.3"
"74","Ty Johnson","NYJ","RB","13","165","808","20.4%","30","311","9.6%","94","514","18.3%","22","414","4.7%","48.4","887.1","5.5%","3.7","3.3","42.8"
"75","DeeJay Dallas","SEA","RB","15","190","930","20.4%","35","397","8.8%","106","562","18.9%","19","465","3.9%","48.0","1046.4","4.6%","3.2","3.1","47.2"
"76","Boston Scott","PHI","RB","15","160","976","16.4%","54","461","11.7%","65","556","11.7%","6","432","1.3%","45.5","1089.3","4.2%","3.0","3.1","46.2"
"77","Caleb Huntley","ATL","RB","12","119","690","17.2%","76","388","19.6%","16","327","4.9%","2","260","0.7%","45.3","723.1","6.3%","3.8","3.7","44.9"
"78","Justice Hill","BLT","RB","15","252","933","27.0%","49","475","10.3%","110","496","22.2%","12","389","2.8%","45.2","984.3","4.6%","3.0","2.9","43.0"
"79","Kyle Juszczyk","SF","FB","16","501","995","50.4%","7","481","1.5%","184","527","34.9%","22","459","4.5%","45.0","1127.4","4.0%","2.8","3.4","53.6"
"80","Sony Michel","LAC","RB","10","120","673","17.8%","36","237","15.2%","56","452","12.4%","14","381","3.3%","42.0","807.6","5.2%","4.2","2.5","24.9"
"81","Alec Ingold","MIA","FB","17","398","1009","39.4%","6","390","1.5%","121","637","19.0%","22","547","3.8%","40.8","1218.4","3.3%","2.4","2.3","38.3"
"82","Travis Homer","SEA","RB","10","156","597","26.1%","19","211","9.0%","88","405","21.7%","17","343","4.7%","37.3","711.8","5.2%","3.7","4.4","44.1"
"83","Rashaad Penny","SEA","RB","5","160","277","57.8%","57","110","51.8%","53","172","30.8%","5","153","3.2%","37.2","328.5","11.3%","7.4","10.4","52.2"
"84","Jonathan Williams","WAS","RB","9","97","615","15.8%","37","278","13.3%","49","351","14.0%","10","292","3.2%","36.2","680.3","5.3%","4.0","2.9","26.2"
"85","Elijah Mitchell","SF","RB","5","81","322","25.2%","45","172","26.2%","20","157","12.7%","3","135","2.1%","35.7","348.0","10.3%","7.1","8.7","43.6"
"86","Avery Williams","ATL","RB","17","132","1011","13.1%","22","559","3.9%","58","490","11.8%","14","394","3.4%","35.3","1072.8","3.3%","2.1","2.1","35.0"
"87","Mike Boone","DEN","RB","9","120","569","21.1%","24","230","10.4%","66","357","18.5%","13","285","4.2%","34.0","661.6","5.1%","3.8","3.2","28.8"
"88","Royce Freeman","HST","RB","4","100","252","39.7%","41","102","40.2%","29","159","18.2%","7","126","4.8%","33.2","287.3","11.6%","8.3","5.0","20.0"
"89","Kyren Williams","LA","RB","8","138","456","30.3%","35","212","16.5%","73","262","27.9%","11","204","5.0%","32.8","468.6","7.0%","4.1","3.8","30.5"
"90","Gary Brightwell","NYG","RB","15","87","952","9.1%","31","456","6.8%","41","545","7.5%","7","413","1.5%","32.2","977.7","3.3%","2.1","1.9","29.0"
"91","Raheem Blackshear","CAR","RB","13","75","762","9.8%","23","397","5.8%","35","378","9.3%","11","306","3.2%","32.0","796.4","4.0%","2.5","3.4","44.0"
"92","Hassan Haskins","TEN","RB","15","147","877","16.8%","25","446","5.6%","74","450","16.4%","12","355","3.1%","30.8","858.4","3.6%","2.1","1.7","26.0"
"93","Malik Davis","DAL","RB","7","77","483","15.9%","38","224","17.0%","25","269","9.3%","6","231","2.4%","28.6","538.4","5.3%","4.1","4.9","34.4"
"94","Brandon Bolden","LV","RB","13","78","788","9.9%","17","314","5.4%","53","496","10.7%","9","400","2.0%","27.3","923.9","3.0%","2.1","2.1","27.3"
"95","Trestan Ebner","CHI","RB","15","85","876","9.7%","24","494","4.9%","30","446","6.7%","7","299","2.1%","27.2","821.7","3.3%","1.8","0.5","7.2"
"96","Craig Reynolds","DET","RB","7","105","450","23.3%","23","194","11.9%","46","263","17.5%","10","229","4.1%","26.6","534.2","5.0%","3.8","4.4","30.8"
"97","C.J. Ham","MIN","FB","17","160","1123","14.2%","4","404","1.0%","41","733","5.6%","12","619","1.8%","25.7","1383.4","1.9%","1.5","1.8","31.3"
"98","Darrel Williams","ARZ","RB","5","88","368","23.9%","21","134","15.7%","43","245","17.6%","7","207","3.1%","25.7","445.3","5.8%","5.1","4.2","21.1"
"99","Keaontay Ingram","ARZ","RB","11","99","714","13.9%","27","273","9.9%","47","469","10.0%","5","380","1.2%","25.4","799.5","3.2%","2.3","1.6","18.1"
"100","Jordan Mason","SF","RB","12","80","747","10.7%","43","381","11.3%","10","375","2.7%","0","326","0.0%","25.4","829.8","3.1%","2.1","2.7","31.8"
"101","Patrick Ricard","BLT","FB","17","679","1052","64.5%","7","527","1.3%","139","567","24.5%","13","445","2.7%","24.8","1110.7","2.2%","1.5","1.2","20.0"
"102","Malcolm Brown","LA","RB","9","91","527","17.3%","18","208","8.7%","44","327","13.5%","6","273","2.1%","23.9","597.9","4.0%","2.7","2.5","22.8"
"103","Tyrion Davis-Price","SF","RB","6","68","373","18.2%","34","172","19.8%","25","206","12.1%","2","178","1.1%","23.1","451.7","5.1%","3.9","1.7","9.9"
"104","Marlon Mack","SF, DEN","RB","7","61","421","14.5%","16","166","9.6%","32","265","12.1%","9","199","4.0%","22.1","443.2","5.0%","3.2","5.5","38.3"
"105","Zander Horvath","LAC","RB","15","98","1025","9.6%","4","351","1.1%","30","696","4.3%","7","581","1.1%","22.0","1219.0","1.8%","1.5","1.2","18.6"
"106","Corey Clement","ARZ","RB","5","68","323","21.1%","15","127","11.8%","36","209","17.2%","7","174","3.9%","20.9","372.8","5.6%","4.2","4.4","21.9"
"107","Jordan Wilkins","IND","RB","4","39","225","17.3%","13","93","14.0%","22","138","15.9%","8","108","7.1%","19.0","229.2","8.3%","4.8","3.7","14.7"
"108","Derek Watt","PIT","FB","17","75","1109","6.8%","9","500","1.8%","13","641","2.0%","5","532","0.9%","18.0","1266.2","1.4%","1.1","1.2","20.2"
"109","Tony Jones","NO, SEA","RB","3","59","184","32.1%","10","56","17.9%","39","133","29.3%","8","110","7.0%","17.9","227.3","7.9%","6.0","3.5","10.4"
"110","Pierre Strong","NE","RB","12","50","724","6.9%","10","293","3.4%","22","444","5.0%","7","372","1.8%","17.0","837.3","2.0%","1.4","2.3","27.2"
"111","Phillip Lindsay","IND","RB","3","58","207","28.0%","15","64","23.4%","28","148","18.9%","6","116","4.7%","15.4","233.4","6.6%","5.1","4.9","14.8"
"112","Benny Snell","PIT","RB","10","39","655","6.0%","20","300","6.7%","12","378","3.2%","2","309","0.6%","14.1","758.2","1.9%","1.4","1.9","18.7"
"113","Myles Gaskin","MIA","RB","2","37","134","27.6%","10","52","19.2%","19","84","22.6%","6","69","8.0%","13.9","162.7","8.6%","7.0","4.7","9.4"
"114","Isaiah Spiller","LAC","RB","6","53","399","13.3%","18","121","14.9%","11","290","3.8%","3","235","1.2%","13.7","486.0","2.8%","2.3","1.4","8.4"
"115","Ke'Shawn Vaughn","TB","RB","7","34","494","6.9%","17","184","9.2%","9","311","2.9%","3","285","1.0%","13.2","617.3","2.1%","1.9","1.5","10.2"
"116","Tevin Coleman","SF","RB","3","30","167","18.0%","12","67","17.9%","10","102","9.8%","3","93","3.1%","12.8","202.6","6.3%","4.3","7.3","22.0"
"117","David Johnson","NO","RB","5","58","289","20.1%","12","164","7.3%","29","125","23.2%","4","107","3.6%","11.9","263.0","4.5%","2.4","2.0","10.1"
"118","Ronald Jones","KC","RB","6","39","367","10.6%","17","154","11.0%","13","230","5.7%","1","187","0.5%","11.8","438.7","2.7%","2.0","2.7","16.2"
"119","Mike Davis","BLT","RB","8","40","480","8.3%","8","228","3.5%","14","270","5.2%","2","217","0.8%","11.3","536.5","2.1%","1.4","0.5","4.2"
"120","Ronnie Rivers","LA","RB","3","25","183","13.7%","9","86","10.5%","12","99","12.1%","5","88","5.3%","11.1","217.4","5.1%","3.7","3.3","10.0"
"121","Spencer Brown","CAR","RB","2","31","121","25.6%","9","54","16.7%","16","69","23.2%","4","64","6.1%","11.0","159.1","6.9%","5.5","3.7","7.3"
"122","Jaret Patterson","WAS","RB","2","30","131","22.9%","17","78","21.8%","8","57","14.0%","1","45","2.1%","10.9","134.0","8.1%","5.4","3.9","7.8"
"123","Zamir White","LV","RB","12","35","748","4.7%","17","321","5.3%","11","444","2.5%","0","372","0.0%","10.6","859.0","1.2%","0.9","0.6","7.0"
"124","Darrynton Evans","CHI","RB","4","46","230","20.0%","14","125","11.2%","21","120","17.5%","1","85","1.1%","10.0","219.5","4.5%","2.5","2.7","10.7"
"125","Kevin Harris","NE","RB","5","50","289","17.3%","18","112","16.1%","14","181","7.7%","0","156","0.0%","9.5","351.5","2.7%","1.9","2.2","11.2"
"126","Jason Cabinda","DET","FB","8","94","528","17.8%","1","249","0.4%","20","284","7.0%","4","254","1.5%","9.4","610.8","1.5%","1.2","0.2","1.9"
"127","Julius Chestnut","TEN","RB","6","29","367","7.9%","9","162","5.6%","16","216","7.4%","3","168","1.7%","8.9","376.8","2.4%","1.5","1.4","8.3"
"128","Larry Rountree","LAC","RB","3","24","196","12.2%","13","85","15.3%","5","113","4.4%","2","101","1.9%","8.8","222.6","4.0%","2.9","1.8","5.3"
"129","Giovani Bernard","TB","RB","4","25","267","9.4%","8","105","7.6%","11","163","6.7%","2","152","1.3%","8.7","326.0","2.7%","2.2","1.2","4.7"
"130","Snoop Conner","JAX","RB","8","35","497","7.0%","12","217","5.5%","9","294","3.1%","0","251","0.0%","8.2","577.4","1.4%","1.0","1.3","10.2"
"131","J.J. Taylor","NE","RB","1","17","62","27.4%","10","28","35.7%","5","34","14.7%","1","29","3.3%","7.9","66.1","12.0%","7.9","2.7","2.7"
"132","Jonathan Ward","ARZ, TEN","RB","4","10","258","3.9%","5","116","4.3%","5","149","3.4%","3","111","2.3%","6.9","242.4","2.8%","1.7","1.3","5.2"
"133","Salvon Ahmed","MIA","RB","6","36","370","9.7%","12","162","7.4%","11","217","5.1%","1","183","0.5%","6.8","419.9","1.6%","1.1","2.4","14.2"
"134","Kene Nwangwu","MIN","RB","14","18","924","1.9%","9","339","2.7%","7","597","1.2%","2","501","0.4%","6.7","1153.8","0.6%","0.5","0.4","5.5"
"135","Michael Burton","KC","FB","16","68","1022","6.7%","5","387","1.3%","7","677","1.0%","3","559","0.5%","6.7","1277.4","0.5%","0.4","0.2","3.8"
"136","Anthony McFarland","PIT","RB","1","20","67","29.9%","6","36","16.7%","11","34","32.4%","2","28","7.1%","6.5","67.5","9.7%","6.5","6.1","6.1"
"137","Dwayne Washington","NO","RB","11","39","669","5.8%","11","273","4.0%","8","409","2.0%","1","338","0.3%","6.5","746.9","0.9%","0.6","0.5","5.5"
"138","Demetric Felton","CLV","RB","6","71","403","17.6%","1","216","0.5%","23","200","11.5%","4","159","2.3%","6.3","399.3","1.6%","1.0","0.4","2.4"
"139","Trayveon Williams","CIN","RB","7","35","462","7.6%","6","177","3.4%","16","299","5.4%","2","248","0.7%","6.1","535.0","1.1%","0.9","1.1","8.0"
"140","D'Ernest Johnson","CLV","RB","9","33","577","5.7%","4","268","1.5%","19","324","5.9%","3","251","1.1%","5.9","616.4","1.0%","0.7","0.6","5.4"
"141","Adam Prentice","NO","FB","11","112","630","17.8%","4","287","1.4%","20","352","5.7%","3","298","1.0%","5.8","676.0","0.9%","0.5","0.4","4.8"
"142","Patrick Taylor","GB","RB","7","33","460","7.2%","10","211","4.7%","8","255","3.1%","1","219","0.4%","5.8","510.0","1.1%","0.8","0.8","5.8"
"143","Keith Smith","ATL","FB","17","259","1011","25.6%","1","559","0.2%","36","490","7.3%","2","394","0.5%","5.6","1072.8","0.5%","0.3","0.1","2.0"
"144","Jerome Ford","CLV","RB","13","13","859","1.5%","8","415","1.9%","0","474","0.0%","0","370","0.0%","4.3","903.4","0.5%","0.3","0.1","1.2"
"145","Devine Ozigbo","DEN","RB","3","11","195","5.6%","3","81","3.7%","5","118","4.2%","1","88","1.0%","3.4","213.2","1.6%","1.1","0.6","1.7"
"146","Ty Chandler","MIN","RB","2","12","145","8.3%","6","69","8.7%","4","78","5.1%","0","69","0.0%","3.4","178.5","1.9%","1.7","1.0","2.0"
"147","Godwin Igwebuike","SEA","RB","5","4","328","1.2%","3","133","2.3%","1","207","0.5%","1","166","0.6%","2.6","368.3","0.7%","0.5","0.3","1.7"
"148","Tyler Badie","DEN","RB","1","8","62","12.9%","1","36","2.8%","3","29","10.3%","1","21","4.2%","1.4","64.5","2.2%","1.4","9.4","9.4"
"149","Reggie Bonnafon","WAS","RB","1","3","63","4.8%","3","41","7.3%","0","25","0.0%","0","17","0.0%","1.1","57.5","1.8%","1.1","0.8","0.8"
"150","Duke Johnson","BUF","RB","1","5","72","6.9%","2","27","7.4%","2","50","4.0%","0","40","0.0%","1.0","95.9","1.0%","1.0","0.4","0.4"
"151","Damien Williams","ATL","RB","1","10","71","14.1%","2","38","5.3%","5","38","13.2%","0","32","0.0%","1.0","79.7","1.2%","1.0","0.2","0.2"
"152","Trey Sermon","PHI","RB","2","8","148","5.4%","2","83","2.4%","3","69","4.3%","0","55","0.0%","1.0","156.9","0.6%","0.5","1.0","1.9"
"153","Kylin Hill","GB","RB","1","1","69","1.4%","1","25","4.0%","0","47","0.0%","0","38","0.0%","0.8","96.6","0.9%","0.8","0.7","0.7"
"154","Jordan Howard","NO","RB","2","4","94","4.3%","1","30","3.3%","3","66","4.5%","0","53","0.0%","0.5","106.1","0.5%","0.2","0.1","0.1"
