"Rank","Name","Team","POS","G","Snaps","TM Snaps","Snap %","ATT","ATT","ATT %","RTE","DB","RTE %","TGT","TGT","TGT %","XFP","TM XFP","XFP %","XFP/G","FP/G","FP"
"1","Austin Ekeler","LAC","RB","17","713","1154","61.8%","204","404","50.5%","398","773","51.5%","123","653","17.3%","338.1","1372.3","24.6%","19.9","22.1","375.7"
"2","Christian McCaffrey","SF, CAR","RB","17","738","1014","72.8%","244","460","53.0%","358","567","63.1%","104","474","20.3%","316.6","1108.5","28.6%","18.6","21.0","356.4"
"3","Josh Jacobs","LV","RB","17","789","1049","75.2%","340","428","79.4%","323","646","50.0%","62","535","10.6%","301.2","1233.2","24.4%","17.7","19.4","329.3"
"4","Saquon Barkley","NYG","RB","16","826","1026","80.5%","295","499","59.1%","299","586","51.0%","73","436","15.2%","284.3","1051.9","27.0%","17.8","17.8","284.0"
"5","Derrick Henry","TEN","RB","16","619","927","66.8%","349","463","75.4%","155","487","31.8%","40","385","9.6%","270.4","927.5","29.2%","16.9","19.1","305.8"
"6","Rhamondre Stevenson","NE","RB","17","662","1006","65.8%","210","425","49.4%","304","602","50.5%","87","507","16.1%","264.0","1144.5","23.1%","15.5","14.7","250.1"
"7","Joe Mixon","CIN","RB","14","602","921","65.4%","210","337","62.3%","264","603","43.8%","70","497","12.9%","262.6","1100.2","23.9%","18.8","17.1","239.5"
"8","Dalvin Cook","MIN","RB","17","817","1123","72.8%","264","404","65.3%","342","733","46.7%","52","619","7.7%","257.8","1383.4","18.6%","15.2","14.2","241.8"
"9","Najee Harris","PIT","RB","17","726","1109","65.5%","272","500","54.4%","248","641","38.7%","53","532","9.3%","244.1","1266.2","19.3%","14.4","13.3","225.5"
"10","Leonard Fournette","TB","RB","16","651","1093","59.6%","189","366","51.6%","370","731","50.6%","79","663","11.2%","241.7","1397.4","17.3%","15.1","14.2","227.1"
"11","Aaron Jones","GB","RB","17","610","1051","58.0%","213","456","46.7%","273","608","44.9%","72","526","12.8%","240.2","1212.0","19.8%","14.1","14.8","251.6"
"12","Alvin Kamara","NO","RB","15","622","892","69.7%","223","418","53.3%","280","487","57.5%","73","405","16.4%","231.1","930.3","24.8%","15.4","14.4","215.7"
"13","Nick Chubb","CLV","RB","17","636","1116","57.0%","302","532","56.8%","216","619","34.9%","33","486","6.1%","227.4","1189.1","19.1%","13.4","16.6","282.4"
"14","Jamaal Williams","DET","RB","17","449","1092","41.1%","262","480","54.6%","103","627","16.4%","16","548","2.7%","219.0","1299.2","16.9%","12.9","13.4","227.9"
