"Rank","Name","Team","POS","G","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G"
"11","Leonard Fournette","TB","RB","14","180","812","8","552","31","7","351","83","69","454","2","467","199","17","1","249","1266","10","48","751","4.51","3.07","0.17","3.9%","1.29","5.47","6.77","2.88","0.25","1.4%","5.08","0.19","3.02","3.2%","58.0","32.4","90.4","18.3","255.6","253.5","18.1"
"12","Nick Chubb","CLV","RB","14","228","1259","8","864","57","17","170","25","20","174","1","188","76","8","2","248","1433","9","65","940","5.52","3.79","0.25","7.5%","1.02","6.96","9.40","3.80","0.40","10.0%","5.78","0.26","3.79","7.7%","89.9","12.4","102.4","15.5","216.3","184.9","13.2"
"13","Javonte Williams","DEN","RB","17","203","903","4","662","56","9","259","51","43","316","3","347","137","10","2","246","1219","7","66","799","4.45","3.26","0.28","4.4%","1.22","6.20","8.07","3.19","0.23","4.7%","4.96","0.27","3.25","4.5%","53.1","18.6","71.7","12.1","205.9","214.2","12.6"
"14","James Conner","ARZ","RB","15","202","752","15","546","46","7","219","40","37","375","3","388","160","17","5","240","1127","18","63","706","3.72","2.70","0.23","3.5%","1.71","9.38","10.49","4.32","0.46","13.5%","4.70","0.26","2.94","5.0%","50.1","25.0","75.1","17.2","257.7","204.5","13.6"
"15","Derrick Henry","TEN","RB","8","219","937","10","695","44","9","94","20","18","154","0","172","42","4","0","237","1091","10","48","737","4.28","3.17","0.20","4.1%","1.64","7.70","9.56","2.33","0.22","0.0%","4.60","0.20","3.11","3.8%","117.1","19.3","136.4","24.2","193.3","174.3","21.8"
"16","Melvin Gordon","DEN","RB","16","203","918","8","554","39","6","228","33","28","213","2","197","67","6","3","231","1131","10","45","621","4.52","2.73","0.19","3.0%","0.93","6.45","7.04","2.39","0.21","10.7%","4.90","0.19","2.69","3.9%","57.4","13.3","70.7","12.4","198.1","188.2","11.8"
"17","Sony Michel","LA","RB","17","208","845","4","551","30","8","237","32","21","128","1","138","73","9","1","229","973","5","39","624","4.06","2.65","0.14","3.8%","0.54","4.00","6.57","3.48","0.43","4.8%","4.25","0.17","2.72","3.9%","49.7","7.5","57.2","8.7","147.3","175.8","10.3"
"18","Devin Singletary","BUF","RB","17","188","870","7","552","41","13","323","47","40","228","1","251","91","11","0","228","1098","8","52","643","4.63","2.94","0.22","6.9%","0.71","4.85","6.28","2.28","0.28","0.0%","4.82","0.23","2.82","5.7%","51.2","13.4","64.6","11.6","197.8","187.7","11.0"
"19","Elijah Mitchell","SF","RB","11","207","963","5","667","37","8","137","20","19","137","1","157","72","5","0","226","1100","6","42","739","4.65","3.22","0.18","3.9%","1.00","6.85","8.26","3.79","0.26","0.0%","4.87","0.19","3.27","3.5%","87.5","12.5","100.0","15.0","165.0","141.8","12.9"
"20","Aaron Jones","GB","RB","15","171","799","4","523","41","8","280","64","52","391","6","430","150","8","4","223","1190","10","49","673","4.67","3.06","0.24","4.7%","1.40","6.11","8.27","2.88","0.15","7.7%","5.34","0.22","3.02","5.4%","53.3","26.1","79.3","15.3","230.0","198.8","13.3"
"21","Myles Gaskin","MIA","RB","17","173","612","3","361","23","7","247","63","49","234","4","270","94","9","2","222","846","7","32","455","3.54","2.09","0.13","4.0%","0.95","3.71","5.51","1.92","0.18","4.1%","3.81","0.14","2.05","4.1%","36.0","13.8","49.8","10.3","174.6","212.1","12.5"
"22","A.J. Dillon","GB","RB","17","187","803","5","572","27","4","161","37","34","313","2","326","135","7","3","221","1116","7","34","707","4.29","3.06","0.14","2.1%","1.94","8.46","9.59","3.97","0.21","8.8%","5.05","0.15","3.20","3.2%","47.2","18.4","65.6","11.0","186.6","160.2","9.4"
"23","Damien Harris","NE","RB","15","202","929","15","492","37","12","104","20","18","132","0","141","43","4","1","220","1061","15","41","535","4.60","2.44","0.18","5.9%","1.27","6.60","7.83","2.39","0.22","5.6%","4.82","0.19","2.43","5.9%","61.9","8.8","70.7","14.1","212.1","169.2","11.3"
"24","D'Andre Swift","DET","RB","13","151","617","5","347","25","8","301","77","62","452","2","509","194","20","3","214","1069","7","45","541","4.09","2.30","0.17","5.3%","1.50","5.87","8.21","3.13","0.32","4.8%","5.00","0.21","2.53","5.1%","47.5","34.8","82.2","16.1","209.9","216.4","16.6"
"25","Cordarrelle Patterson","ATL","RB","16","153","618","6","401","15","3","229","63","52","548","5","388","203","12","8","205","1166","11","27","604","4.04","2.62","0.10","2.0%","2.39","8.70","7.46","3.90","0.23","15.4%","5.69","0.13","2.95","5.4%","38.6","34.3","72.9","14.7","234.6","196.2","12.3"
"26","Saquon Barkley","NYG","RB","13","162","593","2","424","25","5","229","57","41","263","2","301","92","12","1","203","856","4","37","516","3.66","2.62","0.15","3.1%","1.15","4.61","7.34","2.24","0.29","2.4%","4.22","0.18","2.54","3.0%","45.6","20.2","65.8","11.5","149.6","175.9","13.5"
"27","Chuba Hubbard","CAR","RB","17","172","612","5","447","28","7","151","33","25","174","1","173","75","6","1","197","786","6","34","522","3.56","2.60","0.16","4.1%","1.15","5.27","6.92","3.00","0.24","4.0%","3.99","0.17","2.65","4.1%","36.0","10.2","46.2","8.2","138.6","146.5","8.6"
"28","James Robinson","JAX","RB","14","164","767","8","534","33","7","238","44","31","222","0","231","84","5","1","195","989","8","38","618","4.68","3.26","0.20","4.3%","0.93","5.05","7.45","2.71","0.16","3.2%","5.07","0.19","3.17","4.1%","54.8","15.9","70.6","12.6","175.9","179.8","12.8"
"29","Darrel Williams","KC","RB","17","144","558","6","284","17","2","318","54","47","452","2","449","119","13","4","191","1010","8","30","403","3.88","1.97","0.12","1.4%","1.42","8.37","9.55","2.53","0.28","8.5%","5.29","0.16","2.11","3.1%","32.8","26.6","59.4","11.5","196.0","192.9","11.3"
"30","Mark Ingram","NO, HST","RB","14","160","554","2","440","21","2","138","31","27","162","0","173","68","7","1","187","716","2","28","508","3.46","2.75","0.13","1.3%","1.17","5.23","6.41","2.52","0.26","3.7%","3.83","0.15","2.72","1.6%","39.6","11.6","51.1","7.8","109.6","144.2","10.3"
"31","Devontae Booker","NYG","RB","16","145","593","2","367","14","6","225","45","40","268","1","307","117","10","1","185","861","3","24","484","4.09","2.53","0.10","4.1%","1.19","5.96","7.68","2.93","0.25","2.5%","4.65","0.13","2.62","3.8%","37.1","16.8","53.8","9.0","144.1","155.0","9.7"
"32","Michael Carter","NYJ","RB","14","147","639","4","469","37","5","200","51","36","325","0","329","150","19","2","184","964","4","56","619","4.35","3.19","0.25","3.4%","1.63","6.37","9.14","4.17","0.53","5.6%","5.24","0.30","3.36","3.8%","45.6","23.2","68.9","11.1","155.4","176.1","12.6"
"33","Mike Davis","ATL","RB","17","138","503","3","336","23","3","296","55","44","259","1","318","126","18","2","182","762","4","41","462","3.64","2.43","0.17","2.2%","0.88","4.71","7.23","2.86","0.41","4.5%","4.19","0.23","2.54","2.7%","29.6","15.2","44.8","8.3","141.2","173.5","10.2"
"34","Jamaal Williams","DET","RB","13","153","601","3","376","17","2","100","28","26","157","0","163","61","3","0","179","758","3","20","437","3.93","2.46","0.11","1.3%","1.57","5.61","6.27","2.35","0.12","0.0%","4.23","0.11","2.44","1.1%","46.2","12.1","58.3","9.2","119.8","133.0","10.2"
"35","Darrell Henderson","LA","RB","12","149","688","5","368","24","8","250","39","29","176","3","183","55","4","2","178","864","8","28","423","4.62","2.47","0.16","5.4%","0.70","4.51","6.31","1.90","0.14","6.9%","4.85","0.16","2.38","5.6%","57.3","14.7","72.0","13.6","163.4","162.3","13.5"
"36","Tony Pollard","DAL","RB","15","130","719","2","495","23","9","136","44","39","337","0","355","128","10","2","169","1056","2","33","623","5.53","3.81","0.18","6.9%","2.48","7.66","9.10","3.28","0.26","5.1%","6.25","0.20","3.69","6.5%","47.9","22.5","70.4","10.4","156.6","138.9","9.3"
"37","Devonta Freeman","BLT","RB","16","133","576","5","304","28","7","272","39","34","190","1","197","69","7","0","167","766","6","35","373","4.33","2.29","0.21","5.3%","0.70","4.87","5.79","2.03","0.21","0.0%","4.59","0.21","2.23","4.2%","36.0","11.9","47.9","9.2","146.6","143.0","8.9"
"38","Alexander Mattison","MIN","RB","16","134","491","3","356","27","4","174","39","32","228","1","243","86","8","3","166","719","4","35","442","3.66","2.66","0.20","3.0%","1.31","5.85","7.59","2.69","0.25","9.4%","4.33","0.21","2.66","4.2%","30.7","14.3","44.9","7.9","126.9","130.0","8.1"
"39","Miles Sanders","PHI","RB","12","137","754","0","353","26","11","159","33","26","158","0","236","95","12","1","163","912","0","38","448","5.50","2.58","0.19","8.0%","0.99","4.79","9.08","3.65","0.46","3.8%","5.60","0.23","2.75","7.4%","62.8","13.2","76.0","9.9","118.2","130.6","10.9"
"40","Chase Edmonds","ARZ","RB","12","116","592","2","313","16","6","247","52","43","311","0","349","99","12","2","159","903","2","28","412","5.10","2.70","0.14","5.2%","1.26","5.98","8.12","2.30","0.28","4.7%","5.68","0.18","2.59","5.0%","49.3","25.9","75.3","12.0","144.3","149.0","12.4"
"41","Cooper Kupp","LA","WR","17","4","18","0","7","0","1","591","186","145","1947","16","884","363","23","30","149","1965","16","23","370","4.50","1.75","0.00","25.0%","3.29","10.47","6.10","2.50","0.16","20.7%","13.19","0.15","2.48","20.8%","1.1","114.5","115.6","25.9","439.5","350.4","20.6"
"42","Rex Burkhead","HST","RB","16","122","427","3","304","13","3","182","31","25","186","0","143","52","1","2","147","613","3","14","356","3.50","2.49","0.11","2.5%","1.02","6.00","5.72","2.08","0.04","8.0%","4.17","0.10","2.42","3.4%","26.7","11.6","38.3","6.5","104.3","127.5","8.0"
"43","Rhamondre Stevenson","NE","RB","12","133","606","5","446","38","5","71","18","14","123","0","147","58","5","2","147","729","5","43","504","4.56","3.35","0.29","3.8%","1.73","6.83","10.50","4.14","0.36","14.3%","4.96","0.29","3.43","4.8%","50.5","10.3","60.8","9.7","115.9","114.2","9.5"
"44","D'Onta Foreman","TEN","RB","9","133","566","3","380","25","5","57","10","9","123","0","129","25","1","1","142","689","3","26","405","4.26","2.86","0.19","3.8%","2.16","12.30","14.33","2.78","0.11","11.1%","4.85","0.18","2.85","4.2%","62.9","13.7","76.6","10.5","94.9","96.9","10.8"
"45","Clyde Edwards-Helaire","KC","RB","10","119","517","4","278","20","3","146","22","19","129","2","174","54","3","1","138","646","6","23","332","4.34","2.34","0.17","2.5%","0.88","5.86","9.16","2.84","0.16","5.3%","4.68","0.17","2.41","2.9%","51.7","12.9","64.6","12.0","119.6","102.1","10.2"
"46","Deebo Samuel","SF","WR","16","59","365","8","241","28","6","457","117","77","1405","6","787","386","31","23","137","1770","14","59","627","6.19","4.08","0.47","10.2%","3.07","12.01","10.22","5.01","0.40","29.9%","12.92","0.43","4.58","21.2%","22.8","87.8","110.6","21.3","341.0","235.1","14.7"
"47","Christian McCaffrey","CAR","RB","7","99","442","1","261","17","6","115","40","37","343","1","273","112","7","4","136","785","2","24","373","4.46","2.64","0.17","6.1%","2.98","8.58","7.38","3.03","0.19","10.8%","5.77","0.18","2.74","7.4%","63.1","49.0","112.1","18.2","127.5","123.2","17.6"
"48","Latavius Murray","BLT","RB","14","119","501","6","315","19","4","148","13","10","75","0","72","14","1","0","129","576","6","20","329","4.21","2.65","0.16","3.4%","0.51","5.77","7.20","1.40","0.10","0.0%","4.47","0.16","2.55","3.1%","35.8","5.4","41.1","7.4","103.6","91.5","6.5"
"49","Rashaad Penny","SEA","RB","10","119","749","6","529","27","13","80","8","6","48","0","63","33","4","1","125","797","6","31","562","6.29","4.45","0.23","10.9%","0.60","6.00","10.50","5.50","0.67","16.7%","6.38","0.25","4.50","11.2%","74.9","4.8","79.7","12.2","121.7","83.1","8.3"
"50","Davante Adams","GB","WR","16","0","0","0","-","0","0","533","166","123","1553","11","650","220","19","19","123","1553","11","19","220","-","-","0.00","0.0%","2.91","9.36","5.28","1.79","0.15","15.4%","12.63","0.15","1.79","15.4%","0.0","97.1","97.1","21.5","344.3","284.5","17.8"
"51","Tyreek Hill","KC","WR","17","9","96","0","17","1","4","574","159","111","1239","9","454","154","18","13","120","1335","9","19","171","10.67","1.89","0.11","44.4%","2.16","7.79","4.09","1.39","0.16","11.7%","11.13","0.16","1.43","14.2%","5.6","72.9","78.5","17.5","297.5","307.7","18.1"
"52","D'Ernest Johnson","CLV","RB","15","100","534","3","353","31","6","147","25","19","137","0","142","58","8","0","119","671","3","39","411","5.34","3.53","0.31","6.0%","0.93","5.48","7.47","3.05","0.42","0.0%","5.64","0.33","3.45","5.0%","35.6","9.1","44.7","6.9","104.1","100.0","6.7"
"53","Zack Moss","BUF","RB","13","96","345","4","219","22","1","163","31","23","197","1","210","62","8","1","119","542","5","30","281","3.59","2.28","0.23","1.0%","1.21","6.35","9.13","2.70","0.35","4.3%","4.55","0.25","2.36","1.7%","26.5","15.2","41.7","8.2","106.2","114.8","8.8"
"54","Alex Collins","SEA","RB","11","108","411","2","259","20","2","97","9","9","87","0","101","19","4","2","117","498","2","24","278","3.81","2.40","0.19","1.9%","0.90","9.67","11.22","2.11","0.44","22.2%","4.26","0.21","2.38","3.4%","37.4","7.9","45.3","6.3","69.8","73.4","6.7"
"55","Khalil Herbert","CHI","RB","16","103","433","2","275","20","4","129","16","14","96","0","110","50","5","1","117","529","2","25","325","4.20","2.67","0.19","3.9%","0.74","6.00","7.86","3.57","0.36","7.1%","4.52","0.21","2.78","4.3%","27.1","6.0","33.1","4.9","78.9","84.6","5.3"
"56","Justin Jefferson","MIN","WR","17","6","14","0","15","0","0","613","164","108","1616","10","491","207","8","27","114","1630","10","8","222","2.33","2.50","0.00","0.0%","2.64","9.85","4.55","1.92","0.07","25.0%","14.30","0.07","1.95","23.7%","0.8","95.1","95.9","19.5","331.4","290.2","17.1"
"57","Diontae Johnson","PIT","WR","16","5","53","0","18","3","1","602","166","107","1161","8","544","157","26","14","112","1214","8","29","175","10.60","3.60","0.60","20.0%","1.93","6.99","5.08","1.47","0.24","13.1%","10.84","0.26","1.56","13.4%","3.3","72.6","75.9","17.3","276.4","321.4","20.1"
"58","Ronald Jones","TB","RB","16","101","428","4","243","17","3","81","12","10","64","0","75","17","2","0","111","492","4","19","260","4.24","2.41","0.17","3.0%","0.79","5.33","7.50","1.70","0.20","0.0%","4.43","0.17","2.34","2.7%","26.8","4.0","30.8","5.1","81.2","81.8","5.1"
"59","Mark Andrews","BLT","TE","17","1","0","0","-","0","0","609","151","107","1361","9","477","278","11","20","108","1361","9","11","278","-","-","0.00","0.0%","2.23","9.01","4.46","2.60","0.10","18.7%","12.60","0.10","2.57","18.5%","0.0","80.1","80.1","17.7","301.1","275.2","16.2"
"60","Hunter Renfrow","LV","WR","17","3","3","0","5","1","0","520","126","103","1038","9","483","210","18","10","106","1041","9","19","215","1.00","1.67","0.33","0.0%","2.00","8.24","4.69","2.04","0.17","9.7%","9.82","0.18","2.03","9.4%","0.2","61.1","61.2","15.3","260.1","211.4","12.4"
"61","Keenan Allen","LAC","WR","16","0","0","0","-","0","0","615","148","106","1138","6","366","156","4","12","106","1138","6","4","156","-","-","0.00","0.0%","1.85","7.69","3.45","1.47","0.04","11.3%","10.74","0.04","1.47","11.3%","0.0","71.1","71.1","16.1","257.8","268.7","16.8"
"62","Jaylen Waddle","MIA","WR","16","2","3","1","1","1","0","571","139","104","1015","6","473","157","12","8","106","1018","7","13","158","1.50","0.50","0.50","0.0%","1.78","7.30","4.55","1.51","0.12","7.7%","9.60","0.12","1.49","7.5%","0.2","63.4","63.6","15.4","246.8","247.9","15.5"
"63","Stefon Diggs","BUF","WR","17","0","0","0","-","0","0","623","156","103","1225","10","340","178","22","12","103","1225","10","22","178","-","-","0.00","0.0%","1.97","7.85","3.30","1.73","0.21","11.7%","11.89","0.21","1.73","11.7%","0.0","72.1","72.1","16.8","285.5","299.0","17.6"
"64","Chris Godwin","TB","WR","14","4","21","1","13","0","0","526","123","98","1103","5","617","247","14","15","102","1124","6","14","260","5.25","3.25","0.00","0.0%","2.10","8.97","6.30","2.52","0.14","15.3%","11.02","0.14","2.55","14.7%","1.5","78.8","80.3","17.5","244.4","227.1","16.2"
"65","D.J. Moore","CAR","WR","17","8","48","0","29","3","0","605","158","93","1157","4","462","165","13","16","101","1205","4","16","194","6.00","3.63","0.38","0.0%","1.91","7.32","4.97","1.77","0.14","17.2%","11.93","0.16","1.92","15.8%","2.8","68.1","70.9","14.0","238.5","282.3","16.6"
"66","Kenneth Gainwell","PHI","RB","16","68","291","5","189","17","2","171","46","33","253","1","241","69","3","0","101","544","6","20","258","4.28","2.78","0.25","2.9%","1.48","5.50","7.30","2.09","0.09","0.0%","5.39","0.20","2.55","2.0%","18.2","15.8","34.0","7.8","124.4","117.6","7.3"
"67","Kareem Hunt","CLV","RB","8","78","386","5","267","14","5","105","25","22","174","0","182","50","5","1","101","560","5","19","317","4.95","3.42","0.18","6.4%","1.66","6.96","8.27","2.27","0.23","4.5%","5.54","0.19","3.14","5.9%","48.3","21.8","70.0","13.8","110.0","92.7","11.6"
"68","Boston Scott","PHI","RB","11","87","373","7","219","13","4","68","16","13","83","0","106","23","2","0","100","456","7","15","242","4.29","2.52","0.15","4.6%","1.22","5.19","8.15","1.77","0.15","0.0%","4.56","0.15","2.42","4.0%","33.9","7.5","41.5","9.1","99.6","96.1","8.7"
"69","David Johnson","HST","RB","13","67","228","0","155","10","1","175","38","32","225","1","193","76","7","0","99","453","1","17","231","3.40","2.31","0.15","1.5%","1.29","5.92","6.03","2.38","0.22","0.0%","4.58","0.17","2.33","1.0%","17.5","17.3","34.8","6.3","82.3","98.7","7.6"
"70","Nyheim Hines","IND","RB","17","56","276","2","130","12","3","197","53","40","310","1","289","108","10","2","97","586","3","22","238","4.93","2.32","0.21","5.4%","1.57","5.85","7.23","2.70","0.25","5.0%","6.04","0.23","2.45","5.2%","16.2","18.2","34.5","6.7","114.6","118.3","7.0"
"71","Amon-Ra St. Brown","DET","WR","17","7","61","1","40","2","1","498","115","90","912","5","444","167","9","11","97","973","6","11","207","8.71","5.71","0.29","14.3%","1.83","7.93","4.93","1.86","0.10","12.2%","10.03","0.11","2.13","12.4%","3.6","53.6","57.2","13.4","227.3","201.3","11.8"
"72","Tevin Coleman","NYJ","RB","11","84","356","0","216","14","6","54","15","11","49","0","83","37","0","0","95","405","0","14","253","4.24","2.57","0.17","7.1%","0.91","3.27","7.55","3.36","0.00","0.0%","4.26","0.15","2.66","6.3%","32.4","4.5","36.8","4.7","51.5","80.1","7.3"
"73","Ty Johnson","NYJ","RB","16","61","238","2","118","5","3","245","53","34","372","2","338","126","11","3","95","610","4","16","244","3.90","1.93","0.08","4.9%","1.52","7.02","9.94","3.71","0.32","8.8%","6.42","0.17","2.57","6.3%","14.9","23.3","38.1","7.4","118.0","127.2","7.9"
"74","Travis Kelce","KC","TE","16","2","3","1","1","0","0","590","130","92","1125","9","592","291","25","13","94","1128","10","25","292","1.50","0.50","0.00","0.0%","1.91","8.65","6.43","3.16","0.27","14.1%","12.00","0.27","3.11","13.8%","0.2","70.3","70.5","16.5","263.8","244.5","15.3"
"75","Michael Pittman","IND","WR","17","5","44","0","14","0","1","533","123","88","1082","6","359","153","9","12","94","1126","6","9","167","8.80","2.80","0.00","20.0%","2.03","8.80","4.08","1.74","0.10","13.6%","11.98","0.10","1.78","13.8%","2.6","63.6","66.2","14.0","238.6","225.4","13.3"
"76","Brandin Cooks","HST","WR","16","2","21","0","9","1","1","521","129","90","1037","6","351","91","7","12","93","1058","6","8","100","10.50","4.50","0.50","50.0%","1.99","8.04","3.90","1.01","0.08","13.3%","11.38","0.09","1.08","14.0%","1.3","64.8","66.1","14.5","231.8","234.4","14.6"
"77","Marquise Brown","BLT","WR","16","1","5","0","3","0","0","620","141","91","1008","6","393","114","10","15","93","1013","6","10","117","5.00","3.00","0.00","0.0%","1.63","7.15","4.32","1.25","0.11","16.5%","10.89","0.11","1.26","16.1%","0.3","63.0","63.3","14.2","227.3","260.1","16.3"
"78","Kenyan Drake","LV","RB","12","63","254","2","176","10","2","161","36","30","291","1","278","98","10","3","93","545","3","20","274","4.03","2.79","0.16","3.2%","1.81","8.08","9.27","3.27","0.33","10.0%","5.86","0.22","2.95","5.4%","21.2","24.3","45.4","8.5","102.5","87.1","7.3"
"79","Phillip Lindsay","HST, MIA","RB","14","88","249","1","185","8","1","28","5","4","45","1","54","8","2","1","92","294","2","10","193","2.83","2.10","0.09","1.1%","1.61","9.00","13.50","2.00","0.50","25.0%","3.20","0.11","2.10","2.2%","17.8","3.2","21.0","3.2","45.4","58.7","4.2"
"80","J.D. McKissic","WAS","RB","11","48","212","2","100","3","1","220","50","43","397","2","391","90","4","3","91","609","4","7","190","4.42","2.08","0.06","2.1%","1.80","7.94","9.09","2.09","0.09","7.0%","6.69","0.08","2.09","4.4%","19.3","36.1","55.4","11.6","127.9","105.7","9.6"
"81","Justin Jackson","LAC","RB","14","68","364","2","217","7","5","106","24","22","178","0","174","65","4","1","90","542","2","11","282","5.35","3.19","0.10","7.4%","1.68","7.42","7.91","2.95","0.18","4.5%","6.02","0.12","3.13","6.7%","26.0","12.7","38.7","6.2","87.2","73.8","5.3"
"82","Ameer Abdullah","CAR, MIN","RB","17","51","166","0","109","4","2","183","49","38","289","1","297","102","9","1","89","455","1","13","211","3.25","2.14","0.08","3.9%","1.58","5.90","7.82","2.68","0.24","2.6%","5.11","0.15","2.37","3.4%","9.8","17.0","26.8","5.3","89.5","106.2","6.2"
"83","Ja'Marr Chase","CIN","WR","17","7","21","0","20","2","0","565","120","81","1455","13","676","311","21","22","88","1476","13","23","331","3.00","2.86","0.29","0.0%","2.58","12.13","8.35","3.84","0.26","27.2%","16.77","0.26","3.76","25.0%","1.2","85.6","86.8","18.0","305.6","243.8","14.3"
"84","Jordan Howard","PHI","RB","7","86","406","3","265","17","5","36","3","2","19","0","11","4","0","0","88","425","3","17","269","4.72","3.08","0.20","5.8%","0.53","6.33","5.50","2.00","0.00","0.0%","4.83","0.19","3.06","5.7%","58.0","2.7","60.7","8.9","62.5","59.5","8.5"
"85","CeeDee Lamb","DAL","WR","17","9","76","0","46","4","1","515","116","79","1102","6","454","236","20","20","88","1178","6","24","282","8.44","5.11","0.44","11.1%","2.14","9.50","5.75","2.99","0.25","25.3%","13.39","0.27","3.20","23.9%","4.5","64.8","69.3","13.7","232.8","222.4","13.1"
"86","Darnell Mooney","CHI","WR","17","6","32","1","7","1","1","590","132","81","1055","4","399","183","10","14","87","1087","5","11","190","5.33","1.17","0.17","16.7%","1.79","7.99","4.93","2.26","0.12","17.3%","12.49","0.13","2.18","17.2%","1.9","62.1","63.9","12.9","219.7","237.2","14.0"
"87","Jeffery Wilson","SF","RB","9","79","294","2","208","11","2","62","8","7","31","0","46","13","0","0","86","325","2","11","221","3.72","2.63","0.14","2.5%","0.50","3.88","6.57","1.86","0.00","0.0%","3.78","0.13","2.57","2.3%","32.7","3.4","36.1","5.7","51.5","65.7","7.3"
"88","Brandon Bolden","NE","RB","16","44","226","1","121","6","6","209","48","41","405","2","432","140","9","5","85","631","3","15","261","5.14","2.75","0.14","13.6%","1.94","8.44","10.54","3.41","0.22","12.2%","7.42","0.18","3.07","12.9%","14.1","25.3","39.4","7.8","124.1","99.9","6.2"
"89","Carlos Hyde","JAX","RB","12","72","253","1","156","9","2","137","17","12","65","0","77","28","2","0","84","318","1","11","184","3.51","2.17","0.13","2.8%","0.47","3.82","6.42","2.33","0.17","0.0%","3.79","0.13","2.19","2.4%","21.1","5.4","26.5","4.0","47.8","70.7","5.9"
"90","Jakobi Meyers","NE","WR","17","1","9","0","1","0","0","521","123","83","866","2","239","77","2","12","84","875","2","2","78","9.00","1.00","0.00","0.0%","1.66","7.04","2.88","0.93","0.02","14.5%","10.42","0.02","0.93","14.3%","0.5","50.9","51.5","11.0","187.3","217.8","12.8"
