"Rank","Name","Team","POS","G","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G"
"1","Najee Harris","PIT","RB","17","307","1200","7","901","70","9","404","94","74","467","3","510","283","46","3","381","1667","10","116","1184","3.91","2.93","0.23","2.9%","1.16","4.97","6.89","3.82","0.62","4.1%","4.38","0.30","3.11","3.1%","70.6","27.5","98.1","17.7","300.7","333.3","19.6"
"2","Jonathan Taylor","IND","RB","17","332","1811","18","1150","66","23","248","50","40","360","2","414","97","12","5","372","2171","20","78","1247","5.45","3.46","0.20","6.9%","1.45","7.20","10.35","2.43","0.30","12.5%","5.84","0.21","3.35","7.5%","106.5","21.2","127.7","22.1","375.1","313.7","18.5"
"3","Joe Mixon","CIN","RB","16","292","1205","13","858","52","12","274","49","42","314","3","326","82","7","3","334","1519","16","59","940","4.13","2.94","0.18","4.1%","1.15","6.41","7.76","1.95","0.17","7.1%","4.55","0.18","2.81","4.5%","75.3","19.6","94.9","18.1","288.9","266.3","16.6"
"4","Antonio Gibson","WAS","RB","16","258","1037","7","655","35","12","203","52","42","294","3","347","169","11","2","300","1331","10","46","824","4.02","2.54","0.14","4.7%","1.45","5.65","8.26","4.02","0.26","4.8%","4.44","0.15","2.75","4.7%","64.8","18.4","83.2","14.6","233.1","217.8","13.6"
"5","Alvin Kamara","NO","RB","13","240","898","4","629","53","6","258","65","47","439","5","448","121","11","4","287","1337","9","64","750","3.74","2.62","0.22","2.5%","1.70","6.75","9.53","2.57","0.23","8.5%","4.66","0.22","2.61","3.5%","69.1","33.8","102.8","18.1","234.7","250.0","19.2"
"6","Ezekiel Elliott","DAL","RB","17","237","1002","10","632","30","6","381","64","47","287","2","295","113","7","1","285","1289","12","37","745","4.23","2.67","0.13","2.5%","0.75","4.48","6.28","2.40","0.15","2.1%","4.52","0.13","2.61","2.5%","58.9","16.9","75.8","14.9","253.1","260.7","15.3"
"7","Dalvin Cook","MIN","RB","13","249","1159","6","639","49","19","232","48","34","224","0","289","95","10","1","283","1383","6","59","734","4.65","2.57","0.20","7.6%","0.97","4.67","8.50","2.79","0.29","2.9%","4.89","0.21","2.59","7.1%","89.2","17.2","106.4","16.0","208.3","216.5","16.7"
"8","Austin Ekeler","LAC","RB","16","206","911","12","589","30","9","377","91","70","647","8","629","250","19","3","276","1558","20","49","839","4.42","2.86","0.15","4.4%","1.72","7.11","8.99","3.57","0.27","4.3%","5.64","0.18","3.04","4.3%","56.9","40.4","97.4","21.7","346.8","282.4","17.6"
"9","Josh Jacobs","LV","RB","15","217","872","9","564","49","7","264","64","54","348","0","422","157","13","2","271","1220","9","62","721","4.02","2.60","0.23","3.2%","1.32","5.44","7.81","2.91","0.24","3.7%","4.50","0.23","2.66","3.3%","58.1","23.2","81.3","15.2","228.0","218.0","14.5"
"10","David Montgomery","CHI","RB","13","225","849","7","575","34","7","268","49","42","301","0","290","91","8","0","268","1150","7","42","666","3.77","2.56","0.15","3.1%","1.12","6.14","6.90","2.17","0.19","0.0%","4.29","0.16","2.49","2.6%","65.3","23.2","88.5","15.2","197.0","217.8","16.8"
