"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Patrick Mahomes II","QB","KC","28.3","38.8","25.3","22.9","15.8","27","32.8","26","26.8","20.1","35.9","BYE","33","20.8","18","28.2","17.3","26.1","417.1"
"2","Matt Ryan","QB","FA","8.8","30.7","40.2","29.3","14.4","27.5","19.3","-","28","20.5","13.7","20.7","7.6","20.5","25","19.5","28.8","22.2","354.5"
"3","Ben Roethlisberger","QB","FA","9","39","24","14.9","21.6","21.1","-","16.9","25.2","35.8","20.7","20.3","17.2","19.3","13.1","29.6","13.8","21.3","341.4"
"4","Saquon Barkley","RB","NYG","19.8","17.8","20.2","19","26.9","33.4","21.9","15.6","BYE","12","34.2","29.7","16.1","27.7","7.6","16.2","22.2","21.3","340.3"
"5","Christian McCaffrey","RB","SF","10.5","20.9","20.4","-","17.8","10.1","11","19.6","30.2","34.3","14","41.2","26.6","25.1","22","23.8","4.5","20.8","332"
"6","Deshaun Watson","QB","CLE","11","22.8","25","31.1","21","5.3","10.9","31","20.3","-","9","29.4","16","18.2","22.4","36.5","22","20.7","331.7"
"7","Alvin Kamara","RB","NO","38.6","14.9","26.5","38.6","5.4","BYE","14.5","23.1","31.6","24.2","17.3","10.3","11.2","13.2","19.8","24.5","-","20.9","313.7"
"8","Aaron Rodgers","QB","NYJ","24.9","16","19.9","15","28.7","28.4","-","15.9","19.2","18.1","21.6","11.9","15.3","20.2","13.5","42.9","1","19.5","312.6"
"9","Jared Goff","QB","DET","17.2","18.4","25.6","39.3","14.3","7.4","16.5","26.5","29.3","21","35.1","-","8.1","-0.3","10.7","17.2","24","19.4","310.3"
"10","Drew Brees","QB","FA","31.6","17.6","40.5","8.6","27.2","-","16.8","6.8","31.4","28.9","30.5","20.4","7.3","13.9","5.9","16.9","-","20.3","304.5"
"11","Russell Wilson","QB","DEN","20.4","14.7","15.6","9","19.9","20.9","-","23.4","19.5","26.2","18.1","22","24.8","9","19","28.5","7.9","18.7","298.9"
"12","Ezekiel Elliott","RB","FA","16.1","17.2","13.3","32","11.9","18.2","5.2","-","13.2","33.7","29.6","22.8","22.5","25.2","16.3","13.4","-","19.4","290.6"
"13","Dak Prescott","QB","DAL","8.7","14.9","8.8","18.4","11.7","29.5","20.2","BYE","14.8","21.7","14.8","27.4","14.2","24.4","6.2","16.6","33.5","17.9","285.9"
"14","Philip Rivers","QB","FA","29","22.7","17","21.7","21.4","14.3","20.1","-","17.1","15","19.6","20.7","24","13.5","18.5","3.3","7","17.8","285"
"15","Tyreek Hill","WR","MIA","32.8","17.5","6.6","10.1","10.7","35.7","17.1","8.5","10.5","29.2","38.5","-","5.5","18.5","6.1","11.1","26.1","17.8","284.5"
"16","Kirk Cousins","QB","MIN","20.4","33.5","10","31.7","14.1","17.1","17.5","20.7","6.9","BYE","17","27.4","8","10.8","15.3","22.2","10","17.7","282.6"
"16","Cam Newton","QB","FA","18.2","27.6","29.6","-","16.4","23.3","25.7","28","21.2","14.7","24.5","22.5","15.3","10.9","4.7","-","-","20.2","282.6"
"18","Tom Brady","QB","FA","21.3","16.4","7.5","19","27.5","21.8","21.7","13.8","15.7","11.3","-","19.2","14.9","26.6","13.2","5","26","17.6","280.8"
"19","DeAndre Hopkins","WR","TEN","11.1","20","11.6","27.9","17.6","14.8","12.5","23.2","21.5","-","12.1","9.9","12.6","11.6","34","14.9","20.7","17.3","276"
"20","Davante Adams","WR","LV","17.3","16.4","14.7","12.1","24.5","30.2","-","15.8","13","19.7","21.6","15.4","19.3","17.6","17.9","18.6","-","18.3","274.1"
