"Rank","Name","Team","POS","G","Snaps","TM Snaps","Snap %","ATT","ATT","ATT %","RTE","DB","RTE %","TGT","TGT","TGT %","XFP","TM XFP","XFP %","XFP/G","FP/G","FP"
"118","Wayne Gallman","MIN, ATL","RB","7","45","436","10.3%","28","170","16.5%","13","272","4.8%","3","241","1.2%","18.0","496.0","3.6%","2.6","1.9","13.5"
"119","Kene Nwangwu","MIN","RB","9","28","536","5.2%","13","219","5.9%","15","325","4.6%","5","279","1.7%","17.8","584.6","3.0%","2.0","1.2","11.0"
"120","Jermar Jefferson","DET","RB","5","29","304","9.5%","15","137","10.9%","11","169","6.5%","5","143","3.3%","16.7","313.3","5.3%","3.3","5.1","25.7"
"121","Jason Cabinda","DET","FB","14","133","871","15.3%","3","351","0.9%","36","531","6.8%","7","458","1.4%","14.3","988.0","1.4%","1.0","1.0","13.9"
"122","Ryquell Armstead","JAX","RB","2","31","110","28.2%","15","48","31.3%","11","67","16.4%","4","56","6.8%","14.1","126.4","11.2%","7.1","6.3","12.6"
"123","Michael Burton","KC","FB","16","86","1066","8.1%","8","418","1.9%","10","690","1.4%","3","573","0.5%","13.5","1331.9","1.0%","0.8","0.9","14.7"
"124","Reggie Gilliam","BUF","FB","15","147","1021","14.4%","3","422","0.7%","30","639","4.7%","5","523","0.9%","11.2","1263.4","0.9%","0.7","0.4","5.6"
"125","Deon Jackson","IND","RB","3","16","191","8.4%","13","120","10.8%","0","74","0.0%","0","63","0.0%","10.8","200.6","5.4%","3.6","3.0","9.1"
"126","Trayveon Williams","CIN","RB","4","31","255","12.2%","15","105","14.3%","7","157","4.5%","2","128","1.5%","10.4","281.9","3.7%","2.6","1.6","6.5"
"127","Gabe Nabers","LAC","FB","9","45","611","7.4%","3","250","1.2%","13","376","3.5%","3","327","0.9%","10.3","763.3","1.3%","1.1","0.6","5.5"
"128","Johnny Stanton","CLV","FB","3","14","180","7.8%","3","72","4.2%","4","113","3.5%","2","91","2.1%","9.5","202.2","4.7%","3.2","3.1","9.2"
"129","Andy Janovich","CLV","FB","13","85","817","10.4%","2","393","0.5%","18","448","4.0%","4","361","1.0%","9.4","913.0","1.0%","0.7","0.9","11.9"
"130","Patrick Laird","MIA","RB","6","50","405","12.3%","1","167","0.6%","34","244","13.9%","4","212","1.8%","9.2","492.5","1.9%","1.5","0.9","5.1"
