"Rank","Name","G","DB","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","RTE","TGT","REC","YDS","TD","Pa2PT","Ru2PT","2PT","FP/G","FP","PaFP","RuFP","RecFP"
"1","Tampa Bay Buccaneers","17","764","731","492","5383","43","12","385","1672","18","3429","696","492","5383","43","0","1","1","67.3","1144.5","375.3","277.2","1288.3"
"2","Dallas Cowboys","17","701","647","444","4963","40","11","473","2119","15","3067","621","444","4963","40","2","4","6","65.0","1105.4","351.5","309.9","1184.3"
"3","Los Angeles Chargers","17","741","674","443","5014","38","15","423","1834","18","3262","635","443","5014","38","6","1","7","63.9","1086.0","349.6","293.4","1184.4"
"4","Kansas City Chiefs","17","751","675","448","4937","37","13","431","1955","16","3413","617","448","4937","37","1","1","2","63.3","1076.0","334.5","293.5","1165.7"
"5","Buffalo Bills","17","729","655","415","4450","36","16","461","2209","20","3219","596","415","4450","36","2","1","3","62.8","1067.9","310.0","342.9","1080.0"
"6","Arizona Cardinals","17","662","591","415","4619","27","11","496","2076","23","2950","558","415","4619","27","0","0","0","61.3","1042.4","281.8","345.6","1038.9"
"7","Green Bay Packers","17","648","593","402","4526","39","7","446","1900","13","2574","560","402","4526","39","0","1","1","58.9","1002.0","330.0","270.0","1088.6"
"8","Baltimore Ravens","17","743","611","396","4267","21","18","517","2479","18","3333","569","396","4267","21","2","0","2","58.4","992.6","240.7","355.9","952.7"
"9","Los Angeles Rams","17","647","607","406","4893","41","18","420","1683","10","2878","584","406","4893","41","2","0","2","57.6","980.0","345.7","228.3","1145.3"
"10","Cincinnati Bengals","17","630","555","384","4806","36","14","436","1742","16","2838","524","384","4806","36","1","0","1","57.6","978.4","324.2","270.2","1082.6"
"11","New England Patriots","17","578","535","364","4098","24","13","489","2151","24","2553","510","364","4098","24","2","1","3","57.4","976.0","250.9","361.1","921.8"
"12","Tennessee Titans","17","601","535","359","3745","22","14","551","2404","23","2591","497","359","3745","22","1","1","2","56.8","965.2","225.8","380.4","867.5"
"13","San Francisco 49ers","17","565","514","343","4437","26","14","499","2166","22","2443","484","343","4437","26","1","1","2","56.7","963.1","269.5","350.6","944.7"
"14","Minnesota Vikings","17","650","604","398","4450","34","7","449","1930","10","2708","561","398","4450","34","0","1","1","56.5","960.0","307.0","255.0","1047.0"
"15","Indianapolis Colts","17","579","521","324","3588","27","8","499","2540","22","2571","484","324","3588","27","2","0","2","56.3","957.5","247.5","386.0","848.8"
"16","Philadelphia Eagles","17","579","494","307","3585","20","10","550","2715","25","2464","447","307","3585","20","3","2","5","56.0","951.9","219.4","425.5","791.5"
"17","Las Vegas Raiders","17","686","628","429","4808","23","14","414","1617","14","2989","589","429","4808","23","0","0","0","55.6","945.0","270.3","245.7","1047.8"
"18","Seattle Seahawks","17","568","495","324","3815","30","7","413","2074","18","2474","461","324","3815","30","1","0","2","53.5","909.0","267.6","315.4","887.5"
"19","Cleveland Browns","17","600","520","320","3619","21","14","485","2471","20","2655","483","320","3619","21","2","1","3","53.4","907.9","218.8","369.1","811.9"
"20","Detroit Lions","17","642","593","396","3884","23","14","427","1886","12","2867","553","396","3884","23","5","0","5","52.9","900.0","243.4","260.6","932.4"
"21","Pittsburgh Steelers","17","708","664","425","4017","23","11","411","1583","10","3101","637","425","4017","23","2","0","2","52.3","889.0","245.7","218.3","968.7"
"22","Denver Broncos","17","603","541","354","3856","20","9","455","2025","16","2739","502","354","3856","20","1","0","1","51.7","879.7","227.2","298.5","861.6"
"23","Miami Dolphins","17","687","615","404","3936","21","14","442","1568","12","2906","588","404","3936","21","2","0","2","50.8","864.2","231.4","228.8","927.6"
"24","Washington Football Team","17","635","550","356","3746","21","15","477","2061","13","2770","509","355","3748","21","0","2","2","50.7","861.9","218.8","288.1","855.8"
"25","New York Jets","17","676","603","357","3959","20","20","380","1667","14","2980","559","357","3959","20","2","2","4","49.1","834.1","222.4","254.7","876.9"
"26","Carolina Panthers","17","681","599","348","3573","14","21","455","1842","17","2946","549","348","3573","14","3","0","3","48.1","818.1","183.9","286.2","795.3"
"27","Atlanta Falcons","17","630","573","377","3987","20","15","393","1451","11","2743","532","377","3987","20","0","1","1","47.9","814.6","224.5","213.1","895.7"
"28","Chicago Bears","17","657","541","332","3635","16","20","475","2018","14","2892","502","332","3635","16","3","0","3","47.8","813.2","195.4","285.8","797.5"
"29","New Orleans Saints","17","579","504","293","3437","29","13","510","1991","12","2481","449","293","3437","29","0","0","0","47.3","804.6","240.5","271.1","810.7"
"30","Jacksonville Jaguars","17","668","604","361","3674","12","17","392","1755","13","2990","559","361","3674","12","2","0","2","46.9","796.5","182.0","253.5","804.4"
"31","Houston Texans","17","615","546","354","3630","21","15","420","1422","8","2660","503","354","3630","21","1","1","2","44.8","762.4","216.2","192.2","845.0"
"32","New York Giants","17","665","593","351","3463","15","20","419","1688","8","2866","543","351","3463","15","1","3","4","44.4","754.3","180.5","222.8","789.3"
