"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"1","Aaron Rodgers","QB","NYJ","9.6","28.6","10.5","28.9","18.2","26","24.3","24.8","-","36.6","28.8","19.8","24.9","27.9","6.1","14.7","24.4","22.1","354.1"
"2","Le'Veon Bell","RB","FA","28.7","13.2","16.7","13.9","14.3","12.5","24.5","17.8","14.3","10.9","29.2","-","35.4","44.5","26.4","13.7","13","20.6","329"
"3","Russell Wilson","QB","DEN","18.5","17.9","22.5","BYE","34.2","10.2","37.1","13.5","10.3","19.6","22.2","19.7","16.9","29.3","11.4","36.4","8.3","20.5","328.1"
"4","Antonio Brown","WR","FA","20.1","13.5","26","29.3","10.9","15.1","17.6","30.8","25.9","7.4","19.6","-","27.7","16.2","17.3","16.7","22.3","19.8","316.4"
"5","Ben Roethlisberger","QB","FA","17.4","6.7","15.9","22.4","12.7","11.8","16.9","44.8","35.7","13.7","10.5","-","26.2","27.9","14.2","12.4","17","19.1","306.2"
"6","Drew Brees","QB","FA","15.5","15.8","19.5","20.2","16.7","-","21","25","18.1","18.4","14.5","28.3","30.3","12","27.2","11.3","9.6","19","303.5"
"7","Matt Ryan","QB","FA","31.4","10","23.6","20.1","14.6","12.7","11.8","15.7","-","15.7","15.1","15.5","20.8","31.3","21.1","17.6","7","17.8","284.3"
"8","Marshawn Lynch","RB","FA","24.9","14.3","26.3","-","20.2","6.7","8.1","6.9","28.8","40.8","13","9.7","11.6","17.8","16.3","23.3","15.1","17.7","283.8"
"9","Ryan Tannehill","QB","TEN","12.9","12.7","13.1","20.6","-","18.7","23.9","14.6","28.2","10.3","17.3","26.6","8.7","13.7","15.9","29.3","12.4","17.4","279"
"10","Tom Brady","QB","FA","10.3","10","12.7","4.4","21","30.7","22.4","34.2","27.7","-","14.1","20","17.7","19.4","19.3","10.3","4.1","17.4","278.1"
"11","Philip Rivers","QB","FA","12.5","25.1","19.1","27.1","21.8","25.8","14.2","19.8","-2.2","-","11.6","13.5","27.2","10.4","9.6","24.2","5.8","16.6","265.6"
"12","Joe Flacco","QB","FA","16.5","14.9","11.3","25.4","7.4","32.2","14.7","5","18.3","10.6","-","13.9","23.3","24.4","13.6","10.3","20.6","16.4","262.4"
"13","Matthew Stafford","QB","LAR","30","14.4","4.6","26.5","12","11.5","16.1","19.9","-","17.1","5.3","10.4","21.6","24.2","10.3","5.9","21.6","15.7","251.6"
"14","Emmanuel Sanders","WR","FA","11.8","14.6","20.4","-","14.4","5.3","11.6","35.1","20.1","21.7","18.7","19.3","10.3","8.9","6.8","22","10.3","15.7","251.3"
"15","Odell Beckham Jr.","WR","BAL","-","-","-","-","12.4","3.8","18.7","-","19.6","15.4","12.3","31.4","12.9","25.4","36.3","30.8","30.5","20.8","249.5"
