"Rank","Name","Team","POS","G","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"11","Christian Kirk","JAX","WR","17","559","127","0.23","86.3%","1.98","129","23.1%","11.7%","33","0.26","19.9%","2.13","426","76.2%","44.0%","92","0.22","65.7%","1.92","1","0.2%","0.4%","0","0.00","0.2%","0.00","3","0.5%","0.8%","2","0.67","0.5%","3.33"
"12","Josh Palmer","LAC","WR","16","556","99","0.18","77.7%","1.38","407","73.2%","33.1%","72","0.18","56.8%","1.48","148","26.6%","14.8%","27","0.18","20.7%","1.11","1","0.2%","0.3%","0","0.00","0.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"13","DK Metcalf","SEA","WR","17","553","140","0.25","84.8%","1.90","459","83.0%","39.9%","119","0.26","70.4%","1.99","94","17.0%","10.2%","21","0.22","14.4%","1.45","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"14","Stefon Diggs","BUF","WR","16","551","151","0.27","83.7%","2.59","358","65.0%","30.1%","105","0.29","54.4%","2.79","193","35.0%","18.8%","46","0.24","29.3%","2.22","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"15","George Pickens","PIT","WR","17","549","84","0.15","85.6%","1.46","474","86.3%","40.2%","74","0.16","73.9%","1.47","74","13.5%","9.5%","10","0.14","11.5%","1.42","1","0.2%","0.2%","0","0.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"16","Terry McLaurin","WAS","WR","17","541","114","0.21","85.9%","2.20","425","78.6%","37.8%","86","0.20","67.5%","2.07","116","21.4%","11.5%","28","0.24","18.4%","2.68","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"17","CeeDee Lamb","DAL","WR","17","541","152","0.28","90.2%","2.51","195","36.0%","18.5%","68","0.35","32.5%","2.42","342","63.2%","39.5%","82","0.24","57.0%","2.54","0","0.0%","0.0%","0","0.00","0.0%","0.00","4","0.7%","1.1%","1","0.25","0.7%","0.75"
"18","Amari Cooper","CLV","WR","17","538","128","0.24","86.9%","2.16","398","74.0%","36.4%","92","0.23","64.3%","1.84","139","25.8%","15.8%","36","0.26","22.5%","3.06","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","0.2%","0.3%","0","0.00","0.2%","0.00"
"19","Chris Godwin","TB","WR","15","538","138","0.26","77.2%","1.90","146","27.1%","12.2%","45","0.31","20.9%","2.25","391","72.7%","38.6%","93","0.24","56.1%","1.76","1","0.2%","0.4%","0","0.00","0.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"20","K.J. Osborn","MIN","WR","17","537","86","0.16","73.3%","1.21","219","40.8%","17.1%","34","0.16","29.9%","0.78","317","59.0%","34.8%","52","0.16","43.2%","1.51","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","0.2%","0.2%","0","0.00","0.1%","0.00"
"21","Gabe Davis","BUF","WR","15","537","91","0.17","87.2%","1.56","494","92.0%","44.2%","85","0.17","80.2%","1.66","40","7.4%","4.1%","5","0.13","6.5%","0.15","3","0.6%","1.7%","1","0.33","0.5%","2.67","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"22","T.J. Hockenson","DET, MIN","TE","17","535","126","0.24","74.5%","1.71","94","17.6%","7.3%","22","0.23","13.1%","1.63","194","36.3%","20.4%","38","0.20","27.0%","1.79","247","46.2%","63.5%","66","0.27","34.4%","1.63","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"23","Donovan Peoples-Jones","CLV","WR","17","534","95","0.18","86.3%","1.57","372","69.7%","34.1%","69","0.19","60.1%","1.54","161","30.1%","18.4%","24","0.15","26.0%","1.47","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","0.2%","0.3%","1","1.00","0.2%","3.00"
"24","DeVonta Smith","PHI","WR","17","533","133","0.25","85.3%","2.24","396","74.3%","38.7%","89","0.22","63.4%","1.88","137","25.7%","15.1%","44","0.32","21.9%","3.39","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"25","Tyler Boyd","CIN","WR","16","523","79","0.15","76.8%","1.46","82","15.7%","6.5%","15","0.18","12.0%","0.90","441","84.3%","45.5%","64","0.15","64.8%","1.56","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"26","Tyreek Hill","MIA","WR","17","521","168","0.32","81.8%","3.28","282","54.1%","25.0%","101","0.36","44.3%","3.90","226","43.4%","23.7%","65","0.29","35.5%","2.63","5","1.0%","2.2%","1","0.20","0.8%","2.80","8","1.5%","2.0%","1","0.13","1.3%","0.00"
"27","Zay Jones","JAX","WR","16","516","117","0.23","83.1%","1.59","343","66.5%","32.5%","88","0.26","55.2%","1.93","172","33.3%","18.6%","29","0.17","27.7%","1.00","1","0.2%","0.4%","0","0.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"28","Tyler Lockett","SEA","WR","16","513","112","0.22","84.4%","2.01","292","56.9%","27.4%","58","0.20","48.0%","2.24","213","41.5%","25.3%","51","0.24","35.0%","1.72","4","0.8%","1.2%","1","0.25","0.7%","0.25","4","0.8%","1.1%","2","0.50","0.7%","2.75"
"29","Marquez Valdes-Scantling","KC","WR","17","510","78","0.15","70.5%","1.35","306","60.0%","24.5%","48","0.16","42.3%","1.09","201","39.4%","18.7%","30","0.15","27.8%","1.75","3","0.6%","0.9%","0","0.00","0.4%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"30","A.J. Brown","PHI","WR","17","508","136","0.27","81.3%","2.94","374","73.6%","36.5%","118","0.32","59.8%","3.52","133","26.2%","14.6%","17","0.13","21.3%","1.27","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","0.2%","0.3%","1","1.00","0.2%","11.00"
"31","Tee Higgins","CIN","WR","16","502","102","0.20","73.7%","2.05","403","80.3%","32.1%","86","0.21","59.2%","2.18","98","19.5%","10.1%","15","0.15","14.4%","1.52","1","0.2%","0.3%","1","1.00","0.1%","3.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"32","Jaylen Waddle","MIA","WR","17","500","117","0.23","78.5%","2.71","370","74.0%","32.8%","85","0.23","58.1%","2.59","123","24.6%","12.9%","31","0.25","19.3%","3.19","0","0.0%","0.0%","0","0.00","0.0%","0.00","7","1.4%","1.7%","1","0.14","1.1%","0.57"
"33","Courtland Sutton","DEN","WR","15","499","107","0.21","86.5%","1.66","438","87.8%","43.3%","93","0.21","75.9%","1.64","60","12.0%","7.4%","13","0.22","10.4%","1.85","1","0.2%","0.4%","1","1.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"34","Ja'Marr Chase","CIN","WR","12","496","127","0.26","94.7%","2.11","381","76.8%","39.5%","93","0.24","72.7%","2.18","110","22.2%","14.9%","32","0.29","21.0%","1.95","1","0.2%","0.4%","0","0.00","0.2%","0.00","4","0.8%","1.3%","2","0.50","0.8%","0.75"
"35","JuJu Smith-Schuster","KC","WR","16","484","99","0.20","70.7%","1.93","284","58.7%","24.0%","60","0.21","41.5%","1.92","200","41.3%","19.5%","39","0.20","29.2%","1.95","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"36","Brandon Aiyuk","SF","WR","17","479","113","0.24","86.2%","2.12","367","76.6%","37.6%","80","0.22","66.0%","1.90","112","23.4%","16.4%","33","0.29","20.1%","2.85","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"37","Evan Engram","JAX","TE","17","478","97","0.20","73.8%","1.60","114","23.8%","10.4%","24","0.21","17.6%","1.61","200","41.8%","20.7%","40","0.20","30.9%","1.10","161","33.7%","60.5%","33","0.20","24.8%","2.25","3","0.6%","0.8%","0","0.00","0.5%","0.00"
"38","Elijah Moore","NYJ","WR","16","474","61","0.13","72.3%","0.94","234","49.4%","20.1%","38","0.16","35.7%","1.22","239","50.4%","27.7%","23","0.10","36.4%","0.69","1","0.2%","0.2%","0","0.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"39","Curtis Samuel","WAS","WR","17","472","88","0.19","74.9%","1.39","128","27.1%","11.4%","31","0.24","20.3%","1.84","335","71.0%","33.3%","53","0.16","53.2%","1.19","2","0.4%","1.1%","1","0.50","0.3%","0.50","7","1.5%","1.8%","2","0.29","1.1%","2.71"
"40","Amon-Ra St. Brown","DET","WR","16","454","143","0.31","77.6%","2.56","184","40.5%","18.0%","59","0.32","31.5%","3.01","265","58.4%","33.2%","80","0.30","45.3%","2.22","1","0.2%","0.4%","0","0.00","0.2%","0.00","4","0.9%","1.1%","3","0.75","0.7%","4.25"
"41","DeAndre Carter","LAC","WR","17","452","64","0.14","58.5%","1.19","177","39.2%","13.3%","24","0.14","22.9%","0.97","270","59.7%","25.0%","38","0.14","34.9%","1.31","1","0.2%","0.3%","0","0.00","0.1%","0.00","4","0.9%","0.8%","2","0.50","0.5%","3.00"
"42","D.J. Moore","CAR","WR","17","447","109","0.24","87.3%","1.99","335","74.9%","39.6%","79","0.24","65.4%","2.16","111","24.8%","20.6%","29","0.26","21.7%","1.50","0","0.0%","0.0%","0","0.00","0.0%","0.00","1","0.2%","0.3%","0","0.00","0.2%","0.00"
"43","Marquise Brown","ARZ","WR","12","442","104","0.24","82.9%","1.60","287","64.9%","31.5%","63","0.22","53.8%","1.55","153","34.6%","19.5%","40","0.26","28.7%","1.67","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","0.5%","0.6%","1","0.50","0.4%","4.50"
"44","Marvin Jones","JAX","WR","16","440","80","0.18","70.9%","1.20","378","85.9%","35.7%","76","0.20","60.9%","1.24","62","14.1%","6.7%","4","0.06","10.0%","1.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"45","Alec Pierce","IND","WR","16","439","76","0.17","67.4%","1.35","409","93.2%","35.3%","75","0.18","62.8%","1.45","30","6.8%","3.1%","1","0.03","4.6%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"46","Mike Williams","LAC","WR","13","432","91","0.21","74.6%","2.07","365","84.5%","36.7%","81","0.22","63.0%","2.30","67","15.5%","8.6%","10","0.15","11.6%","0.85","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"47","Tyler Conklin","NYJ","TE","17","431","80","0.19","62.6%","1.28","43","10.0%","3.5%","4","0.09","6.3%","1.02","142","32.9%","15.7%","28","0.20","20.6%","1.44","244","56.6%","51.3%","48","0.20","35.5%","1.25","2","0.5%","0.6%","0","0.00","0.3%","0.00"
"48","Jerry Jeudy","DEN","WR","15","428","98","0.23","72.8%","2.27","196","45.8%","19.1%","42","0.21","33.3%","2.39","232","54.2%","28.8%","56","0.24","39.5%","2.17","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"49","Gerald Everett","LAC","TE","16","425","82","0.19","57.7%","1.31","63","14.8%","5.0%","10","0.16","8.6%","1.22","180","42.4%","17.5%","33","0.18","24.5%","1.16","181","42.6%","53.2%","39","0.22","24.6%","1.49","1","0.2%","0.2%","0","0.00","0.1%","0.00"
"50","Dawson Knox","BUF","TE","15","425","65","0.15","68.7%","1.22","56","13.2%","5.0%","12","0.21","9.0%","0.80","219","51.5%","22.5%","29","0.13","35.4%","1.17","117","27.5%","63.6%","20","0.17","18.9%","1.70","33","7.8%","8.2%","4","0.12","5.3%","0.48"
"51","Chris Olave","NO","WR","15","419","112","0.27","81.8%","2.49","275","65.6%","29.2%","74","0.27","53.7%","2.41","144","34.4%","20.1%","38","0.26","28.1%","2.63","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"52","Robert Woods","TEN","WR","17","418","83","0.20","79.0%","1.26","297","71.1%","32.4%","50","0.17","56.1%","1.05","115","27.5%","16.3%","31","0.27","21.7%","1.83","2","0.5%","0.8%","1","0.50","0.4%","0.00","4","1.0%","1.2%","1","0.25","0.8%","0.75"
"53","Noah Brown","DAL","WR","16","417","71","0.17","72.9%","1.33","237","56.8%","23.4%","43","0.18","41.4%","1.30","177","42.4%","21.4%","28","0.16","30.9%","1.39","2","0.5%","0.8%","0","0.00","0.3%","0.00","1","0.2%","0.3%","0","0.00","0.2%","0.00"
"54","Pat Freiermuth","PIT","TE","16","414","95","0.23","68.2%","1.77","24","5.8%","2.2%","6","0.25","4.0%","1.08","157","37.9%","21.3%","42","0.27","25.9%","2.30","233","56.3%","54.7%","47","0.20","38.4%","1.48","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"55","Mark Andrews","BLT","TE","15","412","106","0.26","83.4%","2.06","92","22.3%","10.6%","14","0.15","18.6%","1.29","272","66.0%","36.5%","75","0.28","55.1%","2.16","48","11.7%","20.0%","16","0.33","9.7%","2.79","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"56","Allen Lazard","GB","WR","15","410","97","0.24","77.1%","1.92","246","60.0%","29.0%","53","0.22","46.2%","1.76","152","37.1%","22.7%","42","0.28","28.6%","2.28","12","2.9%","4.7%","0","0.00","2.3%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"57","Cade Otton","TB","TE","16","409","63","0.15","55.9%","0.96","46","11.2%","3.7%","7","0.15","6.3%","0.54","211","51.6%","19.9%","35","0.17","28.8%","1.27","152","37.2%","59.1%","21","0.14","20.8%","0.65","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"58","Brandin Cooks","HST","WR","13","402","89","0.22","79.0%","1.74","301","74.9%","35.4%","65","0.22","59.1%","1.30","99","24.6%","15.5%","22","0.22","19.4%","2.98","1","0.2%","0.3%","1","1.00","0.2%","3.00","1","0.2%","0.3%","1","1.00","0.2%","11.00"
"59","Michael Gallup","DAL","WR","14","402","72","0.18","82.0%","1.05","373","92.8%","43.0%","67","0.18","76.1%","1.06","29","7.2%","4.1%","5","0.17","5.9%","0.93","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"60","Chase Claypool","CHI, PIT","WR","15","399","78","0.20","73.1%","1.13","154","38.6%","15.7%","30","0.19","28.2%","1.05","245","61.4%","36.2%","48","0.20","44.9%","1.21","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"61","Austin Ekeler","LAC","RB","17","398","123","0.31","51.5%","1.81","15","3.8%","1.1%","1","0.07","1.9%","0.00","41","10.3%","3.8%","10","0.24","5.3%","0.46","2","0.5%","0.6%","0","0.00","0.3%","0.00","340","85.4%","64.3%","111","0.33","44.0%","2.02"
"62","Tyler Higbee","LA","TE","17","395","102","0.26","64.4%","1.57","88","22.3%","8.4%","20","0.23","14.4%","1.23","59","14.9%","7.5%","13","0.22","9.6%","1.07","248","62.8%","81.6%","68","0.27","40.5%","1.78","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"63","Drake London","ATL","WR","17","393","115","0.29","80.2%","2.20","307","78.1%","36.4%","87","0.28","62.7%","2.04","86","21.9%","14.7%","28","0.33","17.6%","2.78","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"64","Chris Moore","HST","WR","16","393","73","0.19","64.1%","1.39","132","33.6%","13.1%","33","0.25","21.5%","1.82","256","65.1%","34.3%","38","0.15","41.8%","1.11","5","1.3%","1.3%","2","0.40","0.8%","4.60","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"65","Dalton Schultz","DAL","TE","15","388","86","0.22","73.1%","1.49","55","14.2%","5.9%","14","0.25","10.4%","1.85","172","44.3%","22.5%","31","0.18","32.4%","1.21","155","39.9%","64.3%","40","0.26","29.2%","1.72","6","1.5%","1.8%","1","0.17","1.1%","0.00"
"66","George Kittle","SF","TE","15","388","82","0.21","78.1%","1.97","45","11.6%","5.2%","5","0.11","9.1%","1.38","110","28.4%","18.3%","26","0.24","22.1%","1.95","227","58.5%","75.2%","50","0.22","45.7%","2.13","6","1.5%","1.7%","1","0.17","1.2%","0.83"
"67","David Njoku","CLV","TE","14","383","77","0.20","72.7%","1.64","44","11.5%","4.7%","11","0.25","8.3%","1.59","148","38.6%","19.9%","31","0.21","28.1%","1.86","191","49.9%","60.3%","35","0.18","36.2%","1.48","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"68","Jakobi Meyers","NE","WR","14","378","96","0.25","75.6%","2.13","114","30.2%","12.9%","38","0.33","22.8%","2.59","260","68.8%","38.5%","55","0.21","52.0%","1.83","0","0.0%","0.0%","0","0.00","0.0%","0.00","4","1.1%","1.2%","3","0.75","0.8%","8.25"
"69","Nick Westbrook-Ikhine","TEN","WR","17","377","46","0.12","71.3%","1.05","169","44.8%","18.4%","14","0.08","31.9%","0.64","208","55.2%","29.5%","32","0.15","39.3%","1.38","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"70","Corey Davis","NYJ","WR","13","375","59","0.16","68.6%","1.43","299","79.7%","30.8%","47","0.16","54.7%","1.48","72","19.2%","10.1%","12","0.17","13.2%","1.28","4","1.1%","1.0%","0","0.00","0.7%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"71","Leonard Fournette","TB","RB","16","370","79","0.21","50.6%","1.41","16","4.3%","1.3%","1","0.06","2.2%","0.00","5","1.4%","0.5%","2","0.40","0.7%","2.40","0","0.0%","0.0%","0","0.00","0.0%","0.00","349","94.3%","61.0%","76","0.22","47.7%","1.46"
"72","Hayden Hurst","CIN","TE","13","370","65","0.18","67.6%","1.12","74","20.0%","7.3%","13","0.18","13.5%","1.53","109","29.5%","13.7%","13","0.12","19.9%","0.79","184","49.7%","68.4%","38","0.21","33.6%","1.11","3","0.8%","0.9%","1","0.33","0.5%","3.33"
"73","Ben Skowronek","LA","WR","14","368","59","0.16","69.7%","1.02","184","50.0%","20.5%","33","0.18","34.8%","1.13","165","44.8%","23.8%","23","0.14","31.3%","0.70","4","1.1%","1.7%","0","0.00","0.8%","0.00","15","4.1%","4.8%","3","0.20","2.8%","3.53"
"74","Cole Kmet","CHI","TE","17","367","66","0.18","72.7%","1.48","51","13.9%","6.1%","8","0.16","10.1%","1.14","171","46.6%","25.4%","20","0.12","33.9%","1.08","142","38.7%","67.3%","37","0.26","28.1%","2.12","3","0.8%","1.1%","0","0.00","0.6%","0.00"
"75","Trent Sherfield","MIA","WR","17","366","49","0.13","57.5%","1.14","179","48.9%","15.9%","24","0.13","28.1%","1.39","185","50.5%","19.4%","24","0.13","29.0%","0.86","0","0.0%","0.0%","0","0.00","0.0%","0.00","2","0.5%","0.5%","1","0.50","0.3%","4.00"
"76","Darius Slayton","NYG","WR","16","366","70","0.19","61.0%","1.98","265","72.4%","25.2%","57","0.22","44.2%","2.14","99","27.0%","12.9%","12","0.12","16.5%","1.60","2","0.5%","0.6%","1","0.50","0.3%","-0.50","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"77","Hunter Henry","NE","TE","17","365","58","0.16","60.6%","1.39","44","12.1%","4.2%","7","0.16","7.3%","0.27","168","46.0%","20.8%","27","0.16","27.9%","1.58","143","39.2%","63.8%","22","0.15","23.8%","1.62","10","2.7%","2.5%","2","0.20","1.7%","0.00"
"78","Isaiah McKenzie","BUF","WR","15","362","64","0.18","58.5%","1.17","73","20.2%","6.5%","8","0.11","11.8%","0.41","289","79.8%","29.6%","56","0.19","46.7%","1.36","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"79","Christian McCaffrey","CAR, SF","RB","17","358","104","0.29","63.1%","2.07","25","7.0%","2.5%","10","0.40","4.4%","3.92","58","16.2%","8.7%","23","0.40","10.2%","2.84","4","1.1%","1.1%","1","0.25","0.7%","1.50","271","75.7%","66.4%","70","0.26","47.8%","1.74"
"80","Josh Reynolds","DET","WR","14","354","56","0.16","65.0%","1.35","231","65.3%","24.1%","40","0.17","42.4%","1.60","123","34.7%","16.3%","16","0.13","22.6%","0.89","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"81","Quez Watkins","PHI","WR","17","352","49","0.14","56.3%","1.01","92","26.1%","9.0%","20","0.22","14.7%","2.28","259","73.6%","28.5%","29","0.11","41.4%","0.56","1","0.3%","0.4%","0","0.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"82","Deebo Samuel","SF","WR","13","351","91","0.26","80.1%","1.80","215","61.3%","28.0%","53","0.25","49.1%","1.62","94","26.8%","17.1%","22","0.23","21.5%","1.74","1","0.3%","0.4%","1","1.00","0.2%","6.00","41","11.7%","13.5%","15","0.37","9.4%","2.78"
"83","Juwan Johnson","NO","TE","16","346","61","0.18","65.0%","1.47","56","16.2%","5.7%","9","0.16","10.5%","0.98","184","53.2%","24.7%","37","0.20","34.6%","1.91","105","30.3%","44.3%","15","0.14","19.7%","0.96","1","0.3%","0.3%","0","0.00","0.2%","0.00"
"84","Demarcus Robinson","BLT","WR","17","344","74","0.22","60.7%","1.33","315","91.6%","32.0%","68","0.22","55.6%","1.43","29","8.4%","3.4%","6","0.21","5.1%","0.21","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"85","Jahan Dotson","WAS","WR","12","344","59","0.17","75.6%","1.52","256","74.4%","31.5%","47","0.18","56.3%","1.64","88","25.6%","12.0%","12","0.14","19.3%","1.17","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"86","Dalvin Cook","MIN","RB","17","342","52","0.15","46.7%","0.86","32","9.4%","2.5%","6","0.19","4.4%","3.38","6","1.8%","0.7%","0","0.00","0.8%","0.00","39","11.4%","9.0%","5","0.13","5.3%","0.51","265","77.5%","63.9%","41","0.15","36.2%","0.63"
"87","Logan Thomas","WAS","TE","14","338","57","0.17","64.1%","0.96","41","12.1%","4.4%","4","0.10","7.8%","0.49","222","65.7%","26.3%","35","0.16","42.1%","1.00","74","21.9%","51.0%","18","0.24","14.0%","1.08","1","0.3%","0.3%","0","0.00","0.2%","0.00"
"88","Dallas Goedert","PHI","TE","12","335","68","0.20","76.3%","2.10","39","11.6%","5.5%","9","0.23","8.9%","2.05","167","49.9%","27.4%","21","0.13","38.0%","1.20","127","37.9%","61.7%","38","0.30","28.9%","3.32","2","0.6%","0.9%","0","0.00","0.5%","0.00"
"89","Mike Gesicki","MIA","TE","17","335","50","0.15","52.6%","1.08","77","23.0%","6.8%","8","0.10","12.1%","0.65","172","51.3%","18.0%","24","0.14","27.0%","0.97","84","25.1%","37.0%","18","0.21","13.2%","1.74","2","0.6%","0.5%","0","0.00","0.3%","0.00"
"90","Devin Duvernay","BLT","WR","14","332","48","0.14","69.7%","1.23","223","67.2%","26.8%","32","0.14","46.8%","1.46","108","32.5%","14.9%","16","0.15","22.7%","0.75","1","0.3%","0.4%","0","0.00","0.2%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"91","Noah Fant","SEA","TE","17","329","63","0.19","50.5%","1.48","52","15.8%","4.5%","10","0.19","8.0%","0.87","147","44.7%","16.0%","21","0.14","22.5%","0.89","114","34.7%","32.0%","31","0.27","17.5%","2.60","16","4.9%","4.1%","1","0.06","2.5%","0.88"
"92","DeAndre Hopkins","ARZ","WR","9","327","92","0.28","83.6%","2.19","242","74.0%","35.6%","73","0.30","61.9%","2.28","85","26.0%","15.3%","18","0.21","21.7%","1.94","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
