"Rank","Name","Team","POS","G","RTE","TGT","TPRR","RTE %","YPRR","RTE","WIDE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","SLOT RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","INLINE RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR","RTE","BACK RTE %","TM RTE %","TGT","TPRR","RTE %","YPRR"
"1","Justin Jefferson","MIN","WR","17","654","179","0.27","89.2%","2.77","456","69.7%","35.5%","120","0.26","62.2%","2.39","193","29.5%","21.2%","55","0.28","26.3%","3.68","0","0.0%","0.0%","0","0.00","0.0%","0.00","5","0.8%","1.2%","3","0.60","0.7%","1.40"
"2","Adam Thielen","MIN","WR","17","614","103","0.17","83.8%","1.17","406","66.1%","31.6%","69","0.17","55.4%","1.27","207","33.7%","22.7%","34","0.16","28.2%","0.96","1","0.2%","0.2%","0","0.00","0.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"3","Diontae Johnson","PIT","WR","17","598","140","0.23","93.3%","1.47","520","87.0%","44.1%","115","0.22","81.1%","1.42","78","13.0%","10.0%","25","0.32","12.2%","1.82","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"4","Michael Pittman","IND","WR","16","598","141","0.24","91.9%","1.55","440","73.6%","38.0%","100","0.23","67.6%","1.36","158","26.4%","16.5%","41","0.26","24.3%","2.08","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"5","Davante Adams","LV","WR","17","596","169","0.28","92.3%","2.54","417","70.0%","34.7%","125","0.30","64.6%","2.49","176","29.5%","18.5%","41","0.23","27.2%","2.62","0","0.0%","0.0%","0","0.00","0.0%","0.00","3","0.5%","0.6%","2","0.67","0.5%","1.33"
"6","Garrett Wilson","NYJ","WR","17","575","141","0.25","83.6%","1.92","364","63.3%","29.8%","93","0.26","52.9%","1.90","205","35.7%","22.7%","47","0.23","29.8%","2.01","6","1.0%","1.3%","1","0.17","0.9%","-0.17","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"7","Mack Hollins","LV","WR","17","570","89","0.16","88.2%","1.21","493","86.5%","41.0%","75","0.15","76.3%","1.17","77","13.5%","8.1%","14","0.18","11.9%","1.45","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"8","Parris Campbell","IND","WR","17","569","86","0.15","82.9%","1.09","107","18.8%","8.7%","21","0.20","15.6%","1.50","461","81.0%","45.2%","65","0.14","67.2%","1.00","1","0.2%","0.3%","0","0.00","0.1%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"9","Mike Evans","TB","WR","15","564","123","0.22","80.8%","1.99","416","73.8%","34.7%","93","0.22","59.6%","2.01","148","26.2%","14.5%","30","0.20","21.2%","1.93","0","0.0%","0.0%","0","0.00","0.0%","0.00","0","0.0%","0.0%","0","0.00","0.0%","0.00"
"10","Travis Kelce","KC","TE","17","561","147","0.26","77.6%","2.39","167","29.8%","13.3%","47","0.28","23.1%","2.60","267","47.6%","24.8%","67","0.25","36.9%","2.52","125","22.3%","39.4%","32","0.26","17.3%","1.64","2","0.4%","0.4%","1","0.50","0.3%","12.50"
