"Rank","Name","Team","POS","G","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G"
"116","Javonte Williams","DEN","RB","4","47","204","0","152","9","3","60","21","16","76","0","121","47","5","0","63","280","0","14","199","4.34","3.23","0.19","6.4%","1.27","3.62","7.56","2.94","0.31","0.0%","4.44","0.22","3.16","4.8%","51.0","19.0","70.0","10.8","43.0","62.3","15.6"
"117","Dare Ogunbowale","HST","RB","15","42","123","1","98","1","0","81","22","20","104","0","129","37","5","1","62","227","1","6","135","2.93","2.33","0.02","0.0%","1.28","4.73","6.45","1.85","0.25","5.0%","3.66","0.10","2.18","1.6%","8.2","6.9","15.1","3.2","48.7","61.6","4.1"
"118","Allen Lazard","GB","WR","15","2","0","0","2","0","0","410","97","60","788","6","279","110","3","13","62","788","6","3","112","-","1.00","0.00","0.0%","1.92","8.12","4.65","1.83","0.05","21.7%","12.71","0.05","1.81","21.0%","0.0","52.5","52.5","11.7","174.8","178.6","11.9"
"119","Donovan Peoples-Jones","CLV","WR","17","1","2","0","3","0","0","534","95","61","839","3","193","52","2","14","62","841","3","2","55","2.00","3.00","0.00","0.0%","1.57","8.83","3.16","0.85","0.03","23.0%","13.56","0.03","0.89","22.6%","0.1","49.4","49.5","9.5","162.1","185.2","10.9"
"120","Rashaad Penny","SEA","RB","5","57","346","2","249","16","6","53","5","4","16","0","28","14","1","0","61","362","2","17","263","6.07","4.37","0.28","10.5%","0.30","3.20","7.00","3.50","0.25","0.0%","5.93","0.28","4.31","9.8%","69.2","3.2","72.4","10.4","52.2","37.2","7.4"
"121","Justice Hill","BLT","RB","15","49","262","0","165","16","1","110","12","12","58","0","83","17","0","0","61","320","0","16","182","5.35","3.37","0.33","2.0%","0.53","4.83","6.92","1.42","0.00","0.0%","5.25","0.26","2.98","1.6%","17.5","3.9","21.3","2.9","43.0","45.2","3.0"
"122","Mack Hollins","LV","WR","17","4","40","0","4","2","2","570","89","57","690","4","199","59","3","9","61","730","4","5","63","10.00","1.00","0.50","50.0%","1.21","7.75","3.49","1.04","0.05","15.8%","11.97","0.08","1.03","18.0%","2.4","40.6","42.9","9.1","154.2","170.8","10.0"
"123","Tyler Conklin","NYJ","TE","17","2","3","0","2","0","0","431","80","58","552","3","287","116","4","6","60","555","3","4","118","1.50","1.00","0.00","0.0%","1.28","6.90","4.95","2.00","0.07","10.3%","9.25","0.07","1.97","10.0%","0.2","32.5","32.6","7.7","131.5","131.1","7.7"
"124","David Njoku","CLV","TE","14","2","-8","0","6","0","0","383","77","58","628","4","342","150","8","8","60","620","4","8","156","-4.00","3.00","0.00","0.0%","1.64","8.16","5.90","2.59","0.14","13.8%","10.33","0.13","2.60","13.3%","-0.6","44.9","44.3","10.2","143.0","144.3","10.3"
"125","George Kittle","SF","TE","15","0","0","0","-","0","0","388","82","60","765","11","397","172","8","12","60","765","11","8","172","-","-","0.00","0.0%","1.97","9.33","6.62","2.87","0.13","20.0%","12.75","0.13","2.87","20.0%","0.0","51.0","51.0","13.4","201.5","157.5","10.5"
"126","Brandin Cooks","HST","WR","13","2","7","0","3","0","0","402","89","57","699","3","216","30","2","13","59","706","3","2","33","3.50","1.50","0.00","0.0%","1.74","7.85","3.79","0.53","0.04","22.8%","11.97","0.03","0.56","22.0%","0.5","53.8","54.3","11.2","145.6","172.1","13.2"
"127","Greg Dortch","ARZ","WR","16","7","44","0","19","1","1","314","64","52","467","2","318","151","9","5","59","511","2","10","170","6.29","2.71","0.14","14.3%","1.49","7.30","6.12","2.90","0.17","9.6%","8.66","0.17","2.88","10.2%","2.8","29.2","31.9","7.1","114.1","110.4","6.9"
"128","Richie James","NYG","WR","16","2","6","0","12","2","0","315","68","57","569","4","192","75","5","3","59","575","4","7","87","3.00","6.00","1.00","0.0%","1.81","8.37","3.37","1.32","0.09","5.3%","9.75","0.12","1.47","5.1%","0.4","35.6","35.9","8.5","135.5","116.0","7.2"
"129","Gerald Everett","LAC","TE","16","1","0","0","1","0","0","425","82","58","555","4","338","145","14","4","59","555","4","14","146","-","1.00","0.00","0.0%","1.31","6.77","5.83","2.50","0.24","6.9%","9.41","0.24","2.47","6.8%","0.0","34.7","34.7","8.7","139.5","139.7","8.7"
"130","Boston Scott","PHI","RB","15","54","217","3","144","14","3","65","6","5","15","0","11","12","0","0","59","232","3","14","156","4.02","2.67","0.26","5.6%","0.23","2.50","2.20","2.40","0.00","0.0%","3.93","0.24","2.64","5.1%","14.5","1.0","15.5","3.1","46.2","45.5","3.0"
"131","Tyler Boyd","CIN","WR","16","0","0","0","-","0","0","523","79","58","762","5","251","129","4","10","58","762","5","4","129","-","-","0.00","0.0%","1.46","9.65","4.33","2.22","0.07","17.2%","13.14","0.07","2.22","17.2%","0.0","47.6","47.6","10.4","167.1","145.3","9.1"
"132","Dalton Schultz","DAL","TE","15","0","0","0","-","0","0","388","86","57","577","5","206","91","5","5","57","577","5","5","91","-","-","0.00","0.0%","1.49","6.71","3.61","1.60","0.09","8.8%","10.12","0.09","1.60","8.8%","0.0","38.5","38.5","9.6","143.7","153.5","10.2"
"133","Chase Claypool","PIT, CHI","WR","15","9","59","0","27","2","1","399","78","46","451","1","155","92","4","7","56","510","1","6","119","6.56","3.00","0.22","11.1%","1.13","5.78","3.37","2.00","0.09","15.2%","9.11","0.11","2.13","14.3%","3.9","30.1","34.0","7.1","106.0","147.3","9.8"
"134","Dallas Goedert","PHI","TE","12","0","0","0","-","0","0","335","68","55","702","3","432","135","6","11","55","702","3","6","135","-","-","0.00","0.0%","2.10","10.32","7.85","2.45","0.11","20.0%","12.76","0.11","2.45","20.0%","0.0","58.5","58.5","11.9","142.2","118.2","9.8"
"135","George Pickens","PIT","WR","17","3","24","1","4","0","1","549","84","52","801","4","120","66","7","17","55","825","5","7","70","8.00","1.33","0.00","33.3%","1.46","9.54","2.31","1.27","0.13","32.7%","15.00","0.13","1.27","32.7%","1.4","47.1","48.5","9.8","166.5","184.3","10.8"
"136","Justin Jackson","DET","RB","15","42","170","1","117","3","2","86","18","12","101","1","110","42","3","0","54","271","2","6","159","4.05","2.79","0.07","4.8%","1.17","5.61","9.17","3.50","0.25","0.0%","5.02","0.11","2.94","3.7%","11.3","6.7","18.1","3.4","51.1","57.8","3.9"
"137","Kalif Raymond","DET","WR","17","7","36","0","27","5","0","294","62","47","616","0","223","65","2","10","54","652","0","7","92","5.14","3.86","0.71","0.0%","2.10","9.94","4.74","1.38","0.04","21.3%","12.07","0.13","1.70","18.5%","2.1","36.2","38.4","6.5","111.2","110.1","6.5"
"138","Nyheim Hines","IND, BUF","RB","16","24","33","1","40","1","0","125","37","30","241","1","198","78","6","2","54","274","2","7","118","1.38","1.67","0.04","0.0%","1.93","6.51","6.60","2.60","0.20","6.7%","5.07","0.13","2.19","3.7%","2.1","15.1","17.1","4.3","69.4","74.0","4.6"
"139","Robert Woods","TEN","WR","17","0","0","0","-","0","0","418","83","53","527","2","173","58","1","3","53","527","2","1","58","-","-","0.00","0.0%","1.26","6.35","3.26","1.09","0.02","5.7%","9.94","0.02","1.09","5.7%","0.0","31.0","31.0","6.9","116.7","136.6","8.0"
"140","Robert Tonyan","GB","TE","17","0","0","0","-","0","0","313","64","53","470","2","249","62","4","6","53","470","2","4","62","-","-","0.00","0.0%","1.50","7.34","4.70","1.17","0.08","11.3%","8.87","0.08","1.17","11.3%","0.0","27.6","27.6","6.6","112.0","112.7","6.6"
"141","DeeJay Dallas","SEA","RB","15","35","186","0","104","4","3","106","19","17","126","0","133","32","1","1","52","312","0","5","136","5.31","2.97","0.11","8.6%","1.19","6.63","7.82","1.88","0.06","5.9%","6.00","0.10","2.62","7.7%","12.4","8.4","20.8","3.1","47.2","48.0","3.2"
"142","Cole Kmet","CHI","TE","17","2","9","0","1","0","0","367","66","50","544","7","302","128","9","6","52","553","7","9","129","4.50","0.50","0.00","0.0%","1.48","8.24","6.04","2.56","0.18","12.0%","10.63","0.17","2.48","11.5%","0.5","32.0","32.5","8.7","147.3","111.7","6.6"
"143","Hayden Hurst","CIN","TE","13","0","0","0","-","0","0","370","65","52","414","2","189","82","6","4","52","414","2","6","82","-","-","0.00","0.0%","1.12","6.37","3.63","1.58","0.12","7.7%","7.96","0.12","1.58","7.7%","0.0","31.8","31.8","8.1","105.4","114.4","8.8"
"144","Isaiah McKenzie","BUF","WR","15","9","55","1","15","4","1","362","64","42","423","4","134","43","7","4","51","478","5","11","58","6.11","1.67","0.44","11.1%","1.17","6.61","3.19","1.02","0.17","9.5%","9.37","0.22","1.14","9.8%","3.7","28.2","31.9","8.0","119.8","121.9","8.1"
"145","Chris Moore","HST","WR","16","3","3","0","3","0","0","393","73","48","548","2","268","150","13","9","51","551","2","13","153","1.00","1.00","0.00","0.0%","1.39","7.51","5.58","3.13","0.27","18.8%","10.80","0.25","3.00","17.6%","0.2","34.3","34.4","7.2","115.1","137.6","8.6"
"146","Russell Gage","TB","WR","13","0","0","0","-","0","0","322","70","51","426","5","183","85","4","3","51","426","5","4","85","-","-","0.00","0.0%","1.32","6.09","3.59","1.67","0.08","5.9%","8.35","0.08","1.67","5.9%","0.0","32.8","32.8","9.6","124.6","127.6","9.8"
"147","Noah Fant","SEA","TE","17","0","0","0","-","0","0","329","63","50","486","4","229","56","1","4","50","486","4","1","56","-","-","0.00","0.0%","1.48","7.71","4.58","1.12","0.02","8.0%","9.72","0.02","1.12","8.0%","0.0","28.6","28.6","7.2","122.6","114.2","6.7"
"148","Devin Duvernay","BLT","WR","14","12","84","1","29","3","2","332","48","37","407","3","169","49","1","6","49","491","4","4","78","7.00","2.42","0.25","16.7%","1.23","8.48","4.57","1.32","0.03","16.2%","10.02","0.08","1.59","16.3%","6.0","29.1","35.1","7.9","110.1","100.0","7.1"
"149","J.D. McKissic","WAS","RB","8","22","95","0","62","4","2","147","40","27","173","0","159","24","3","0","49","268","0","7","86","4.32","2.82","0.18","9.1%","1.18","4.33","5.89","0.89","0.11","0.0%","5.47","0.14","1.76","4.1%","11.9","21.6","33.5","7.0","55.8","76.7","9.6"
"150","Demarcus Robinson","BLT","WR","17","0","0","0","-","0","0","344","74","48","458","2","156","78","7","4","48","458","2","7","78","-","-","0.00","0.0%","1.33","6.19","3.25","1.63","0.15","8.3%","9.54","0.15","1.63","8.3%","0.0","26.9","26.9","6.2","104.8","127.2","7.5"
"151","Elijah Mitchell","SF","RB","5","45","279","2","129","14","3","20","3","3","7","0","18","8","1","0","48","286","2","15","137","6.20","2.87","0.31","6.7%","0.35","2.33","6.00","2.67","0.33","0.0%","5.96","0.31","2.85","6.3%","55.8","1.4","57.2","8.7","43.6","35.7","7.1"
"152","Christian Watson","GB","WR","14","7","80","2","9","1","2","243","65","41","611","7","279","76","6","8","48","691","9","7","85","11.43","1.29","0.14","28.6%","2.51","9.40","6.80","1.85","0.15","19.5%","14.40","0.15","1.77","20.8%","5.7","43.6","49.4","11.7","164.1","132.5","9.5"
"153","DeAndre Carter","LAC","WR","17","2","-15","0","-","0","0","452","64","46","538","3","208","88","3","10","48","523","3","3","88","-7.50","-","0.00","0.0%","1.19","8.41","4.52","1.91","0.07","21.7%","10.90","0.06","1.83","20.8%","-0.9","31.6","30.8","6.7","114.3","115.6","6.8"
"154","Dawson Knox","BUF","TE","15","0","0","0","-","0","0","425","65","48","517","6","214","80","4","8","48","517","6","4","80","-","-","0.00","0.0%","1.22","7.95","4.46","1.67","0.08","16.7%","10.77","0.08","1.67","16.7%","0.0","34.5","34.5","9.0","135.7","122.9","8.2"
"155","Gabe Davis","BUF","WR","15","0","0","0","-","0","0","537","91","48","836","7","148","35","3","11","48","836","7","3","35","-","-","0.00","0.0%","1.56","9.19","3.08","0.73","0.06","22.9%","17.42","0.06","0.73","22.9%","0.0","55.7","55.7","11.5","172.6","189.7","12.6"
"156","Royce Freeman","HST","RB","4","41","117","0","102","2","0","29","7","6","33","0","39","7","0","0","47","150","0","2","109","2.85","2.49","0.05","0.0%","1.14","4.71","6.50","1.17","0.00","0.0%","3.19","0.04","2.32","0.0%","29.3","8.3","37.5","5.0","20.0","33.2","8.3"
"157","Rondale Moore","ARZ","WR","8","6","-5","0","7","0","0","253","55","41","414","1","289","118","7","6","47","409","1","7","125","-0.83","1.17","0.00","0.0%","1.64","7.53","7.05","2.88","0.17","14.6%","8.70","0.15","2.66","12.8%","-0.6","51.8","51.1","11.0","87.9","96.8","12.1"
"158","Zach Ertz","ARZ","TE","10","0","0","0","-","0","0","322","65","47","406","4","143","60","2","2","47","406","4","2","60","-","-","0.00","0.0%","1.26","6.25","3.04","1.28","0.04","4.3%","8.64","0.04","1.28","4.3%","0.0","40.6","40.6","11.6","115.6","118.6","11.9"
"159","Darius Slayton","NYG","WR","16","0","0","0","-","0","0","366","70","46","724","2","266","136","5","12","46","724","2","5","136","-","-","0.00","0.0%","1.98","10.34","5.78","2.96","0.11","26.1%","15.74","0.11","2.96","26.1%","0.0","45.3","45.3","8.1","129.4","130.9","8.2"
"160","Marvin Jones","JAX","WR","16","0","0","0","-","0","0","440","80","46","529","3","105","40","1","6","46","529","3","1","40","-","-","0.00","0.0%","1.20","6.61","2.28","0.87","0.02","13.0%","11.50","0.02","0.87","13.0%","0.0","33.1","33.1","7.3","116.9","157.5","9.8"
"161","Sony Michel","LAC","RB","10","36","106","0","89","5","0","56","14","9","53","0","50","17","1","0","45","159","0","6","106","2.94","2.47","0.14","0.0%","0.95","3.79","5.56","1.89","0.11","0.0%","3.53","0.13","2.36","0.0%","10.6","5.3","15.9","2.5","24.9","42.0","4.2"
"162","Kyren Williams","LA","RB","8","35","139","0","72","4","1","73","11","9","76","0","85","29","2","0","44","215","0","6","101","3.97","2.06","0.11","2.9%","1.04","6.91","9.44","3.22","0.22","0.0%","4.89","0.14","2.30","2.3%","17.4","9.5","26.9","3.8","30.5","32.8","4.1"
"163","Malik Davis","DAL","RB","7","38","161","1","83","6","3","25","6","6","63","0","68","21","3","0","44","224","1","9","104","4.24","2.18","0.16","7.9%","2.52","10.50","11.33","3.50","0.50","0.0%","5.09","0.20","2.36","6.8%","23.0","9.0","32.0","4.9","34.4","28.6","4.1"
"164","Jonathan Williams","WAS","RB","9","37","152","0","114","13","2","49","10","7","40","0","42","8","0","1","44","192","0","13","122","4.11","3.08","0.35","5.4%","0.82","4.00","6.00","1.14","0.00","14.3%","4.36","0.30","2.77","6.8%","16.9","4.4","21.3","2.9","26.2","36.2","4.0"
"165","Marquez Valdes-Scantling","KC","WR","17","1","-3","0","5","1","0","510","78","42","687","2","135","38","2","13","43","684","2","3","43","-3.00","5.00","1.00","0.0%","1.35","8.81","3.21","0.90","0.05","31.0%","15.91","0.07","1.00","30.2%","-0.2","40.4","40.2","7.2","122.4","152.9","9.0"
"166","Noah Brown","DAL","WR","16","0","0","0","-","0","0","417","71","43","555","3","133","65","5","6","43","555","3","5","65","-","-","0.00","0.0%","1.33","7.82","3.09","1.51","0.12","14.0%","12.91","0.12","1.51","14.0%","0.0","34.7","34.7","7.2","115.5","133.7","8.4"
"167","Elijah Moore","NYJ","WR","16","5","5","0","15","5","0","474","61","37","446","1","99","45","12","8","43","451","1","17","60","1.00","3.00","1.00","0.0%","0.94","7.31","2.68","1.22","0.32","21.6%","10.49","0.40","1.40","18.6%","0.3","27.9","28.2","5.5","88.1","117.2","7.3"
"168","Jordan Mason","SF","RB","12","43","258","1","191","14","3","10","0","0","0","0","0","-","0","0","43","258","1","14","191","6.00","4.44","0.33","7.0%","0.00","-","0.00","-","0.00","0.0%","6.00","0.33","4.44","7.0%","21.5","0.0","21.5","2.7","31.8","25.4","2.1"
"169","Dontrell Hilliard","TEN","RB","12","22","145","0","56","4","2","128","26","21","177","4","157","19","1","3","43","322","4","5","75","6.59","2.55","0.18","9.1%","1.38","6.81","7.48","0.90","0.05","14.3%","7.49","0.12","1.74","11.6%","12.1","14.8","26.8","6.4","77.2","58.4","4.9"
"170","Romeo Doubs","GB","WR","13","1","11","0","1","1","0","265","66","42","425","3","199","61","1","7","43","436","3","2","62","11.00","1.00","1.00","0.0%","1.60","6.44","4.74","1.45","0.02","16.7%","10.14","0.05","1.44","16.3%","0.8","32.7","33.5","7.9","102.6","120.4","9.3"
"171","Olamide Zaccheaus","ATL","WR","17","2","7","0","15","1","0","326","61","40","533","3","195","70","6","9","42","540","3","7","85","3.50","7.50","0.50","0.0%","1.63","8.74","4.88","1.75","0.15","22.5%","12.86","0.17","2.02","21.4%","0.4","31.4","31.8","6.5","111.0","115.3","6.8"
"172","Ty Johnson","NYJ","RB","13","30","160","1","112","13","3","94","22","12","88","0","75","21","2","0","42","248","1","15","133","5.33","3.73","0.43","10.0%","0.94","4.00","6.25","1.75","0.17","0.0%","5.90","0.36","3.17","7.1%","12.3","6.8","19.1","3.3","42.8","48.4","3.7"
"173","Cade Otton","TB","TE","16","0","0","0","-","0","0","409","63","42","391","2","189","93","3","4","42","391","2","3","93","-","-","0.00","0.0%","0.96","6.21","4.50","2.21","0.07","9.5%","9.31","0.07","2.21","9.5%","0.0","24.4","24.4","5.8","93.1","119.0","7.4"
"174","Juwan Johnson","NO","TE","16","0","0","0","-","0","0","346","61","42","508","7","167","82","8","8","42","508","7","8","82","-","-","0.00","0.0%","1.47","8.33","3.98","1.95","0.19","19.0%","12.10","0.19","1.95","19.0%","0.0","31.8","31.8","8.4","134.8","108.8","6.8"
"175","Alec Pierce","IND","WR","16","0","0","0","-","0","0","439","76","41","593","2","113","48","2","8","41","593","2","2","48","-","-","0.00","0.0%","1.35","7.80","2.76","1.17","0.05","19.5%","14.46","0.05","1.17","19.5%","0.0","37.1","37.1","7.0","112.3","135.0","8.4"
"176","Darnell Mooney","CHI","WR","12","1","2","0","1","1","0","280","59","40","493","2","172","58","4","7","41","495","2","5","59","2.00","1.00","1.00","0.0%","1.76","8.36","4.30","1.45","0.10","17.5%","12.07","0.12","1.44","17.1%","0.2","41.1","41.3","8.5","101.5","111.9","9.3"
"177","Kendrick Bourne","NE","WR","16","6","39","0","28","2","2","258","46","35","434","1","149","70","3","6","41","473","1","5","98","6.50","4.67","0.33","33.3%","1.68","9.43","4.26","2.00","0.09","17.1%","11.54","0.12","2.39","19.5%","2.4","27.1","29.6","5.5","88.3","87.9","5.5"
"178","Brandon Powell","LA","WR","17","17","80","0","53","2","3","132","31","24","156","0","187","25","0","0","41","236","0","2","78","4.71","3.12","0.12","17.6%","1.18","5.03","7.79","1.04","0.00","0.0%","5.76","0.05","1.90","7.3%","4.7","9.2","13.9","2.8","47.6","60.7","3.6"
"179","Hunter Henry","NE","TE","17","0","0","0","-","0","0","365","58","41","509","2","218","86","3","10","41","509","2","3","86","-","-","0.00","0.0%","1.39","8.78","5.32","2.10","0.07","24.4%","12.41","0.07","2.10","24.4%","0.0","29.9","29.9","6.1","103.9","97.8","5.8"
"180","Austin Hooper","TEN","TE","17","0","0","0","-","0","0","295","56","41","444","2","143","57","1","2","41","444","2","1","57","-","-","0.00","0.0%","1.51","7.93","3.49","1.39","0.02","4.9%","10.83","0.02","1.39","4.9%","0.0","26.1","26.1","5.7","97.4","90.7","5.3"
"181","Ben Skowronek","LA","WR","14","1","17","1","-","0","1","368","59","39","376","0","148","37","2","5","40","393","1","2","37","17.00","-","0.00","100.0%","1.02","6.37","3.79","0.95","0.05","12.8%","9.83","0.05","0.93","15.0%","1.2","26.9","28.1","6.0","84.3","99.6","7.1"
"182","Logan Thomas","WAS","TE","14","0","0","0","-","0","0","338","57","39","323","1","131","47","0","2","39","323","1","0","47","-","-","0.00","0.0%","0.96","5.67","3.36","1.21","0.00","5.1%","8.28","0.00","1.21","5.1%","0.0","23.1","23.1","5.5","77.3","100.0","7.1"
"183","Michael Gallup","DAL","WR","14","0","0","0","-","0","0","402","72","39","424","4","114","60","1","4","39","424","4","1","60","-","-","0.00","0.0%","1.05","5.89","2.92","1.54","0.03","10.3%","10.87","0.03","1.54","10.3%","0.0","30.3","30.3","7.5","105.4","132.8","9.5"
"184","Josh Reynolds","DET","WR","14","0","0","0","-","0","0","354","56","38","479","3","114","68","3","8","38","479","3","3","68","-","-","0.00","0.0%","1.35","8.55","3.00","1.79","0.08","21.1%","12.61","0.08","1.79","21.1%","0.0","34.2","34.2","7.4","103.9","115.2","8.2"
"185","Treylon Burks","TEN","WR","11","4","47","0","17","1","2","240","55","33","444","1","173","83","2","8","37","491","1","3","100","11.75","4.25","0.25","50.0%","1.85","8.07","5.24","2.52","0.06","24.2%","13.27","0.08","2.70","27.0%","4.3","40.4","44.6","8.0","88.1","101.5","9.2"
"186","Isaiah Hodgins","BUF, NYG","WR","11","0","0","0","-","0","0","243","46","37","392","4","105","42","4","4","37","392","4","4","42","-","-","0.00","0.0%","1.61","8.52","2.84","1.14","0.11","10.8%","10.59","0.11","1.14","10.8%","0.0","35.6","35.6","9.2","101.2","85.5","7.8"
"187","Jahan Dotson","WAS","WR","12","2","-7","0","1","0","0","344","59","35","523","7","149","53","2","10","37","516","7","2","54","-3.50","0.50","0.00","0.0%","1.52","8.86","4.26","1.51","0.06","28.6%","13.95","0.05","1.46","27.0%","-0.6","43.6","43.0","10.9","130.6","119.3","9.9"
"188","Isaiah Likely","BLT","TE","16","1","0","0","-","0","0","247","55","36","373","3","155","81","7","4","37","373","3","7","81","-","-","0.00","0.0%","1.51","6.78","4.31","2.25","0.19","11.1%","10.08","0.19","2.19","10.8%","0.0","23.3","23.3","5.7","91.3","104.2","6.5"
"189","Jordan Akins","HST","TE","15","0","0","0","-","0","0","279","50","37","495","5","273","135","8","8","37","495","5","8","135","-","-","0.00","0.0%","1.77","9.90","7.38","3.65","0.22","21.6%","13.38","0.22","3.65","21.6%","0.0","33.0","33.0","7.8","117.5","94.7","6.3"
"190","Nico Collins","HST","WR","10","0","0","0","-","0","0","263","63","37","481","2","149","62","3","8","37","481","2","3","62","-","-","0.00","0.0%","1.83","7.63","4.03","1.68","0.08","21.6%","13.00","0.08","1.68","21.6%","0.0","48.1","48.1","9.7","97.1","112.9","11.3"
"191","Quez Watkins","PHI","WR","17","3","1","0","4","1","0","352","49","33","354","3","136","29","7","5","36","355","3","8","33","0.33","1.33","0.33","0.0%","1.01","7.22","4.12","0.88","0.21","15.2%","9.86","0.22","0.92","13.9%","0.1","20.8","20.9","5.0","85.5","97.2","5.7"
"192","Hunter Renfrow","LV","WR","10","0","0","0","-","0","0","281","50","36","330","2","154","60","6","3","36","330","2","6","60","-","-","0.00","0.0%","1.17","6.60","4.28","1.67","0.17","8.3%","9.17","0.17","1.67","8.3%","0.0","33.0","33.0","8.0","80.0","79.2","7.9"
"193","Hassan Haskins","TEN","RB","15","25","93","0","55","2","0","74","12","11","57","0","65","22","2","0","36","150","0","4","77","3.72","2.20","0.08","0.0%","0.77","4.75","5.91","2.00","0.18","0.0%","4.17","0.11","2.14","0.0%","6.2","3.8","10.0","1.7","26.0","30.8","2.1"
"194","Gary Brightwell","NYG","RB","15","31","141","1","89","6","3","41","7","5","39","0","37","12","2","0","36","180","1","8","101","4.55","2.87","0.19","9.7%","0.95","5.57","7.40","2.40","0.40","0.0%","5.00","0.22","2.81","8.3%","9.4","2.6","12.0","1.9","29.0","32.2","2.1"
"195","Laviska Shenault","CAR","WR","13","9","65","1","16","0","1","83","32","27","272","1","334","124","14","3","36","337","2","14","140","7.22","1.78","0.00","11.1%","3.28","8.50","12.37","4.59","0.52","11.1%","9.36","0.39","3.89","11.1%","5.0","20.9","25.9","5.6","72.7","54.8","4.2"
"196","Chigoziem Okonkwo","TEN","TE","17","3","2","0","6","1","0","159","45","32","450","3","255","146","11","7","35","452","3","12","152","0.67","2.00","0.33","0.0%","2.83","10.00","7.97","4.56","0.34","21.9%","12.91","0.34","4.34","20.0%","0.1","26.5","26.6","5.7","97.2","83.4","4.9"
"197","Jamal Agnew","JAX","WR","15","12","86","0","27","5","3","83","30","23","187","3","132","32","3","1","35","273","3","8","59","7.17","2.25","0.42","25.0%","2.25","6.23","5.74","1.39","0.13","4.3%","7.80","0.23","1.69","11.4%","5.7","12.5","18.2","4.7","70.3","60.2","4.0"
"198","Travis Homer","SEA","RB","10","19","74","0","54","3","1","88","17","16","157","1","132","34","4","3","35","231","1","7","88","3.89","2.84","0.16","5.3%","1.78","9.24","8.25","2.13","0.25","18.8%","6.60","0.20","2.51","11.4%","7.4","15.7","23.1","4.4","44.1","37.3","3.7"
"199","Avery Williams","ATL","RB","17","22","109","1","58","5","1","58","14","13","61","0","87","35","6","0","35","170","1","11","93","4.95","2.64","0.23","4.5%","1.05","4.36","6.69","2.69","0.46","0.0%","4.86","0.31","2.66","2.9%","6.4","3.6","10.0","2.1","35.0","35.3","2.1"
"200","Jauan Jennings","SF","WR","16","0","0","0","-","0","0","273","54","35","416","1","181","107","9","3","35","416","1","9","107","-","-","0.00","0.0%","1.52","7.70","5.17","3.06","0.26","8.6%","11.89","0.26","3.06","8.6%","0.0","26.0","26.0","5.2","82.6","88.5","5.5"
"201","Will Dissly","SEA","TE","15","0","0","0","-","0","0","229","38","34","349","3","194","71","6","1","34","349","3","6","71","-","-","0.00","0.0%","1.52","9.18","5.71","2.09","0.18","2.9%","10.26","0.18","2.09","2.9%","0.0","23.3","23.3","5.8","86.9","64.7","4.3"
"202","Foster Moreau","LV","TE","15","0","2","0","-","0","0","323","50","33","420","2","252","107","4","7","34","422","2","4","107","-","-","0.00","0.0%","1.30","8.40","7.64","3.24","0.12","21.2%","12.41","0.12","3.15","20.6%","0.1","28.0","28.1","5.7","86.2","86.5","5.8"
"203","Randall Cobb","GB","WR","13","0","0","0","-","0","0","219","49","34","417","1","188","80","8","7","34","417","1","8","80","-","-","0.00","0.0%","1.90","8.51","5.53","2.35","0.24","20.6%","12.26","0.24","2.35","20.6%","0.0","32.1","32.1","6.3","81.7","87.1","6.7"
"204","Tyrion Davis-Price","SF","RB","6","34","99","0","79","2","1","25","2","0","0","0","0","-","0","0","34","99","0","2","79","2.91","2.32","0.06","2.9%","0.00","-","0.00","-","0.00","0.0%","2.91","0.06","2.32","2.9%","16.5","0.0","16.5","1.7","9.9","23.1","3.9"
"205","Allen Robinson","LA","WR","10","0","0","0","-","0","0","308","52","33","339","3","78","16","3","3","33","339","3","3","16","-","-","0.00","0.0%","1.10","6.52","2.36","0.48","0.09","9.1%","10.27","0.09","0.48","9.1%","0.0","33.9","33.9","8.5","84.9","106.2","10.6"
"206","Greg Dulcich","DEN","TE","10","0","0","0","-","0","0","300","51","33","411","2","153","44","4","6","33","411","2","4","44","-","-","0.00","0.0%","1.37","8.06","4.64","1.33","0.12","18.2%","12.45","0.12","1.33","18.2%","0.0","41.1","41.1","8.6","86.1","94.9","9.5"
"207","Raheem Blackshear","CAR","RB","13","23","77","3","50","5","1","35","11","10","93","0","113","41","3","1","33","170","3","8","91","3.35","2.17","0.22","4.3%","2.66","8.45","11.30","4.10","0.30","10.0%","5.15","0.24","2.76","6.1%","5.9","7.2","13.1","3.4","44.0","32.0","2.5"
"208","Mike Boone","DEN","RB","9","24","102","0","58","1","2","66","13","9","96","0","85","32","2","2","33","198","0","3","90","4.25","2.42","0.04","8.3%","1.45","7.38","9.44","3.56","0.22","22.2%","6.00","0.09","2.73","12.1%","11.3","10.7","22.0","3.2","28.8","34.0","3.8"
