"Rank","Name","Team","POS","G","ATT","YDS","TD","YACO","MTF","EXP","RTE","TGT","REC","YDS","TD","YAC","YACO","MTF","EXP","TOUCH","YFS","TD","MTF","YACO","YPC","YACO/ATT","MTF/ATT","EXP RUN %","YPRR","YPT","YAC/REC","YACO/REC","MTF/REC","EXP REC %","YFS/TOUCH","MTF/TOUCH","YACO/TOUCH","EXP PLAY %","RuYDS/G","RecYDS/G","YFS/G","FP/G","FP","XFP","XFP/G"
"46","Damien Harris","NE","RB","11","106","462","3","303","18","4","91","22","17","97","0","95","41","3","0","123","559","3","21","344","4.36","2.86","0.17","3.8%","1.07","4.41","5.59","2.41","0.18","0.0%","4.54","0.17","2.80","3.3%","42.0","8.8","50.8","8.3","90.9","97.2","8.8"
"47","James Robinson","JAX, NYJ","RB","11","110","425","3","257","16","5","74","13","11","51","2","67","19","1","0","121","476","5","17","276","3.86","2.34","0.15","4.5%","0.69","3.92","6.09","1.73","0.09","0.0%","3.93","0.14","2.28","4.1%","38.6","4.6","43.3","8.1","88.6","90.3","8.2"
"48","CeeDee Lamb","DAL","WR","17","10","47","0","36","2","0","541","152","107","1359","9","498","209","19","24","117","1406","9","21","245","4.70","3.60","0.20","0.0%","2.51","8.94","4.65","1.95","0.18","22.4%","12.02","0.18","2.09","20.5%","2.8","79.9","82.7","17.7","301.6","274.6","16.2"
"49","Melvin Gordon","DEN","RB","10","90","318","2","213","13","1","135","32","25","223","0","215","42","0","3","115","541","2","13","255","3.53","2.37","0.14","1.1%","1.65","6.97","8.60","1.68","0.00","12.0%","4.70","0.11","2.22","3.5%","31.8","22.3","54.1","8.9","89.1","110.4","11.0"
"50","Amon-Ra St. Brown","DET","WR","16","9","95","0","20","1","1","454","143","106","1161","6","559","166","14","11","115","1256","6","15","186","10.56","2.22","0.11","11.1%","2.56","8.12","5.27","1.57","0.13","10.4%","10.92","0.13","1.62","10.4%","5.9","72.6","78.5","16.7","267.6","246.8","15.4"
"51","Travis Kelce","KC","TE","17","2","5","0","2","0","0","561","147","110","1338","12","673","279","27","19","112","1343","12","27","281","2.50","1.00","0.00","0.0%","2.39","9.10","6.12","2.54","0.25","17.3%","11.99","0.24","2.51","17.0%","0.3","78.7","79.0","18.7","317.3","276.0","16.2"
"52","James Cook","BUF","RB","16","89","507","2","282","19","11","110","33","21","180","1","142","42","2","1","110","687","3","21","324","5.70","3.17","0.21","12.4%","1.64","5.45","6.76","2.00","0.10","4.8%","6.25","0.19","2.95","10.9%","31.7","11.3","42.9","6.7","106.7","99.7","6.2"
"53","Chuba Hubbard","CAR","RB","15","95","466","2","259","18","4","90","16","14","171","0","144","58","3","1","110","637","2","21","317","4.91","2.73","0.19","4.2%","1.90","10.69","10.29","4.14","0.21","7.1%","5.79","0.19","2.88","4.5%","31.1","11.4","42.5","5.9","88.7","76.5","5.1"
"54","Stefon Diggs","BUF","WR","16","1","-3","0","-","0","0","551","151","108","1429","11","441","173","18","17","109","1426","11","18","173","-3.00","-","0.00","0.0%","2.59","9.46","4.08","1.60","0.17","15.7%","13.08","0.17","1.59","15.6%","-0.2","89.3","89.1","19.8","316.6","298.3","18.6"
"55","Chris Godwin","TB","WR","15","3","5","0","5","0","0","538","138","104","1023","3","543","239","11","10","108","1028","3","11","244","1.67","1.67","0.00","0.0%","1.90","7.41","5.22","2.30","0.11","9.6%","9.52","0.10","2.26","9.3%","0.3","68.2","68.5","15.0","224.8","235.1","15.7"
"56","Jaylen Warren","PIT","RB","16","77","379","1","237","19","4","163","32","28","214","0","234","89","11","1","105","593","1","30","326","4.92","3.08","0.25","5.2%","1.31","6.69","8.36","3.18","0.39","3.6%","5.65","0.29","3.10","4.8%","23.7","13.4","37.1","5.8","93.3","93.7","5.9"
"57","Taysom Hill","NO","TE","16","96","575","7","328","14","5","119","12","9","77","2","38","14","2","1","105","652","9","16","342","5.99","3.42","0.15","5.2%","0.65","6.42","4.22","1.56","0.22","11.1%","6.21","0.15","3.26","5.7%","35.9","4.8","40.8","9.1","145.8","80.5","5.0"
"58","Zack Moss","BUF, IND","RB","13","93","456","1","285","24","5","80","12","11","39","0","43","24","6","0","104","495","1","30","309","4.90","3.06","0.26","5.4%","0.49","3.25","3.91","2.18","0.55","0.0%","4.76","0.29","2.97","4.8%","35.1","3.0","38.1","5.0","65.5","74.2","5.7"
"59","Davante Adams","LV","WR","17","3","-1","0","3","1","0","596","169","100","1516","14","523","200","11","24","103","1515","14","12","203","-0.33","1.00","0.33","0.0%","2.54","8.97","5.23","2.00","0.11","24.0%","14.71","0.12","1.97","23.3%","-0.1","89.2","89.1","19.7","335.5","318.4","18.7"
"60","Curtis Samuel","WAS","WR","17","38","187","1","114","9","5","472","88","64","656","4","302","131","11","10","102","843","5","20","245","4.92","3.00","0.24","13.2%","1.39","7.45","4.72","2.05","0.17","15.6%","8.26","0.20","2.40","14.7%","11.0","38.6","49.6","10.4","177.3","172.3","10.1"
"61","Eno Benjamin","ARZ, HST, NO","RB","14","77","313","2","242","19","4","166","31","25","193","0","238","91","8","1","102","506","2","27","333","4.06","3.14","0.25","5.2%","1.16","6.23","9.52","3.64","0.32","4.0%","4.96","0.26","3.26","4.9%","22.4","13.8","36.1","6.4","89.6","91.1","6.5"
"62","Michael Pittman","IND","WR","16","3","30","0","6","0","1","598","141","99","925","4","342","157","5","8","102","955","4","5","163","10.00","2.00","0.00","33.3%","1.55","6.56","3.45","1.59","0.05","8.1%","9.36","0.05","1.60","8.8%","1.9","57.8","59.7","13.6","217.5","243.6","15.2"
